Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),822374.8536100338,846416.7953764147,871044.394123608,895964.5699568389,921562.9550990659
PJWS,789660.7827071176,805605.5863984094,821690.6547020243,838100.9498961053,854781.4540132384
Homa (50%),854834.599509398,888161.8237830778,923990.4880645315,962398.1103007148,1003506.8695557201
Homa,786125.8272532783,801820.9097821749,818472.5812541653,836299.7951721625,855056.9167708224
LumidouceElegy,780981.0665201029,793915.3405245257,807004.9686904636,820251.2263940584,833497.484097653
"Vortex (Shielded, Stacked)",849973.9410575023,879592.5473844793,909211.1537114567,938829.760038434,968448.3663654113
"Vortex (Shielded, Unstacked)",829290.8117191887,853738.6357115873,878186.4597039863,902634.2836963852,927082.1076887841
CalamityQueller (Stacked),797598.4965643159,821329.1824825876,845345.7524117987,869648.2063519488,894236.5443030383
CalamityQueller (Unstacked),784433.3112269731,804692.8822477367,825166.4098541705,845853.8940462742,866755.3348240486
"Vortex (Unshielded, Stacked)",790736.7284035474,805546.0315670358,820355.3347305245,835164.6378940133,849973.9410575023
"Vortex (Unshielded, Unstacked)",780395.1637343906,792619.0757305899,804842.9877267894,817066.899722989,829290.8117191887
StaffOfTheScarletSands,740293.6729896578,740293.6729896578,740293.6729896578,740293.6729896578,740293.6729896578
SkywardSpine,656556.2886988024,665502.2747579435,674604.2308427977,683789.2479562289,692974.2650696605
EngulfingLightning,646646.3967333052,665396.3536599955,685617.7746596892,707192.6609731334,730121.0126003282
Lithic (4 Stacks),778421.7329159824,810247.0034073781,842721.3779443234,875846.8231192599,909625.30552463
Lithic (3 Stacks),743397.5575857058,766201.3879195056,788998.9337438112,812192.3046961451,839020.7380859125
Lithic (2 Stacks),707775.4254902905,723407.6352582359,737768.0480688243,753981.0429230285,768356.6077509586
Lithic (1 Stacks),674327.1722940743,681861.8122386849,689436.0643603331,696018.1309862408,703623.2230297488
Deathmatch (1 Opponent),716586.4060302079,733639.7614700368,751010.5662245492,768456.2138528466,786241.5406865072
Deathmatch (2+ Opponents),694076.43560439,705217.5024036552,716586.4060302079,727955.3096567603,739380.1344723508
Blackcliff (3 Stacks),750438.9743237922,777510.0430894529,805016.5896587436,832958.6140316642,861269.9813407678
Blackcliff (2 Stacks),715190.5091341562,732801.1017642008,750438.9743237922,768485.0447574664,786554.4688903888
Blackcliff (1 Stacks),680789.6458525314,689351.8864513413,697964.7606789463,706577.6349065511,715190.5091341562
Blackcliff (0 Stacks),647236.384478918,647236.384478918,647236.384478918,647236.384478918,647236.384478918
MissiveWindspear (On),678325.8864692381,686301.7451892983,694277.6039093585,702253.4626294189,710229.3213494791
MissiveWindspear (Off),646422.4515889972,646422.4515889972,646422.4515889972,646422.4515889972,646422.4515889972
WavebreakersFin,632811.6742583101,632811.6742583101,632811.6742583101,632811.6742583101,632811.6742583101
FavoniusLance,566509.0315090532,566509.0315090532,566509.0315090532,566509.0315090532,566509.0315090532
PrototypeStarglitter,538777.2330081922,538777.2330081922,538777.2330081922,538777.2330081922,538777.2330081922
WhiteTassel,565111.511376197,565111.511376197,565111.511376197,565111.511376197,565111.511376197
