Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),910525.4915026468,936380.3272174861,962819.0728885741,989550.3956456993,1017031.7610875015
PJWS,874738.7795491569,891779.337652355,908960.1603678763,926473.2078199942,944276.2744392337
Homa (50%),949634.8678067664,986604.5373807385,1026380.0715095316,1069016.4266490568,1114649.1352274355
Homa,873354.6135685847,890765.0648640372,909267.6876406476,929043.2981913703,949881.482875215
LumidouceElegy,867648.5196023853,881996.4242522294,896548.2937725079,911242.2798774455,925936.2659823828
"Vortex (Shielded, Stacked)",944071.6671456008,976927.3913474714,1009783.115549342,1042638.8397512129,1075494.5639530832
"Vortex (Shielded, Unstacked)",919670.109732708,946425.4445813553,973180.7794300028,999936.1142786504,1026691.4491272977
CalamityQueller (Stacked),883168.9296259873,908669.3301655084,934455.6147159691,960527.7832773689,986885.8358497084
CalamityQueller (Unstacked),867756.1815180891,889223.5764674635,910904.9280025078,932800.2361232226,954909.5008296077
"Vortex (Unshielded, Stacked)",878360.2187418595,894788.0808427945,911215.9429437298,927643.8050446654,944071.6671456008
"Vortex (Unshielded, Unstacked)",866159.4400354131,879537.1074597365,892914.7748840603,906292.4423083841,919670.109732708
StaffOfTheScarletSands,822411.8289210877,822411.8289210877,822411.8289210877,822411.8289210877,822411.8289210877
SkywardSpine,729540.113421222,739480.5492933465,749561.495531025,759767.0869715358,769972.678412047
EngulfingLightning,718651.7357144385,739561.9927512136,762083.0042702714,786119.17866539,811670.5159365695
Lithic (4 Stacks),864732.4702977026,900066.640606701,936120.9239582075,972897.5018802175,1010398.5559007265
Lithic (3 Stacks),825858.1457157499,851176.5223768766,876487.391927596,902237.4633891203,932025.0350710836
Lithic (2 Stacks),786318.2153467254,803675.1535207873,819618.9313696978,837620.57445605,853580.7164821948
Lithic (1 Stacks),749192.0421786013,757558.1709824424,765968.2413124114,773275.926276109,781720.1323200822
Deathmatch (1 Opponent),796039.7427572567,814956.9172138134,834252.3495553797,853604.6911433191,873359.9500870466
Deathmatch (2+ Opponents),771043.4679094603,783428.2931195527,796039.7427572567,808651.1923949611,821350.7884967538
Blackcliff (3 Stacks),833661.6621715005,863695.7751386606,894236.2102933476,925259.7180968331,956665.330697806
Blackcliff (2 Stacks),794509.9183312341,814072.8371992703,833661.6621715005,853684.4041496073,873756.3017706365
Blackcliff (1 Stacks),756321.6632230987,765847.3049978872,775401.5094423364,784955.7138867853,794509.9183312341
Blackcliff (0 Stacks),719073.6473083665,719073.6473083665,719073.6473083665,719073.6473083665,719073.6473083665
MissiveWindspear (On),753530.8990123958,762378.4663653775,771226.0337183594,780073.6010713413,788921.168424323
MissiveWindspear (Off),718140.6296004686,718140.6296004686,718140.6296004686,718140.6296004686,718140.6296004686
WavebreakersFin,703129.1333147701,703129.1333147701,703129.1333147701,703129.1333147701,703129.1333147701
FavoniusLance,629453.3912248338,629453.3912248338,629453.3912248338,629453.3912248338,629453.3912248338
PrototypeStarglitter,598649.4728452082,598649.4728452082,598649.4728452082,598649.4728452082,598649.4728452082
WhiteTassel,627839.5673750546,627839.5673750546,627839.5673750546,627839.5673750546,627839.5673750546
