Weapon,R1,R2,R3,R4,R5
PJWS,1402485.3326368849,1422233.943925856,1442140.0488728606,1462203.6474778994,1482424.7397409733
Homa (50%),1499881.7457667177,1537879.1370358274,1577930.092717484,1620034.6128116897,1664192.6973184426
Homa,1419006.522930211,1437748.5230131974,1457517.3053024574,1478312.8697979914,1500135.2164997996
FracturedHalo,1446910.232334881,1470061.2042533506,1493212.1761718197,1516363.1480902883,1539514.1200087569
LumidouceElegy,1415507.629744104,1430979.0882353794,1446450.5467266543,1461922.0052179298,1477393.463709205
"Vortex (Shielded, Stacked)",1399850.1546918675,1431624.4599224185,1463398.765152969,1495173.0703835196,1526947.3756140706
"Vortex (Shielded, Unstacked)",1377238.4815094543,1403359.8684444018,1429481.255379349,1455602.6423142964,1481724.0292492441
CalamityQueller (Stacked),1367079.7355002565,1396090.7046282077,1425393.8985624723,1454989.3173030503,1484876.9608499417
CalamityQueller (Unstacked),1352751.5030832693,1377998.9748203638,1403466.0956491274,1429152.8655695608,1455059.2845816636
"Vortex (Unshielded, Stacked)",1336301.5442307668,1352188.6968460416,1368075.8494613166,1383963.0020765923,1399850.1546918675
"Vortex (Unshielded, Unstacked)",1324995.70763956,1338056.4011070332,1351117.0945745066,1364177.788041981,1377238.4815094543
StaffOfTheScarletSands,1387424.549445951,1387424.549445951,1387424.549445951,1387424.549445951,1387424.549445951
SkywardSpine,1214382.2025598402,1227871.9883203418,1244470.3217532525,1257533.3343610654,1274623.70972474
EngulfingLightning,1182403.1124810495,1203013.5736750325,1225143.1460811184,1248791.8296993058,1273959.6245295946
SacrificersStaff,1205657.2985095924,1209447.7089148466,1213238.1193201009,1217028.529725355,1220818.9401306093
Lithic (4 Stacks),1356481.8377762306,1402750.535206029,1449725.605059101,1497409.1084100239,1545803.106333376
Lithic (3 Stacks),1310429.9079374908,1343396.4190950843,1376129.0995670618,1409844.1681695161,1449774.737764535
Lithic (2 Stacks),1261973.347944084,1285379.0893888806,1306121.9357121564,1330311.000413939,1350899.7690027594
Lithic (1 Stacks),1217111.1519158336,1228694.4239382623,1240320.7726685565,1249372.7940212183,1260551.4614802748
Deathmatch (1 Opponent),1351653.1556593133,1371533.525971948,1391413.8962845823,1411294.2665972165,1431174.6369098504
Deathmatch (2+ Opponents),1325145.9952424676,1338399.5754508907,1351653.1556593133,1364906.7358677364,1378160.316076159
Blackcliff (3 Stacks),1366524.6295008617,1396773.180101619,1427021.7307023758,1457270.281303133,1487518.8319038902
Blackcliff (2 Stacks),1326193.2286998522,1346358.9291003568,1366524.6295008617,1386690.3299013667,1406856.0303018717
Blackcliff (1 Stacks),1285861.827898843,1295944.6780990954,1306027.528299348,1316110.3784996003,1326193.2286998522
Blackcliff (0 Stacks),1245530.4270978337,1245530.4270978337,1245530.4270978337,1245530.4270978337,1245530.4270978337
MissiveWindspear (On),1209033.5301145336,1217589.8871101737,1226146.2441058138,1234702.6011014534,1243258.9580970937
MissiveWindspear (Off),1174808.1021319728,1174808.1021319728,1174808.1021319728,1174808.1021319728,1174808.1021319728
WavebreakersFin,1166686.8839817157,1166686.8839817157,1166686.8839817157,1166686.8839817157,1166686.8839817157
FavoniusLance,1089580.8071096549,1089580.8071096549,1089580.8071096549,1089580.8071096549,1089580.8071096549
PrototypeStarglitter,1056872.981542066,1056872.981542066,1056872.981542066,1056872.981542066,1056872.981542066
WhiteTassel,1142389.129120734,1142389.129120734,1142389.129120734,1142389.129120734,1142389.129120734
