Weapon,R1,R2,R3,R4,R5
PJWS,1369259.3268904618,1388793.1564072135,1408484.4795819987,1428333.2964148181,1448339.6069056727
Homa (50%),1457237.4985354168,1495234.8898045265,1535285.8454861827,1577390.3655803886,1621548.4500871412
Homa,1376362.2756989098,1395104.2757818964,1414873.0580711565,1435668.62256669,1457490.9692684985
LumidouceElegy,1372807.991116073,1388279.4496073478,1403750.908098623,1419222.3665898985,1434693.8250811738
"Vortex (Shielded, Stacked)",1364780.9823924415,1396555.2876229922,1428329.5928535427,1460103.8980840936,1491878.2033146448
"Vortex (Shielded, Unstacked)",1342169.3092100283,1368290.6961449757,1394412.083079923,1420533.4700148706,1446654.8569498183
CalamityQueller (Stacked),1344977.8654745233,1373906.3401258176,1403127.0395834253,1432639.9638473466,1462445.112917581
CalamityQueller (Unstacked),1330649.633057536,1355814.6103179737,1381199.2366700806,1406803.512113857,1432627.4366493032
"Vortex (Unshielded, Stacked)",1301232.3719313408,1317119.5245466153,1333006.6771618905,1348893.8297771662,1364780.9823924415
"Vortex (Unshielded, Unstacked)",1289926.535340134,1302987.2288076072,1316047.9222750806,1329108.6157425547,1342169.3092100283
StaffOfTheScarletSands,1333631.0835795908,1333631.0835795908,1333631.0835795908,1333631.0835795908,1333631.0835795908
SkywardSpine,1184420.0551649672,1197646.1597314274,1213759.992144083,1226588.1003402018,1243163.6182285736
EngulfingLightning,1147333.9401816232,1167944.4013756064,1190073.9737816923,1213722.6573998795,1238890.4522301687
Lithic (4 Stacks),1314024.5249442803,1359259.1540215472,1405197.957991275,1451842.997928041,1499196.3349064242
Lithic (3 Stacks),1268718.9051928662,1300939.1062631346,1332943.2566698142,1366024.4476136118,1404931.5636330538
Lithic (2 Stacks),1221153.9388785637,1243953.6473786507,1264301.5392291488,1287853.687581989,1308079.268689624
Lithic (1 Stacks),1176990.9551544841,1188298.6552189386,1199649.4319912589,1208553.3849556975,1219411.5802044387
Deathmatch (1 Opponent),1288889.3866650742,1308769.7569777088,1328650.1272903432,1348530.4976029773,1368410.867915611
Deathmatch (2+ Opponents),1262382.2262482287,1275635.8064566513,1288889.3866650742,1302142.9668734972,1315396.5470819199
Blackcliff (3 Stacks),1313606.0219409647,1343854.572541722,1374103.1231424792,1404351.673743236,1434600.2243439937
Blackcliff (2 Stacks),1273274.6211399555,1293440.32154046,1313606.0219409647,1333771.7223414695,1353937.4227419745
Blackcliff (1 Stacks),1232943.2203389462,1243026.0705391984,1253108.920739451,1263191.7709397033,1273274.6211399555
Blackcliff (0 Stacks),1192611.8195379367,1192611.8195379367,1192611.8195379367,1192611.8195379367,1192611.8195379367
MissiveWindspear (On),1164166.3618927666,1172722.7188884066,1181279.0758840467,1189835.4328796866,1198391.7898753267
MissiveWindspear (Off),1129940.9339102055,1129940.9339102055,1129940.9339102055,1129940.9339102055,1129940.9339102055
WavebreakersFin,1132817.4662850252,1132817.4662850252,1132817.4662850252,1132817.4662850252,1132817.4662850252
FavoniusLance,1050212.5141504258,1050212.5141504258,1050212.5141504258,1050212.5141504258,1050212.5141504258
PrototypeStarglitter,1012005.8133202989,1012005.8133202989,1012005.8133202989,1012005.8133202989,1012005.8133202989
WhiteTassel,1078140.5094035591,1078140.5094035591,1078140.5094035591,1078140.5094035591,1078140.5094035591
