Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),437894.06290296983,452515.82358429115,467514.5928936502,482855.2950133066,498691.3046036337
PJWS,417699.869496352,427111.99397096975,436697.44568418514,446506.9899122603,456535.10413212
Homa (50%),456451.73835940316,476125.3509333164,497321.9035621052,520088.37832470424,544092.7081397218
Homa,416020.8015745203,425240.4504900822,435031.72562913515,445530.2279277417,456582.97592163883
LumidouceElegy,412649.74999680056,420088.94284179324,427678.26236742444,435267.58189305523,442973.54481482523
"Vortex (Shielded, Stacked)",452414.12905369746,469251.86484105716,486089.6006284173,502927.33641577704,519765.07220313675
"Vortex (Shielded, Unstacked)",440106.4545259379,453867.2716813578,467628.0888367781,481388.9059921979,495149.72314761777
CalamityQueller (Stacked),422487.0120711418,436438.56689327833,450840.9900458894,465447.5410035624,480258.2197662981
CalamityQueller (Unstacked),414792.8731797684,426689.3340091306,438734.5407937466,451079.2808461824,463631.9196249024
"Vortex (Unshielded, Stacked)",418738.6574789777,427157.52537265763,435576.3932663377,443995.26116001746,452414.12905369746
"Vortex (Unshielded, Unstacked)",412584.82021509786,419465.228792808,426345.63737051794,433226.04594822787,440106.4545259379
StaffOfTheScarletSands,390913.98210134654,390913.98210134654,390913.98210134654,390913.98210134654,390913.98210134654
SkywardSpine,342965.25659074617,347802.7659957552,352739.37317157484,357675.98034739424,362719.8382107607
EngulfingLightning,337924.78896451107,348091.5037817459,359359.30554946774,371618.50651940925,384753.6923801936
Lithic (4 Stacks),412401.93762991775,430780.94698004425,449964.64577844,469568.27917278325,489593.1282274721
Lithic (3 Stacks),392025.6597661111,405418.5491320091,419024.9117597418,433028.2910102738,447415.0671027575
Lithic (2 Stacks),372431.32178472553,380883.9523841736,389577.7254774469,398435.1606341005,407387.47279601404
Lithic (1 Stacks),353355.6173819579,357456.8145677747,361580.7605015746,365727.4551833577,369896.8986131238
Deathmatch (1 Opponent),379860.9336391788,389909.716324181,400117.2234224961,410421.5504417342,420899.08271989203
Deathmatch (2+ Opponents),366659.0389371175,373187.86450429505,379860.9336391788,386560.1220958469,393259.3105525151
Blackcliff (3 Stacks),398534.4185849289,414469.73057770764,430688.7185871762,447058.0445366069,463427.37048603734
Blackcliff (2 Stacks),377829.03528661164,388158.4608331961,398534.4185849289,409147.5201482027,419791.9410072128
Blackcliff (1 Stacks),357942.6137885109,362865.7994682206,367788.98514793016,372775.28796438355,377829.03528661164
Blackcliff (0 Stacks),338935.44376860844,338935.44376860844,338935.44376860844,338935.44376860844,338935.44376860844
MissiveWindspear (On),356908.3526491213,361442.50933168497,365976.66601424845,370510.8226968122,375044.97937937564
MissiveWindspear (Off),338771.725918867,338771.725918867,338771.725918867,338771.725918867,338771.725918867
WavebreakersFin,330215.48944698577,330215.48944698577,330215.48944698577,330215.48944698577,330215.48944698577
FavoniusLance,294666.0478234844,294666.0478234844,294666.0478234844,294666.0478234844,294666.0478234844
PrototypeStarglitter,279813.32826095616,279813.32826095616,279813.32826095616,279813.32826095616,279813.32826095616
WhiteTassel,294569.3510738281,294569.3510738281,294569.3510738281,294569.3510738281,294569.3510738281
