Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),686407.4364749102,704627.7947424825,723075.2547590459,741749.8165246003,760651.4800391452
PJWS,656338.8636804417,667125.4589712472,678023.5929643809,689033.2656598431,700154.4770576333
Homa (50%),706172.3648494994,726827.7425073435,748599.4375509121,771487.4499802046,795491.7797952221
Homa,662208.6027317458,672396.7518874526,683143.0597360207,694447.526277452,706310.1515117448
LumidouceElegy,658936.7726329791,667332.2511232455,675727.7296135118,684123.2081037778,692518.6865940442
"Vortex (Shielded, Stacked)",654227.5402643997,671065.2760517597,687903.0118391195,704740.7476264795,721578.4834138391
"Vortex (Shielded, Unstacked)",641919.8657366403,655680.6828920603,669441.5000474803,683202.3172029004,696963.1343583202
CalamityQueller (Stacked),643746.5392708806,660405.8817020438,677269.3519382693,694336.9499795568,711608.6758259069
CalamityQueller (Unstacked),635844.2519803909,650399.6279701167,665107.7739173787,679968.6898221767,694982.3756845113
"Vortex (Unshielded, Stacked)",620552.06868968,628970.93658336,637389.8044770398,645808.67237072,654227.5402643997
"Vortex (Unshielded, Unstacked)",614398.2314258002,621278.6400035102,628159.0485812202,635039.4571589304,641919.8657366403
StaffOfTheScarletSands,641079.9063360635,641079.9063360635,641079.9063360635,641079.9063360635,641079.9063360635
SkywardSpine,554855.5544563547,562502.8282255359,570250.3051440569,577997.7820625778,585745.2589810988
EngulfingLightning,538714.033913123,549505.3828912252,561078.0108302213,573431.9177301115,586567.103590896
Lithic (4 Stacks),628040.8878533414,652279.2813178458,677537.4027019637,703228.6446104192,729354.2881076103
Lithic (3 Stacks),603270.0719037517,621057.4993554328,639058.4000689487,657551.483800335,676512.6060930125
Lithic (2 Stacks),579438.9595224492,590701.4101028123,602286.9836436817,614074.1108575244,625956.1150766269
Lithic (1 Stacks),556148.5251483088,561654.6323245831,567183.4882488407,572735.0929210815,578309.4463413052
Deathmatch (1 Opponent),620241.3109780798,631056.72666579,641872.1423535,652687.5580412098,663502.9737289201
Deathmatch (2+ Opponents),605820.7567277999,613031.03385294,620241.3109780798,627451.58810322,634661.8652283599
Blackcliff (3 Stacks),632080.9794671133,648450.3054165439,664819.6313659747,681188.9573154051,697558.2832648358
Blackcliff (2 Stacks),610255.2115345389,621168.0955008259,632080.9794671133,642993.8634334002,653906.7473996874
Blackcliff (1 Stacks),588429.4436019647,593885.8855851083,599342.3275682515,604798.7695513952,610255.2115345389
Blackcliff (0 Stacks),566603.6756693902,566603.6756693902,566603.6756693902,566603.6756693902,566603.6756693902
MissiveWindspear (On),551464.8504640408,555999.0071466044,560533.163829168,565067.3205117316,569601.477194295
MissiveWindspear (Off),533328.2237337864,533328.2237337864,533328.2237337864,533328.2237337864,533328.2237337864
WavebreakersFin,530871.9460326161,530871.9460326161,530871.9460326161,530871.9460326161,530871.9460326161
FavoniusLance,489088.50043475954,489088.50043475954,489088.50043475954,489088.50043475954,489088.50043475954
PrototypeStarglitter,470832.4307924513,470832.4307924513,470832.4307924513,470832.4307924513,470832.4307924513
WhiteTassel,509228.69171210943,509228.69171210943,509228.69171210943,509228.69171210943,509228.69171210943
