Weapon,R1,R2,R3,R4,R5
PJWS,1021423.8926821378,1037919.2941314088,1054568.686722737,1071372.0704561218,1088329.445331563
Homa (50%),1096125.176094791,1128470.0705185537,1162563.0408469443,1198404.0870799634,1235993.2092176105
Homa,1027280.9618797028,1043234.8996035055,1060062.8752796224,1077764.8889080533,1096340.940488798
LumidouceElegy,1024222.2005299493,1037395.5783817972,1050568.9562336446,1063742.3340854922,1076915.71193734
"Vortex (Shielded, Stacked)",1038011.2427766122,1064930.7895249221,1091850.3362732322,1118769.8830215423,1145689.4297698522
"Vortex (Shielded, Unstacked)",1017750.7332422193,1039605.1526069309,1061459.5719716428,1083313.9913363545,1105168.4107010663
CalamityQueller (Stacked),1011447.4128233289,1036430.2531668983,1061698.977521407,1087253.5858868547,1113094.0782632418
CalamityQueller (Unstacked),998543.5956381505,1020120.6631222529,1041911.6871920255,1063916.6678474683,1086135.6050885813
"Vortex (Unshielded, Stacked)",984172.1492799921,997631.922654147,1011091.696028302,1024551.469402457,1038011.2427766122
"Vortex (Unshielded, Unstacked)",974041.8945127956,984969.1041951515,995896.3138775073,1006823.5235598632,1017750.7332422193
StaffOfTheScarletSands,990217.7651666693,990217.7651666693,990217.7651666693,990217.7651666693,990217.7651666693
SkywardSpine,981728.4366133248,993624.0385635471,1004028.9794058889,1015482.0232741691,1026377.6097648161
EngulfingLightning,963465.4273658908,982901.3646309999,1003739.4516383857,1025979.6883880479,1049622.0748799865
Lithic (4 Stacks),991548.6767811979,1027517.4687579368,1064091.4516044294,1101272.4127031255,1139062.139436477
Lithic (3 Stacks),954598.5604404407,980441.9371601135,1006156.3141250754,1032257.074122442,1062846.66472942
Lithic (2 Stacks),916576.5435247063,934519.4275151602,950762.3119530991,969335.1975390292,985489.7114272721
Lithic (1 Stacks),881056.7628474468,889746.3650581738,898471.969700609,905890.6579181595,914627.0771364907
Deathmatch (1 Opponent),965936.2930211894,982861.799409628,999787.3057980671,1016712.8121865065,1033638.3185749457
Deathmatch (2+ Opponents),943368.9511699374,954652.6220955632,965936.2930211894,977219.9639468152,988503.6348724414
Blackcliff (3 Stacks),987331.9527136951,1013063.3854277264,1038794.8181417576,1064526.250855789,1090257.6835698208
Blackcliff (2 Stacks),953023.3757616532,970177.6642376742,987331.9527136951,1004486.2411897162,1021640.5296657371
Blackcliff (1 Stacks),918714.7988096115,927291.943047622,935869.0872856323,944446.2315236428,953023.3757616532
Blackcliff (0 Stacks),884406.2218575694,884406.2218575694,884406.2218575694,884406.2218575694,884406.2218575694
MissiveWindspear (On),876375.036785241,883624.0781244013,890873.1194635616,898122.1608027223,905371.2021418826
MissiveWindspear (Off),847378.8714285991,847378.8714285991,847378.8714285991,847378.8714285991,847378.8714285991
WavebreakersFin,840469.5563787622,840469.5563787622,840469.5563787622,840469.5563787622,840469.5563787622
FavoniusLance,875292.8297591263,875292.8297591263,875292.8297591263,875292.8297591263,875292.8297591263
PrototypeStarglitter,844019.1314265686,844019.1314265686,844019.1314265686,844019.1314265686,844019.1314265686
WhiteTassel,800279.1694799648,800279.1694799648,800279.1694799648,800279.1694799648,800279.1694799648
