Weapon,R1,R2,R3,R4,R5
PJWS,593609.3252992156,604239.8314439058,614981.8762909243,625835.459840271,636800.582091946
Homa (50%),643845.6085168002,664500.9861746442,686272.6812182127,709160.6936475056,733165.023462523
Homa,599881.8463990467,610069.9955547531,620816.3034033217,632120.7699447529,643983.3951790456
LumidouceElegy,596568.6529736652,604964.1314639314,613359.6099541974,621755.0884444637,630150.5669347299
"Vortex (Shielded, Stacked)",604194.04084704,621031.7766343998,637869.5124217597,654707.2482091197,671544.9839964793
"Vortex (Shielded, Unstacked)",591886.3663192805,605647.1834747004,619408.0006301204,633168.8177855405,646929.6349409603
CalamityQueller (Stacked),584110.7010359493,600107.4590297767,616308.3448286669,632713.3584326187,649322.4998416331
CalamityQueller (Unstacked),576208.4137454596,590101.2052978496,604146.7668077762,618345.0982752385,632696.1997002375
"Vortex (Unshielded, Stacked)",570518.5692723201,578937.437166,587356.3050596799,595775.1729533601,604194.04084704
"Vortex (Unshielded, Unstacked)",564364.7320084404,571245.1405861503,578125.5491638604,585005.9577415705,591886.3663192805
StaffOfTheScarletSands,579051.5029337789,579051.5029337789,579051.5029337789,579051.5029337789,579051.5029337789
SkywardSpine,567333.5666028908,573857.2411659511,581777.2296167507,588093.2833225217,596252.2119233552
EngulfingLightning,557825.9561054079,570144.2174979724,583354.30422955,597456.2163001406,612449.9537097443
Lithic (4 Stacks),576162.8668483436,598991.6204873568,622788.3684870801,647015.0647648039,671672.990384926
Lithic (3 Stacks),552449.2807678723,569179.478350435,586123.1491948327,603536.1081012619,621396.7426202236
Lithic (2 Stacks),529637.4437590596,540223.9130297424,551113.7825514297,562196.0898525267,573373.2741588836
Lithic (1 Stacks),507360.9813494402,512529.09787087434,517719.96314029145,522933.57715769194,528169.9399230753
Deathmatch (1 Opponent),566677.7854400267,577493.2011277367,588308.6168154468,599124.0325031569,609939.448190867
Deathmatch (2+ Opponents),552257.2311897465,559467.5083148866,566677.7854400267,573888.0625651667,581098.3396903068
Blackcliff (3 Stacks),578034.7406631568,594404.0666125875,610773.3925620184,627142.718511449,643512.0444608798
Blackcliff (2 Stacks),556208.9727305827,567121.8566968698,578034.7406631568,588947.6246294441,599860.5085957312
Blackcliff (1 Stacks),534383.2047980087,539839.6467811521,545296.0887642954,550752.5307474391,556208.9727305827
Blackcliff (0 Stacks),512557.43686543405,512557.43686543405,512557.43686543405,512557.43686543405,512557.43686543405
MissiveWindspear (On),506553.8781495864,511088.0348321501,515622.1915147137,520156.34819727746,524690.5048798408
MissiveWindspear (Off),488417.2514193321,488417.2514193321,488417.2514193321,488417.2514193321,488417.2514193321
WavebreakersFin,480211.19839857385,480211.19839857385,480211.19839857385,480211.19839857385,480211.19839857385
FavoniusLance,503744.36870241276,503744.36870241276,503744.36870241276,503744.36870241276,503744.36870241276
PrototypeStarglitter,486186.839928977,486186.839928977,486186.839928977,486186.839928977,486186.839928977
WhiteTassel,463287.08156268194,463287.08156268194,463287.08156268194,463287.08156268194,463287.08156268194
