Weapon,R1,R2,R3,R4,R5
PJWS,1453657.1693100391,1471932.1800849808,1490364.6845179563,1508954.6826089656,1527702.1743580105
Homa (50%),1548598.832184378,1581544.0175271146,1616269.7214245463,1652775.9438766718,1691062.6848834925
Homa,1478476.9338910605,1494726.9617430922,1511867.2488724715,1529897.7952791972,1548818.6009632712
LumidouceElegy,1476098.0868682305,1489512.6060314267,1502927.125194623,1516341.64435782,1529756.163521017
"Vortex (Shielded, Stacked)",1418122.8505612263,1445672.8196953286,1473222.788829431,1500772.757963533,1528322.7270976356
"Vortex (Shielded, Unstacked)",1397631.0010466946,1420058.007802164,1442485.0145576335,1464912.021313103,1487339.0280685723
CalamityQueller (Stacked),1404163.293370098,1433039.154705004,1462207.2408462244,1491667.5517937567,1521420.0875476035
CalamityQueller (Unstacked),1391113.8990717274,1416545.9725454308,1442197.6951108044,1468069.066767846,1494160.0875165584
"Vortex (Unshielded, Stacked)",1363022.9122930218,1376797.8968600726,1390572.881427124,1404347.8659941752,1418122.8505612263
"Vortex (Unshielded, Unstacked)",1352776.987535756,1363990.4909134905,1375203.9942912252,1386417.4976689601,1397631.0010466946
StaffOfTheScarletSands,1466454.3001339498,1466454.3001339498,1466454.3001339498,1466454.3001339498,1466454.3001339498
SkywardSpine,1419870.4183686955,1436541.2658610786,1451445.891770279,1467544.390332709,1483089.5563932196
EngulfingLightning,1383712.289811186,1403569.3582047927,1424861.79387115,1447589.5968102585,1471752.7670221173
Lithic (4 Stacks),1396453.3764275275,1441900.0595257694,1487970.7632186683,1534667.274888675,1581991.3819182413
Lithic (3 Stacks),1352713.9466171495,1385107.7068553222,1417204.7928134187,1450442.490989398,1489679.4226575992
Lithic (2 Stacks),1306418.5637813266,1329485.9319325588,1349965.7502831763,1373762.0372831174,1394061.1043321532
Lithic (1 Stacks),1263532.9424907172,1275031.159992576,1286566.7340037562,1295493.0664208254,1306451.4701826505
Deathmatch (1 Opponent),1425952.9820761785,1443190.060895811,1460427.1397154438,1477664.2185350768,1494901.2973547087
Deathmatch (2+ Opponents),1402970.2103166685,1414461.5961964235,1425952.9820761785,1437444.3679559343,1448935.753835689
Blackcliff (3 Stacks),1425676.6625181634,1451903.367002322,1478130.0714864798,1504356.7759706385,1530583.4804547972
Blackcliff (2 Stacks),1390707.7232059527,1408192.192862058,1425676.6625181634,1443161.132174269,1460645.601830375
Blackcliff (1 Stacks),1355738.783893742,1364481.018721794,1373223.2535498475,1381965.4883779,1390707.7232059527
Blackcliff (0 Stacks),1320769.8445815307,1320769.8445815307,1320769.8445815307,1320769.8445815307,1320769.8445815307
MissiveWindspear (On),1252707.9518090754,1260126.756702521,1267545.5615959663,1274964.3664894125,1282383.171382858
MissiveWindspear (Off),1223032.7322352924,1223032.7322352924,1223032.7322352924,1223032.7322352924,1223032.7322352924
WavebreakersFin,1215954.1715321895,1215954.1715321895,1215954.1715321895,1215954.1715321895,1215954.1715321895
FavoniusLance,1293693.5477610913,1293693.5477610913,1293693.5477610913,1293693.5477610913,1293693.5477610913
PrototypeStarglitter,1261788.2508733107,1261788.2508733107,1261788.2508733107,1261788.2508733107,1261788.2508733107
WhiteTassel,1225882.4930119936,1225882.4930119936,1225882.4930119936,1225882.4930119936,1225882.4930119936
