Weapon,R1,R2,R3,R4,R5
PJWS,857733.1044536503,874529.3970950668,891526.7300782871,908671.1909386972,926185.2108778243
Homa (50%),923202.5932410146,957827.5571924221,994990.7527438619,1034425.363164612,1075783.3184519361
Homa,851613.5173409049,868023.1609161363,885362.2102289065,903856.940753459,923429.9373420735
LumidouceElegy,846925.614577193,860483.8559799603,874042.0973827272,887808.7301758687,901678.9552778082
"Vortex (Shielded, Stacked)",909211.1537114567,938829.760038434,968448.3663654113,998066.9726923888,1027685.579019366
"Vortex (Shielded, Unstacked)",888528.0243731431,912975.8483655421,937423.672357941,961871.4963503401,986319.3203427388
CalamityQueller (Stacked),867448.9047297286,891775.182337457,916387.3439561247,941285.3895857317,966469.3192262779
CalamityQueller (Unstacked),854283.719392386,875138.882102606,896208.0013984966,917491.0772800572,938988.1097472879
"Vortex (Unshielded, Stacked)",849973.9410575023,864783.2442209905,879592.5473844793,894401.8505479678,909211.1537114567
"Vortex (Unshielded, Unstacked)",839632.3763883454,851856.2883845445,864080.200380744,876304.1123769436,888528.0243731431
StaffOfTheScarletSands,802154.2242120942,802154.2242120942,802154.2242120942,802154.2242120942,802154.2242120942
SkywardSpine,813842.0890382765,823323.280372504,834401.3739458229,843474.8306259844,855091.3640514046
EngulfingLightning,797753.597179292,818571.4217411776,841074.3115629177,865436.2114792669,891326.4154633547
Lithic (4 Stacks),839523.457898368,872863.8194775705,906856.5627563931,941503.6543272766,976807.0607826635
Lithic (3 Stacks),803398.4893323197,827303.1129018909,851174.932760858,875448.3054933995,903611.6383787185
Lithic (2 Stacks),766561.89801054,782997.5468068838,798044.3633480755,815082.7679054139,830122.7657892115
Lithic (1 Stacks),732012.4262926785,739943.1880076651,747913.5618996893,754804.6035064901,762802.1143804305
Deathmatch (1 Opponent),774349.5808086633,792187.5206254293,810125.8414125927,828356.073417827,846708.9162841387
Deathmatch (2+ Opponents),751010.5662245492,762640.9979767475,774349.5808086633,786241.5406865072,798133.5005643513
Blackcliff (3 Stacks),811170.6299148615,839250.0289892424,867561.3962983467,895872.7636074508,924184.1309165547
Blackcliff (2 Stacks),774501.7103121241,792708.5091465071,811170.6299148615,829812.9065528748,848687.1514256106
Blackcliff (1 Stacks),738680.3926173976,747499.3288971935,756451.7136481514,765476.7119801376,774501.7103121241
Blackcliff (0 Stacks),703706.6768306829,703706.6768306829,703706.6768306829,703706.6768306829,703706.6768306829
MissiveWindspear (On),731498.2779363067,739474.1366563668,747449.9953764271,755425.8540964872,763401.7128165476
MissiveWindspear (Off),699594.8430560655,699594.8430560655,699594.8430560655,699594.8430560655,699594.8430560655
WavebreakersFin,691847.2904806569,691847.2904806569,691847.2904806569,691847.2904806569,691847.2904806569
FavoniusLance,704132.8102816495,704132.8102816495,704132.8102816495,704132.8102816495,704132.8102816495
PrototypeStarglitter,669031.4925355416,669031.4925355416,669031.4925355416,669031.4925355416,669031.4925355416
WhiteTassel,614451.247508527,614451.247508527,614451.247508527,614451.247508527,614451.247508527
