Weapon,R1,R2,R3,R4,R5
PJWS,950130.1112952816,968075.9652541971,986222.6688297229,1004516.5002824387,1023184.3911222786
Homa (50%),1025506.064990259,1063946.3423001089,1105202.2631446503,1148946.815798104,1194824.922197592
Homa,946030.7089603234,964264.8517910078,983498.944572211,1004046.0605721095,1025758.2562986835
LumidouceElegy,940863.6338814379,955903.7014414689,970943.7690015,986246.6352793315,1001632.7842944562
"Vortex (Shielded, Stacked)",1009783.115549342,1042638.8397512129,1075494.5639530832,1108350.2881549543,1141206.012356825
"Vortex (Shielded, Unstacked)",985381.5581364492,1012136.8929850969,1038892.2278337441,1065647.5626823918,1092402.897531039
CalamityQueller (Stacked),960393.1487132735,986489.1409422517,1012871.017182169,1039538.7774330254,1066492.4216948214
CalamityQueller (Unstacked),944980.4006053754,967043.3872442066,989320.3304687078,1011811.2302788792,1034516.086674721
"Vortex (Unshielded, Stacked)",944071.6671456008,960499.5292465359,976927.3913474714,993355.2534484067,1009783.115549342
"Vortex (Unshielded, Unstacked)",931870.8884391545,945248.555863478,958626.2232878017,972003.8907121256,985381.5581364492
StaffOfTheScarletSands,891091.5455195456,891091.5455195456,891091.5455195456,891091.5455195456,891091.5455195456
SkywardSpine,904182.3887632036,914716.0369295613,926989.7363340622,937070.0184119863,949975.5667408719
EngulfingLightning,886450.4724473702,909627.1259811295,934727.7809193564,961868.9146652571,990720.9379058832
Lithic (4 Stacks),932512.209901834,969527.0607388818,1007265.66049843,1045730.1907084743,1084922.8328970096
Lithic (3 Stacks),892416.7826603395,918956.2619810079,945458.8166167851,972406.9269136388,1003675.2937815357
Lithic (2 Stacks),851529.6606998087,869777.8484768617,886483.0494465926,905400.3140601815,922097.5072829017
Lithic (1 Stacks),813181.913105334,821987.4571704523,830836.9427616986,838487.371629192,847366.8852876414
Deathmatch (1 Opponent),860168.2776074988,879955.7863268207,899880.7604517876,920103.4363024926,940488.2370296209
Deathmatch (2+ Opponents),834252.3495553797,847153.9106140061,860168.2776074988,873359.9500870466,886551.6225665946
Blackcliff (3 Stacks),901062.8464675845,932238.7431192714,963644.3557202445,995049.9683212176,1026455.5809221904
Blackcliff (2 Stacks),860358.6514756429,880582.9379448734,901062.8464675845,921770.205585614,942707.280652929
Blackcliff (1 Stacks),820594.6956771042,830377.4833938552,840335.9094975363,850347.2804865895,860358.6514756429
Blackcliff (0 Stacks),781770.9790719688,781770.9790719688,781770.9790719688,781770.9790719688,781770.9790719688
MissiveWindspear (On),812514.6813656082,821362.2487185897,830209.8160715714,839057.3834245533,847904.950777535
MissiveWindspear (Off),777124.4119536806,777124.4119536806,777124.4119536806,777124.4119536806,777124.4119536806
WavebreakersFin,768679.0698955336,768679.0698955336,768679.0698955336,768679.0698955336,768679.0698955336
FavoniusLance,782291.8908218151,782291.8908218151,782291.8908218151,782291.8908218151,782291.8908218151
PrototypeStarglitter,743275.8990233187,743275.8990233187,743275.8990233187,743275.8990233187,743275.8990233187
WhiteTassel,682599.3612683048,682599.3612683048,682599.3612683048,682599.3612683048,682599.3612683048
