Weapon,R1,R2,R3,R4,R5
PJWS,476772.1982872695,486972.8147450166,497423.7897685517,507986.3034944149,518660.3559226064
Homa (50%),517100.0495266984,537755.4271845422,559527.1222281106,582415.1346574037,606419.464472421
Homa,473941.9261384032,483775.74072483863,494266.6586695854,505375.21095465065,517237.8361889441
LumidouceElegy,470308.15483141993,478500.40300244704,486692.6511734743,494925.4144087221,503320.89289898827
"Vortex (Shielded, Stacked)",502447.62847105734,519285.36425841704,536123.1000457772,552960.8358331369,569798.5716204967
"Vortex (Shielded, Unstacked)",490139.95394329785,503900.77109871764,517661.58825413784,531422.4054095577,545183.2225649776
CalamityQueller (Stacked),481876.1097806607,496736.98956554517,511801.9971554919,527071.1325505006,542544.3957505717
CalamityQueller (Unstacked),473973.82249017106,486730.73583361803,499640.4191346013,512702.87239312043,525918.0956091762
"Vortex (Unshielded, Stacked)",468772.1568963374,477191.0247900176,485609.8926836975,494028.76057737734,502447.62847105734
"Vortex (Unshielded, Unstacked)",462618.3196324577,469498.72821016784,476379.1367878779,483259.54536558775,490139.95394329785
StaffOfTheScarletSands,445450.4280109294,445450.4280109294,445450.4280109294,445450.4280109294,445450.4280109294
SkywardSpine,449336.7517705791,455455.20373608806,461650.6355164184,467648.27685267536,474004.81200977805
EngulfingLightning,441683.0247678805,454001.2861604449,467211.3728920226,481313.28496261314,496307.0223722169
Lithic (4 Stacks),464279.9586349154,484068.607810533,504713.67999332363,525781.8590183987,547274.4259501565
Lithic (3 Stacks),442846.45090199064,457296.5701370068,471960.1626338578,487043.666709347,502530.93057554646
Lithic (2 Stacks),422232.837548115,431361.44945724367,440750.9265696991,450313.1816390982,459970.31371375744
Lithic (1 Stacks),402143.1611808264,406582.34902148356,411044.2856101238,415528.9709467473,420036.4050313536
Deathmatch (1 Opponent),430957.5352912276,441692.95863086946,452508.3743185795,463323.7900062895,474139.2056939997
Deathmatch (2+ Opponents),416877.7068199287,423917.62105557823,430957.5352912276,438087.8200682993,445298.0971934394
Blackcliff (3 Stacks),451996.3054922709,468365.63144170155,484734.95739113237,501104.28334056307,517473.6092899936
Blackcliff (2 Stacks),430170.5375596966,441083.42152598384,451996.3054922709,462909.1894585581,473822.07342484524
Blackcliff (1 Stacks),408642.08666657814,413964.2970960833,419286.50752558827,424714.0955765529,430170.5375596966
Blackcliff (0 Stacks),387665.77489742613,387665.77489742613,387665.77489742613,387665.77489742613,387665.77489742613
MissiveWindspear (On),401819.3249635755,406353.4816461392,410887.63832870283,415421.7950112664,419955.95169382985
MissiveWindspear (Off),383682.69823332113,383682.69823332113,383682.69823332113,383682.69823332113,383682.69823332113
WavebreakersFin,378830.680815656,378830.680815656,378830.680815656,378830.680815656,378830.680815656
FavoniusLance,386698.62362930574,386698.62362930574,386698.62362930574,386698.62362930574,386698.62362930574
PrototypeStarglitter,366999.2074992669,366999.2074992669,366999.2074992669,366999.2074992669,366999.2074992669
WhiteTassel,336961.37469324114,336961.37469324114,336961.37469324114,336961.37469324114,336961.37469324114
