Weapon,R1,R2,R3,R4,R5
PJWS,1029747.0100605781,1045974.2918687048,1062355.5648188887,1078890.8289111292,1095580.0841454265
Homa (50%),1098553.9485533347,1129328.0348311688,1161765.3028774888,1195865.752692296,1231629.38427559
Homa,1033053.1075170957,1048232.2529349518,1064242.9892370517,1081085.316423394,1098759.2344939802
FracturedHalo,1055652.3210949246,1074402.2926966297,1093152.2642983345,1111902.2359000393,1130652.2075017442
LumidouceElegy,1030292.6911954423,1042826.3127702103,1055359.9343449785,1067893.5559197462,1080427.1774945143
"Vortex (Shielded, Stacked)",1033220.5355327883,1058832.752513285,1084444.9694937821,1110057.1864742786,1135669.403454776
"Vortex (Shielded, Unstacked)",1014144.1366799361,1034987.2539472198,1055830.3712145037,1076673.4884817873,1097516.6057490716
CalamityQueller (Stacked),1018342.4560859305,1043146.6189226629,1068236.665770335,1093612.5966289458,1119274.411498496
CalamityQueller (Unstacked),1006157.9131534427,1027736.1216938803,1049528.2868199889,1071534.408531767,1093754.4868292157
"Vortex (Unshielded, Stacked)",981996.1015717944,994802.2100620427,1007608.318552291,1020414.4270425398,1033220.5355327883
"Vortex (Unshielded, Unstacked)",972457.9021453684,982879.46077901,993301.0194126519,1003722.578046294,1014144.1366799361
StaffOfTheScarletSands,997172.5624094905,997172.5624094905,997172.5624094905,997172.5624094905,997172.5624094905
SkywardSpine,883198.4893504806,893371.8680684275,905605.4925856963,915453.2378829448,928061.0748345042
EngulfingLightning,857457.0688413593,873847.4575998806,891421.8021164277,910180.1023910007,930122.3584235999
SacrificersStaff,872677.9441305734,875778.6217787825,878879.2994269915,881979.9770752005,885080.6547234097
Lithic (4 Stacks),990430.2306507326,1025818.5231688824,1061785.1389702104,1098331.7786341354,1135460.142740077
Lithic (3 Stacks),954427.1931660223,979862.8824044643,1005155.4224787514,1030819.9903091223,1060951.6092188589
Lithic (2 Stacks),917316.8123815269,935006.7909565095,950989.2368040668,969295.5341581958,985176.988323218
Lithic (1 Stacks),882674.3198857901,891246.84766618,899853.629444282,907149.8796563013,915764.1003242645
Deathmatch (1 Opponent),966748.2924798519,982851.8229805168,998955.3534811818,1015058.8839818466,1031162.4144825116
Deathmatch (2+ Opponents),945276.918478965,956012.6054794083,966748.2924798519,977483.9794802952,988219.6664807387
Blackcliff (3 Stacks),987784.047424017,1012265.8503329832,1036747.6532419492,1061229.4561509155,1085711.2590598818
Blackcliff (2 Stacks),955141.6435453955,971462.845484706,987784.047424017,1004105.2493633276,1020426.4513026385
Blackcliff (1 Stacks),922499.2396667739,930659.8406364293,938820.4416060848,946981.04257574,955141.6435453955
Blackcliff (0 Stacks),889856.8357881524,889856.8357881524,889856.8357881524,889856.8357881524,889856.8357881524
MissiveWindspear (On),874721.1355492848,881618.1320483369,888515.1285473892,895412.1250464416,902309.1215454937
MissiveWindspear (Off),847133.1495530752,847133.1495530752,847133.1495530752,847133.1495530752,847133.1495530752
WavebreakersFin,845849.4245900721,845849.4245900721,845849.4245900721,845849.4245900721,845849.4245900721
FavoniusLance,781065.5049188779,781065.5049188779,781065.5049188779,781065.5049188779,781065.5049188779
PrototypeStarglitter,752069.5478078041,752069.5478078041,752069.5478078041,752069.5478078041,752069.5478078041
WhiteTassel,802625.201908906,802625.201908906,802625.201908906,802625.201908906,802625.201908906
