Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),1007358.5393953554,1033491.8228878791,1059938.6447035156,1086699.0048422646,1113772.9033041266
PJWS,965810.2873299088,981723.3015011854,997790.3068145186,1014011.3032699084,1030386.290867355
Homa (50%),1036054.0432143181,1066828.1294921518,1099265.3975384722,1133365.8473532798,1169129.4789365733
Homa,970553.2021780792,985732.3475959356,1001743.0838980348,1018585.4110843777,1036259.3291549636
"Vortex (Shielded, Stacked)",981996.1015717944,1007608.318552291,1033220.5355327883,1058832.752513285,1084444.9694937821
"Vortex (Shielded, Unstacked)",962919.7027189422,983762.8199862258,1004605.93725351,1025449.0545207937,1046292.1717880776
CalamityQueller (Stacked),957618.177601949,981826.748749225,1006321.20390744,1031101.5430765938,1056167.7662566877
CalamityQueller (Unstacked),945433.6346694609,966416.2515204425,987612.8249570937,1009023.3549794151,1030647.8415874074
"Vortex (Unshielded, Stacked)",930771.6676108006,943577.7761010488,956383.8845912976,969189.993081546,981996.1015717944
"Vortex (Unshielded, Unstacked)",921233.4681843744,931655.0268180162,942076.5854516585,952498.1440853005,962919.7027189422
StaffOfTheScarletSands,935324.2909553698,935324.2909553698,935324.2909553698,935324.2909553698,935324.2909553698
SkywardSpine,825525.2150640948,835034.2673952847,846469.0305118506,855673.7134369608,867458.2527408986
EngulfingLightning,806232.6348803657,822623.0236388869,840197.368155434,858955.6684300072,878897.9244626067
Lithic (4 Stacks),937593.4894193906,971671.6311067498,1006325.261778256,1041556.0820133284,1077365.7923913854
Lithic (3 Stacks),902542.3453119034,927026.1411731216,951389.7199259849,976120.3734584092,1005097.6593401236
Lithic (2 Stacks),866482.1487553973,883477.3662569261,898866.2554364095,916458.7929268535,931765.6892140325
Lithic (1 Stacks),832791.9173960538,841021.9051993241,849286.1470003063,856315.2160301717,864590.0987792161
Deathmatch (1 Opponent),913069.8574776349,929173.3879782998,945276.918478965,961380.4489796303,977483.9794802952
Deathmatch (2+ Opponents),891598.4834767485,902334.1704771919,913069.8574776349,923805.5444780781,934541.2314785214
Blackcliff (3 Stacks),933380.0409596476,957861.8438686138,982343.6467775799,1006825.4496865461,1031307.2525955127
Blackcliff (2 Stacks),900737.637081026,917058.8390203367,933380.0409596476,949701.2428989586,966022.4448382693
Blackcliff (1 Stacks),868095.2332024046,876255.8341720599,884416.4351417155,892577.0361113707,900737.637081026
Blackcliff (0 Stacks),835452.8293237828,835452.8293237828,835452.8293237828,835452.8293237828,835452.8293237828
MissiveWindspear (On),828741.1588889356,835638.1553879881,842535.1518870404,849432.1483860929,856329.144885145
MissiveWindspear (Off),801153.1728927265,801153.1728927265,801153.1728927265,801153.1728927265,801153.1728927265
WavebreakersFin,793982.8121841013,793982.8121841013,793982.8121841013,793982.8121841013,793982.8121841013
FavoniusLance,732142.2103857184,732142.2103857184,732142.2103857184,732142.2103857184,732142.2103857184
PrototypeStarglitter,706089.5711474551,706089.5711474551,706089.5711474551,706089.5711474551,706089.5711474551
WhiteTassel,756234.9715092806,756234.9715092806,756234.9715092806,756234.9715092806,756234.9715092806
