Weapon,R1,R2,R3,R4,R5
PJWS,1443254.6449777812,1461255.63901835,1479414.1267169544,1497730.1080735922,1516203.5830882646
Homa (50%),1530983.5897895503,1562330.9207736903,1595372.414467093,1630108.0708697583,1666537.8899816861
Homa,1464262.6309553823,1479724.526108794,1496033.5026168374,1513189.5604795122,1531192.6996968181
LumidouceElegy,1462134.0542539577,1474897.9070886471,1487661.759923337,1500425.6127580265,1513189.4655927154
"Vortex (Shielded, Stacked)",1396681.9910682854,1422895.6343724404,1449109.2776765954,1475322.9209807497,1501536.5642849042
"Vortex (Shielded, Unstacked)",1377384.9247481886,1398774.3014723195,1420163.67819645,1441553.0549205802,1462942.4316447105
CalamityQueller (Stacked),1394676.2767147948,1423369.497545754,1452354.9431830284,1481632.6136266151,1511202.508876516
CalamityQueller (Unstacked),1382352.6395628639,1407783.5118192304,1433434.033167268,1459304.203606974,1485394.0231383503
"Vortex (Unshielded, Stacked)",1344254.7044599757,1357361.526112053,1370468.347764131,1383575.169416208,1396681.9910682854
"Vortex (Unshielded, Unstacked)",1334606.1712999274,1345300.8596619924,1355995.5480240583,1366690.2363861233,1377384.9247481886
StaffOfTheScarletSands,1452188.618841269,1452188.618841269,1452188.618841269,1452188.618841269,1452188.618841269
SkywardSpine,1259613.2938283058,1273705.3823251016,1290813.6674496206,1304489.4382844085,1322081.785177935
EngulfingLightning,1216835.6274498974,1233631.2374418552,1251642.303391911,1270868.8253000658,1291310.8031663203
Lithic (4 Stacks),1377476.373303262,1421900.2153639311,1466920.380291867,1512538.5686664893,1558756.4810672186
Lithic (3 Stacks),1335011.7554720077,1366681.0098671115,1398047.3129843625,1430518.5239658256,1468913.2034396736
Lithic (2 Stacks),1289995.2154202485,1312578.1877615259,1332591.806397753,1355885.646430961,1375710.1045224234
Lithic (1 Stacks),1248327.239147991,1259588.3478883367,1270884.9989441358,1279599.7183449059,1290328.7732170199
Deathmatch (1 Opponent),1406209.1379695067,1422610.1985545135,1439011.2591395206,1455412.3197245281,1471813.3803095347
Deathmatch (2+ Opponents),1384341.0571894967,1395275.0975795018,1406209.1379695067,1417143.1783595115,1428077.218749516
Blackcliff (3 Stacks),1406636.6020856379,1431591.281981432,1456545.9618772264,1481500.6417730215,1506455.321668815
Blackcliff (2 Stacks),1373363.6955579123,1390000.148821775,1406636.6020856379,1423273.055349501,1439909.5086133638
Blackcliff (1 Stacks),1340090.7890301861,1348409.0156621179,1356727.242294049,1365045.4689259809,1373363.6955579123
Blackcliff (0 Stacks),1306817.8825024604,1306817.8825024604,1306817.8825024604,1306817.8825024604,1306817.8825024604
MissiveWindspear (On),1234466.908427416,1241525.8602641057,1248584.8121007949,1255643.7639374845,1262702.7157741734
MissiveWindspear (Off),1206231.1010806598,1206231.1010806598,1206231.1010806598,1206231.1010806598,1206231.1010806598
WavebreakersFin,1204910.270509617,1204910.270509617,1204910.270509617,1204910.270509617,1204910.270509617
FavoniusLance,1138608.5748013083,1138608.5748013083,1138608.5748013083,1138608.5748013083,1138608.5748013083
PrototypeStarglitter,1108935.2149316266,1108935.2149316266,1108935.2149316266,1108935.2149316266,1108935.2149316266
WhiteTassel,1209208.3475428473,1209208.3475428473,1209208.3475428473,1209208.3475428473,1209208.3475428473
