Weapon,R1,R2,R3,R4,R5
PJWS,1317777.2755013816,1336826.113205128,1356046.7621721844,1375439.2224025507,1395003.4938962278
Homa (50%),1399636.7942343391,1433833.8825806736,1469879.148428022,1507772.5917763836,1547514.21262576
Homa,1326850.2936879734,1343717.8156735136,1361509.4264095612,1380225.1258961153,1399864.9141331767
FracturedHalo,1351963.2181238595,1372798.7493421044,1393634.280560349,1414469.8117785936,1435305.3429968385
LumidouceElegy,1323832.524463332,1337756.7275557206,1351680.930648109,1365605.1337404978,1379529.336832886
"Vortex (Shielded, Stacked)",1300838.235471228,1329434.9372575781,1358031.6390439288,1386628.3408302797,1415225.04261663
"Vortex (Shielded, Unstacked)",1279786.8903947587,1303120.7559119917,1326454.621429225,1349788.4869464585,1373122.3524636915
CalamityQueller (Stacked),1289162.269446619,1318091.9863979206,1347340.494047019,1376907.7923939135,1406793.881438605
CalamityQueller (Unstacked),1275718.3016445127,1301089.0928780767,1326699.501302553,1352549.5269179419,1378639.1697242425
"Vortex (Unshielded, Stacked)",1243644.8318985268,1257943.1827917018,1272241.5336848772,1286539.8845780524,1300838.235471228
"Vortex (Unshielded, Unstacked)",1233119.1593602921,1244786.0921189084,1256453.0248775252,1268119.9576361421,1279786.8903947587
StaffOfTheScarletSands,1296962.0459759808,1296962.0459759808,1296962.0459759808,1296962.0459759808,1296962.0459759808
SkywardSpine,1139747.38134987,1152429.4204460671,1167984.5157906336,1180271.6376330806,1196282.917112987
EngulfingLightning,1104642.2024329859,1122964.6860605755,1142613.1216424555,1163587.5091786247,1185887.8486690838
SacrificersStaff,1129423.0290101573,1132881.8587854393,1136340.6885607212,1139799.5183360036,1143258.3481112856
Lithic (4 Stacks),1262525.6494491522,1305175.7500431633,1348463.7488936014,1392391.501178014,1436960.8620739486
Lithic (3 Stacks),1220358.2771788673,1250748.8893369874,1280911.2441440653,1312015.2556594482,1348823.4602644476
Lithic (2 Stacks),1175938.2688246004,1197527.2656406555,1216669.1557980496,1238972.1292248233,1257966.9098927323
Lithic (1 Stacks),1134806.8587528593,1145507.1685990717,1156246.2518803244,1164597.72656059,1174897.1484653258
Deathmatch (1 Opponent),1257188.867814306,1275080.9339070406,1292972.9999997756,1310865.0660925107,1328757.1321852452
Deathmatch (2+ Opponents),1233332.779690659,1245260.8237524822,1257188.867814306,1269116.911876129,1281044.9559379525
Blackcliff (3 Stacks),1271985.6295717577,1299208.9167308062,1326432.2038898547,1353655.4910489037,1380878.7782079515
Blackcliff (2 Stacks),1235687.9133596937,1253836.7714657257,1271985.6295717577,1290134.48767779,1308283.345783822
Blackcliff (1 Stacks),1199390.1971476288,1208464.6262006448,1217539.055253661,1226613.4843066772,1235687.9133596937
Blackcliff (0 Stacks),1163092.4809355643,1163092.4809355643,1163092.4809355643,1163092.4809355643,1163092.4809355643
MissiveWindspear (On),1123876.3271357343,1131577.0018666678,1139277.6765976015,1146978.3513285355,1154679.026059469
MissiveWindspear (Off),1093073.6282119995,1093073.6282119995,1093073.6282119995,1093073.6282119995,1093073.6282119995
WavebreakersFin,1091632.7221344984,1091632.7221344984,1091632.7221344984,1091632.7221344984,1091632.7221344984
FavoniusLance,1019303.5995436162,1019303.5995436162,1019303.5995436162,1019303.5995436162,1019303.5995436162
PrototypeStarglitter,986932.6615039634,986932.6615039634,986932.6615039634,986932.6615039634,986932.6615039634
WhiteTassel,1062608.833137169,1062608.833137169,1062608.833137169,1062608.833137169,1062608.833137169
