Weapon,R1,R2,R3,R4,R5
PJWS,881636.5912247287,898528.1007696016,915692.1174865891,933185.0005704132,950831.8747962941
Homa (50%),943255.2759833218,977272.3885249959,1013127.9517971019,1050821.9657996404,1090354.4305326114
Homa,872543.2583515575,888611.4364716501,905870.6707297565,924093.6567427659,943482.195310288
LumidouceElegy,868391.1697682526,881721.9657275998,895278.1888380158,908834.4119484317,922488.7691351543
"Vortex (Shielded, Stacked)",919939.3728694165,948250.6494285807,976561.9259877448,1004873.2025469091,1033184.479106073
"Vortex (Shielded, Unstacked)",900440.3542126437,923876.8761076147,947313.3980025856,970749.9198975568,994186.4417925277
CalamityQueller (Stacked),890537.9212632463,914685.5213641379,939119.0054759686,963838.3735987383,988843.6257324474
CalamityQueller (Unstacked),878092.0101785939,898948.3139451498,920018.5742973755,941302.7912352716,962800.9647588378
"Vortex (Unshielded, Stacked)",863316.819751088,877472.4580306698,891628.0963102521,905783.7345898345,919939.3728694165
"Vortex (Unshielded, Unstacked)",853567.3104227018,865285.5713701869,877003.8323176726,888722.0932651584,900440.3542126437
StaffOfTheScarletSands,821786.217267964,821786.217267964,821786.217267964,821786.217267964,821786.217267964
SkywardSpine,742181.7342860026,750847.6316446055,761342.3557601837,769788.9808061926,780664.1117438365
EngulfingLightning,725497.107957281,743542.9961347952,762884.5622775177,783521.8063854482,805454.7284585867
Lithic (4 Stacks),854929.613813411,888099.223405081,921895.2335320552,956319.523983744,991373.9745495565
Lithic (3 Stacks),819454.0210490238,843248.66019175,866989.1742525073,891118.4349456024,919184.8118487207
Lithic (2 Stacks),783200.6225056654,799600.651244945,814572.6630464207,831567.7065700889,846514.3367416074
Lithic (1 Stacks),749230.6208988775,757151.4369858467,765110.1168158577,771962.2808829361,779943.7205705061
Deathmatch (1 Opponent),791695.0182692149,809235.6709669958,827036.2192729244,844836.7675788531,862637.3158847817
Deathmatch (2+ Opponents),768492.0827471948,780077.9706530385,791695.0182692149,803312.0658853914,815169.187068972
Blackcliff (3 Stacks),829164.3856524962,856226.123156535,883287.8606605739,910349.5981646127,937411.3356686512
Blackcliff (2 Stacks),793082.0689804446,811123.2273164705,829164.3856524962,847205.5439885221,865246.7023245479
Blackcliff (1 Stacks),757617.6836691189,766441.2961168373,775264.9085645557,784088.5210122741,793082.0689804446
Blackcliff (0 Stacks),722963.4881339388,722963.4881339388,722963.4881339388,722963.4881339388,722963.4881339388
MissiveWindspear (On),744865.9001459315,752489.7140258837,760113.5279058358,767737.341785788,775361.1556657403
MissiveWindspear (Off),714370.6446261231,714370.6446261231,714370.6446261231,714370.6446261231,714370.6446261231
WavebreakersFin,712806.991578183,712806.991578183,712806.991578183,712806.991578183,712806.991578183
FavoniusLance,641268.354237777,641268.354237777,641268.354237777,641268.354237777,641268.354237777
PrototypeStarglitter,609289.0766474499,609289.0766474499,609289.0766474499,609289.0766474499,609289.0766474499
WhiteTassel,631309.3280884287,631309.3280884287,631309.3280884287,631309.3280884287,631309.3280884287
