Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),847482.467135838,872021.7366167472,896938.3908652783,922480.7536865463,948329.6677519016
PJWS,813997.685137007,830084.1452283716,846525.0474794775,863113.0776077731,879906.9178956146
Homa (50%),875719.9569062197,908667.7292472139,944041.6986889904,981735.7126915291,1021268.1774244998
Homa,807588.5114146814,823124.965779043,839698.6902462782,857228.1983222307,875937.2663112647
LumidouceElegy,802948.321271346,815908.1181561851,828867.9150410249,841875.1497729968,855133.1597706247
"Vortex (Shielded, Stacked)",863316.819751088,891628.0963102521,919939.3728694165,948250.6494285807,976561.9259877448
"Vortex (Shielded, Unstacked)",843817.8010943152,867254.3229892862,890690.8448842573,914127.3667792282,937563.8886741992
CalamityQueller (Stacked),823665.4715451171,847217.4799565519,871055.3723789258,895179.1488122391,919588.8092564914
CalamityQueller (Unstacked),811219.5604604646,831480.2725375637,851954.9412003327,872643.5664487724,893546.148282882
"Vortex (Unshielded, Stacked)",806694.2666327596,820849.9049123416,835005.5431919239,849161.1814715061,863316.819751088
"Vortex (Unshielded, Unstacked)",796944.7573043732,808663.0182518587,820381.2791993442,832099.5401468299,843817.8010943152
StaffOfTheScarletSands,760634.7946337132,760634.7946337132,760634.7946337132,760634.7946337132,760634.7946337132
SkywardSpine,680412.9766420276,689205.5649782843,698599.3339022975,707444.6455346135,717205.5283533036
EngulfingLightning,668874.5548389527,686920.443016467,706262.0091591893,726899.2532671199,748832.1753402585
Lithic (4 Stacks),796524.8457051055,828246.2385128487,860590.8988735474,893560.7065766109,927157.5414114487
Lithic (3 Stacks),762101.458483016,784843.8920834444,807557.549277276,830654.4781737195,857444.8764443509
Lithic (2 Stacks),727008.9143920199,742640.9669382167,756956.8720466959,773162.9384617833,787474.4628558034
Lithic (1 Stacks),694091.524841795,701633.7034983458,709213.7458979386,715770.5727692905,723376.9145230568
Deathmatch (1 Opponent),734443.3020622879,751441.4882045945,768492.0827471948,785886.4944611266,803312.0658853912
Deathmatch (2+ Opponents),712209.1451810398,723326.223621664,734443.3020622879,745757.9566903946,757125.0197187946
Blackcliff (3 Stacks),769382.5002660769,796088.9287031154,823150.6662071543,850212.403711193,877274.1412152316
Blackcliff (2 Stacks),734465.6824371704,751735.2753706401,769382.5002660769,787068.3495351025,805109.5078711284
Blackcliff (1 Stacks),700359.0543844092,708788.7333915383,717218.4123986672,725839.0367097466,734465.6824371704
Blackcliff (0 Stacks),667062.616107793,667062.616107793,667062.616107793,667062.616107793,667062.616107793
MissiveWindspear (On),694040.4742795842,701664.2881595363,709288.1020394884,716911.9159194406,724535.7297993927
MissiveWindspear (Off),663545.2187597756,663545.2187597756,663545.2187597756,663545.2187597756,663545.2187597756
WavebreakersFin,655474.5861432856,655474.5861432856,655474.5861432856,655474.5861432856,655474.5861432856
FavoniusLance,587375.7062206577,587375.7062206577,587375.7062206577,587375.7062206577,587375.7062206577
PrototypeStarglitter,558468.1799485062,558468.1799485062,558468.1799485062,558468.1799485062,558468.1799485062
WhiteTassel,582467.061972957,582467.061972957,582467.061972957,582467.061972957,582467.061972957
