Weapon,R1,R2,R3,R4,R5
PJWS,980902.0213898586,998969.7096172367,1017316.7523016743,1036012.622158203,1054862.4831567886
Homa (50%),1052586.9328236305,1090493.5698390873,1130448.8664644372,1172452.8226996793,1216505.4385448142
Homa,973727.0251581905,991632.4424610811,1010896.4323698559,1031203.0387958612,1052839.7981586456
LumidouceElegy,969102.9607414929,983989.9373727441,999096.1821522664,1014202.426931789,1029449.9608555903
"Vortex (Shielded, Stacked)",1026338.14688211,1057886.5413161672,1089434.9357502249,1120983.3301842825,1152531.7246183401
"Vortex (Shielded, Unstacked)",1003120.700150758,1028864.7329019774,1054608.765653197,1080352.7984044165,1106096.831155636
CalamityQueller (Stacked),990118.5950764775,1016035.9097986186,1042239.108531699,1068728.1912757189,1095503.1580306774
CalamityQueller (Unstacked),975425.1212212697,997489.2489164362,1019767.333197273,1042259.3740637802,1064965.3715159572
"Vortex (Unshielded, Stacked)",963241.3580139948,979015.5552310236,994789.7524480523,1010563.9496650812,1026338.14688211
"Vortex (Unshielded, Unstacked)",951632.6346483188,964504.6510239285,977376.6673995382,990248.6837751481,1003120.700150758
StaffOfTheScarletSands,917087.3628563129,917087.3628563129,917087.3628563129,917087.3628563129,917087.3628563129
SkywardSpine,828415.4371291263,838054.3033080254,849767.9297968328,859195.5821858168,871333.7975802881
EngulfingLightning,809825.9020160404,830009.6831506084,851650.8398126947,874749.3720022995,899305.2797194232
Lithic (4 Stacks),953928.5789764487,990921.7083221814,1028612.9278294293,1067004.3322231572,1106098.016228327
Lithic (3 Stacks),914374.2490552217,940912.0224304383,967388.9412133631,994299.1728203795,1025601.8898274194
Lithic (2 Stacks),873950.8607444844,892242.4579816072,908940.3716628174,927895.4658844285,944564.6477215058
Lithic (1 Stacks),836074.262946849,844908.825525761,853785.5811968048,861427.5245551885,870329.5669329069
Deathmatch (1 Opponent),883442.3811538806,903014.9917124779,922850.858806791,942686.7259011044,962522.592995418
Deathmatch (2+ Opponents),857560.0610502901,870497.0376407235,883442.3811538806,896403.0360143732,909626.9474105822
Blackcliff (3 Stacks),925247.3450743938,955403.3278703017,985559.3106662097,1015715.2934621176,1045871.2762580252
Blackcliff (2 Stacks),885039.3680131837,905143.3565437892,925247.3450743938,945351.333604999,965455.3221356042
Blackcliff (1 Stacks),845492.1124674852,855324.6187923821,865157.1251172784,874989.6314421754,885039.3680131837
Blackcliff (0 Stacks),806847.683983324,806847.683983324,806847.683983324,806847.683983324,806847.683983324
MissiveWindspear (On),831112.5553727624,839608.077885636,848103.6003985095,856599.1229113832,865094.6454242569
MissiveWindspear (Off),797130.4653212674,797130.4653212674,797130.4653212674,797130.4653212674,797130.4653212674
WavebreakersFin,795538.6313773303,795538.6313773303,795538.6313773303,795538.6313773303,795538.6313773303
FavoniusLance,715744.9460090679,715744.9460090679,715744.9460090679,715744.9460090679,715744.9460090679
PrototypeStarglitter,680033.8466854923,680033.8466854923,680033.8466854923,680033.8466854923,680033.8466854923
WhiteTassel,704543.1523526954,704543.1523526954,704543.1523526954,704543.1523526954,704543.1523526954
