Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),942345.7550161695,968739.4237031484,995551.769126016,1022991.7834355289,1050738.3489891293
PJWS,905655.4483362322,922873.8157523714,940464.0885957826,958201.4893163838,976131.5465122138
Homa (50%),977266.9481564042,1014013.3072016735,1053463.2752823848,1095467.2315176274,1139519.8473627619
Homa,901282.6758433745,918626.9028090222,937095.6707446903,956660.8376418215,977509.104768815
LumidouceElegy,896145.4274969588,910587.0505390619,925028.6735811655,939555.092919867,954329.0268306797
"Vortex (Shielded, Stacked)",963241.3580139948,994789.7524480523,1026338.14688211,1057886.5413161672,1089434.9357502249
"Vortex (Shielded, Unstacked)",940023.9112826426,965767.9440338622,991511.976785082,1017256.0095363013,1043000.042287521
CalamityQueller (Stacked),915872.3344364746,941194.0574691589,966801.6645127828,992695.1555673454,1018874.5306328476
CalamityQueller (Unstacked),901178.8605812667,922647.3965869764,944329.8891783569,966226.3383554069,988336.7441181275
"Vortex (Unshielded, Stacked)",900144.5691458797,915918.7663629082,931692.9635799372,947467.1607969662,963241.3580139948
"Vortex (Unshielded, Unstacked)",888535.8457802036,901407.8621558133,914279.8785314233,927151.8949070331,940023.9112826426
StaffOfTheScarletSands,848885.1057498935,848885.1057498935,848885.1057498935,848885.1057498935,848885.1057498935
SkywardSpine,759516.5436088209,769297.8837101959,779783.298977459,789656.5209380393,800551.712267201
EngulfingLightning,746729.1131479255,766912.8942824935,788554.0509445798,811652.5831341844,836208.4908513079
Lithic (4 Stacks),888845.7962463968,924225.1193679611,960299.041442769,997069.6571957843,1034539.0613519697
Lithic (3 Stacks),850463.9812912383,875829.2397003863,901161.890565989,926921.7533212324,956802.5960054038
Lithic (2 Stacks),811334.1797980051,828769.9902674519,844736.7778654487,862812.6831543762,878774.1410732478
Lithic (1 Stacks),774630.5499616377,783043.1816192303,791498.0063689547,798810.8436087092,807294.8992685799
Deathmatch (1 Opponent),819591.7793527601,838559.8976051338,857560.0610502901,876969.7093973019,896403.036014373
Deathmatch (2+ Opponents),794815.3638586565,807203.5716057085,819591.7793527601,832226.5097900818,844893.2854201859
Blackcliff (3 Stacks),858602.1209006809,888390.0327682847,918546.0155641922,948701.9983601,978857.9811560075
Blackcliff (2 Stacks),819665.0418293115,838937.1082508875,858602.1209006809,878338.0385029819,898442.0270335872
Blackcliff (1 Stacks),781630.789819479,791024.3202635634,800439.0050603303,810052.0234448209,819665.0418293115
Blackcliff (0 Stacks),744499.3648711832,744499.3648711832,744499.3648711832,744499.3648711832,744499.3648711832
MissiveWindspear (On),774475.7386202713,782971.2611331448,791466.7836460185,799962.3061588921,808457.8286717657
MissiveWindspear (Off),740493.6485687762,740493.6485687762,740493.6485687762,740493.6485687762,740493.6485687762
WavebreakersFin,731650.8255154652,731650.8255154652,731650.8255154652,731650.8255154652,731650.8255154652
FavoniusLance,655660.3904330193,655660.3904330193,655660.3904330193,655660.3904330193,655660.3904330193
PrototypeStarglitter,623397.0299330011,623397.0299330011,623397.0299330011,623397.0299330011,623397.0299330011
WhiteTassel,650068.2037723035,650068.2037723035,650068.2037723035,650068.2037723035,650068.2037723035
