Weapon,R1,R2,R3,R4,R5
PJWS,656406.6995252862,666999.0906791362,677703.0205353143,688518.4890938208,699445.4963546552
Homa (50%),702006.4164605475,721516.6849318497,742081.3835014751,763700.5121694241,786374.0709356962
Homa,660479.952208266,670103.2826816266,680253.8282041487,690931.5887758329,702136.5643966787
LumidouceElegy,657412.7252457988,665342.768549942,673272.8118540853,681202.8551582283,689132.8984623719
"Vortex (Shielded, Stacked)",646041.2661692693,661945.5382238395,677849.8102784097,693754.08233298,709658.3543875506
"Vortex (Shielded, Unstacked)",634579.0740928703,647617.7981283406,660656.5221638111,673695.2461992818,686733.9702347525
CalamityQueller (Stacked),643163.2923700049,659695.054923004,676430.9452810659,693370.9634441894,710515.1094123754
CalamityQueller (Unstacked),635774.5835547753,650330.774285152,665039.7349730653,679901.4656185146,694915.9662215001
"Vortex (Unshielded, Stacked)",614232.7220601288,622184.8580874138,630136.994114699,638089.130141984,646041.2661692693
"Vortex (Unshielded, Unstacked)",608501.6260219293,615020.9880396645,621540.3500573997,628059.7120751347,634579.0740928703
StaffOfTheScarletSands,640322.7163212074,640322.7163212074,640322.7163212074,640322.7163212074,640322.7163212074
SkywardSpine,555831.3633097882,563492.0861242007,571253.1883124122,579014.2905006239,586775.3926888356
EngulfingLightning,536956.3089538364,547160.6826913254,558105.0738844579,569789.4825332344,582213.9086376545
Lithic (4 Stacks),622324.4573363026,646009.8524667736,670687.4633932512,695775.9626627613,721276.5603190397
Lithic (3 Stacks),598333.8438103516,615728.219461085,633324.2336738837,651397.9879841952,669925.2561249903
Lithic (2 Stacks),575252.1287054427,586269.3998416854,597602.9440060663,609131.981585867,620750.6363043634
Lithic (1 Stacks),552684.0920619123,558074.5459132241,563486.4873494108,568919.9163704716,574374.8329764071
Deathmatch (1 Opponent),615848.0668380698,626063.8889446111,636279.711051152,646495.5331576932,656711.3552642339
Deathmatch (2+ Opponents),602226.9706960154,609037.5187670427,615848.0668380698,622658.6149090973,629469.1629801247
Blackcliff (3 Stacks),627331.2803678429,642793.11066008,658254.9409523169,673716.7712445536,689178.6015367908
Blackcliff (2 Stacks),606715.5066448604,617023.3935063516,627331.2803678429,637639.1672293344,647947.0540908256
Blackcliff (1 Stacks),586099.7329218781,591253.6763526236,596407.6197833691,601561.5632141148,606715.5066448604
Blackcliff (0 Stacks),565483.9591988953,565483.9591988953,565483.9591988953,565483.9591988953,565483.9591988953
MissiveWindspear (On),546064.2322158663,550347.0207290151,554629.809242164,558912.5977553128,563195.3862684616
MissiveWindspear (Off),528933.0781632712,528933.0781632712,528933.0781632712,528933.0781632712,528933.0781632712
WavebreakersFin,529880.8530174354,529880.8530174354,529880.8530174354,529880.8530174354,529880.8530174354
FavoniusLance,488779.89142758667,488779.89142758667,488779.89142758667,488779.89142758667,488779.89142758667
PrototypeStarglitter,469901.97649037023,469901.97649037023,469901.97649037023,469901.97649037023,469901.97649037023
WhiteTassel,506694.7590024701,506694.7590024701,506694.7590024701,506694.7590024701,506694.7590024701
