Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),510705.01721734134,526706.0637837324,542934.212099114,559389.4621634866,576071.8139768501
PJWS,487044.62921923585,497189.8614034871,507446.63229006634,517814.941878974,528294.7901702097
Homa (50%),523926.05282689387,543436.321298196,564001.0198678214,585620.1485357702,608293.7073020425
Homa,482399.5885746123,492022.91904797277,502173.46457049507,512851.22514217923,524056.20076302474
"Vortex (Shielded, Stacked)",503085.266300669,518989.5383552392,534893.8104098095,550798.0824643798,566702.35451895
"Vortex (Shielded, Unstacked)",491623.07422426995,504661.7982597404,517700.5222952108,530739.2463306815,543777.9703661519
CalamityQueller (Stacked),490285.176111179,505018.4760178996,519955.9037296823,535097.4592465273,550443.1425684346
CalamityQueller (Unstacked),482896.4672959494,495654.1953800476,508564.6934216819,521627.96142085234,534843.9993775593
"Vortex (Unshielded, Stacked)",471276.7221915285,479228.8582188135,487180.9942460986,495133.1302733837,503085.266300669
"Vortex (Unshielded, Unstacked)",465545.626153329,472064.9881710641,478584.3501887994,485103.7122065346,491623.07422426995
StaffOfTheScarletSands,453391.58702185686,453391.58702185686,453391.58702185686,453391.58702185686,453391.58702185686
SkywardSpine,403392.93583284004,408952.68231476925,414585.27882454253,420217.8753343161,425850.4718440897
EngulfingLightning,394000.30908523616,404204.6828227249,415149.0740158576,426833.48266463407,439257.90876905416
Lithic (4 Stacks),468083.97123227775,487578.313433139,507911.06044958363,528645.2642847358,549782.1349823303
Lithic (3 Stacks),447236.6474035337,461487.7333570599,475940.4578726514,490802.8526355674,506058.21938380355
Lithic (2 Stacks),427185.37806122564,436192.8638628983,445457.98436684627,454891.49548184196,464414.6237355337
Lithic (1 Stacks),407632.01941955066,412017.5806035776,416424.629372479,420853.1657262547,425303.189664905
Deathmatch (1 Opponent),437493.1944543245,447709.0165608655,457924.83866740635,468140.66077394766,478356.4828804884
Deathmatch (2+ Opponents),423872.0983122697,430682.64638329705,437493.1944543245,444303.7425253518,451114.2905963792
Blackcliff (3 Stacks),457716.0504938349,473177.8807860718,488639.71107830864,504101.5413705455,519563.37166278256
Blackcliff (2 Stacks),437100.2767708522,447408.1636323436,457716.0504938349,468023.937355326,478331.8242168174
Blackcliff (1 Stacks),416484.5030478698,421638.4464786153,426792.3899093609,431946.3333401066,437100.2767708522
Blackcliff (0 Stacks),395899.5700576393,395899.5700576393,395899.5700576393,395899.5700576393,395899.5700576393
MissiveWindspear (On),405118.53346682107,409401.3219799698,413684.11049311876,417966.8990062674,422249.6875194163
MissiveWindspear (Off),387987.3794142259,387987.3794142259,387987.3794142259,387987.3794142259,387987.3794142259
WavebreakersFin,386678.69382807333,386678.69382807333,386678.69382807333,386678.69382807333,386678.69382807333
FavoniusLance,346705.96245838294,346705.96245838294,346705.96245838294,346705.96245838294,346705.96245838294
PrototypeStarglitter,328956.2777413249,328956.2777413249,328956.2777413249,328956.2777413249,328956.2777413249
WhiteTassel,344185.5572319793,344185.5572319793,344185.5572319793,344185.5572319793,344185.5572319793
