Weapon,R1,R2,R3,R4,R5
PJWS,761227.5523582133,776316.8129733775,791614.1466183919,807266.9028608124,823070.2186128562
Homa (50%),816330.8632638198,846545.768926724,878983.0369730442,913083.4867878516,948847.1183711453
Homa,753794.6142669297,768009.5156674465,783260.5828830847,799389.6457944221,816531.8023251417
LumidouceElegy,749793.0165470762,761558.9469927615,773553.0027210232,785547.0584492845,797605.7033667
"Vortex (Shielded, Stacked)",801454.4004228248,827066.6174033216,852678.8343838186,878291.0513643153,903903.2683448123
"Vortex (Shielded, Unstacked)",782378.0015699725,803221.1188372563,824064.2361045402,844907.353371824,865750.470639108
CalamityQueller (Stacked),772078.0502884263,794363.4395818589,816934.7128862314,839791.8702015422,862934.9115277928
CalamityQueller (Unstacked),759893.5073559382,778952.9423530763,798226.3339358851,817713.6821043635,837414.9868585125
"Vortex (Unshielded, Stacked)",750229.966461831,763036.0749520791,775842.1834423275,788648.2919325763,801454.4004228248
"Vortex (Unshielded, Unstacked)",740691.7670354049,751113.3256690465,761534.8843026884,771956.4429363307,782378.0015699725
StaffOfTheScarletSands,709900.6021243478,709900.6021243478,709900.6021243478,709900.6021243478,709900.6021243478
SkywardSpine,721329.0995489417,729732.5223994991,739209.6893551059,747334.1791810597,757448.2926882475
EngulfingLightning,706826.6670398897,725024.4886300471,744869.0623620884,766050.5335990983,788568.9023410762
Lithic (4 Stacks),741669.2208880623,770889.183641479,800674.1254961169,831025.7470313947,861945.7488267316
Lithic (3 Stacks),710147.7988888291,731101.8726417939,752020.7637937111,773288.3635602923,797985.25952987
Lithic (2 Stacks),677981.7973923672,692400.7667766149,705588.6845616838,720534.5243955253,733710.8988276115
Lithic (1 Stacks),647822.6518314807,654782.4648871045,661776.5319404404,667814.8646671416,674831.4462416685
Deathmatch (1 Opponent),684879.608949025,700388.1448289288,716152.4469222917,732019.4341525773,748122.9646532423
Deathmatch (2+ Opponents),664361.6809192825,674596.2264916513,684879.608949025,695162.9914063992,705642.9121933829
Blackcliff (3 Stacks),717412.1460161236,741893.94892509,766375.7518340562,790857.5547430223,815339.3576519883
Blackcliff (2 Stacks),685330.1021044174,701294.9263037432,717412.1460161236,733733.3479554346,750054.5498947453
Blackcliff (1 Stacks),653981.00841128,661785.2316409502,669589.4548706207,677393.6781002913,685330.1021044174
Blackcliff (0 Stacks),623364.8649367116,623364.8649367116,623364.8649367116,623364.8649367116,623364.8649367116
MissiveWindspear (On),646214.1831340997,653111.1796331519,660008.1761322042,666905.1726312565,673802.1691303089
MissiveWindspear (Off),618626.1971378902,618626.1971378902,618626.1971378902,618626.1971378902,618626.1971378902
WavebreakersFin,613684.2058848294,613684.2058848294,613684.2058848294,613684.2058848294,613684.2058848294
FavoniusLance,624180.503482812,624180.503482812,624180.503482812,624180.503482812,624180.503482812
PrototypeStarglitter,593026.4537701845,593026.4537701845,593026.4537701845,593026.4537701845,593026.4537701845
WhiteTassel,544320.3614684113,544320.3614684113,544320.3614684113,544320.3614684113,544320.3614684113
