Weapon,R1,R2,R3,R4,R5
PJWS,1381337.9639614786,1400597.7767438572,1420015.0831842714,1439589.883282719,1459322.1770392018
Homa (50%),1463259.4546136777,1499658.9915241906,1538025.7370018186,1578359.6910465632,1620660.8536584238
Homa,1385785.17123632,1403739.0386206862,1422676.5102886106,1442597.5862400935,1463502.2664751338
LumidouceElegy,1382538.6508141882,1397359.4429769563,1412180.235139724,1427001.0273024922,1441821.8194652603
"Vortex (Shielded, Stacked)",1362805.20538634,1393243.1847869435,1423681.1641875464,1454119.1435881495,1484557.1229887523
"Vortex (Shielded, Unstacked)",1341388.3153983615,1366472.0723019706,1391555.829205579,1416639.5861091872,1441723.3430127956
CalamityQueller (Stacked),1355435.2196504236,1384181.0537977715,1413219.112751433,1442549.396511408,1472171.9050776968
CalamityQueller (Unstacked),1341832.744379876,1366996.5204229772,1392379.945557748,1417983.0197841881,1443805.7431022986
"Vortex (Unshielded, Stacked)",1301929.2465851337,1317148.236285435,1332367.2259857368,1347586.2156860386,1362805.20538634
"Vortex (Unshielded, Unstacked)",1291220.8015911444,1303762.6800429488,1316304.558494753,1328846.4369465574,1341388.3153983615
StaffOfTheScarletSands,1344156.7583022804,1344156.7583022804,1344156.7583022804,1344156.7583022804,1344156.7583022804
SkywardSpine,1340352.5440298677,1356051.308036203,1370162.0567081969,1385310.672852396,1400035.9264824179
EngulfingLightning,1299835.286943219,1322092.2544844814,1345992.9003818922,1371537.224635451,1398725.2272451585
Lithic (4 Stacks),1315863.4849535297,1360579.4052336724,1405972.8957103703,1452045.9306551677,1498800.484339612
Lithic (3 Stacks),1271471.6732380965,1303328.3724084382,1334953.9002990497,1367635.3879066955,1406147.6053016202
Lithic (2 Stacks),1224775.507103535,1247358.8271321666,1267469.0537866072,1290793.2598633468,1310766.3908996452
Lithic (1 Stacks),1181459.1626179253,1192666.820861766,1203915.7416196037,1212704.9534658284,1223459.771897533
Deathmatch (1 Opponent),1292645.2105360173,1311689.5626140265,1330733.9146920354,1349778.266770044,1368822.6188480526
Deathmatch (2+ Opponents),1267252.741098672,1279948.9758173448,1292645.2105360173,1305341.44525469,1318037.6799733622
Blackcliff (3 Stacks),1317087.2187744386,1346063.7447868322,1375040.2707992247,1404016.7968116181,1432993.3228240116
Blackcliff (2 Stacks),1278451.8507579146,1297769.5347661765,1317087.2187744386,1336404.902782701,1355722.5867909626
Blackcliff (1 Stacks),1239816.48274139,1249475.3247455212,1259134.166749652,1268793.0087537835,1278451.8507579146
Blackcliff (0 Stacks),1201181.1147248659,1201181.1147248659,1201181.1147248659,1201181.1147248659,1201181.1147248659
MissiveWindspear (On),1165037.241165257,1173233.745104141,1181430.2490430244,1189626.7529819084,1197823.256920792
MissiveWindspear (Off),1132251.2254097224,1132251.2254097224,1132251.2254097224,1132251.2254097224,1132251.2254097224
WavebreakersFin,1141281.8918104372,1141281.8918104372,1141281.8918104372,1141281.8918104372,1141281.8918104372
FavoniusLance,1192269.3101318749,1192269.3101318749,1192269.3101318749,1192269.3101318749,1192269.3101318749
PrototypeStarglitter,1147533.9854475101,1147533.9854475101,1147533.9854475101,1147533.9854475101,1147533.9854475101
WhiteTassel,1083020.0358265846,1083020.0358265846,1083020.0358265846,1083020.0358265846,1083020.0358265846
