Weapon,R1,R2,R3,R4,R5
PJWS,428745.6626651065,438434.43169745646,448345.53866835363,458365.37664231553,468551.4563635702
Homa (50%),465442.42590649676,484733.00763282017,505297.7062024456,526916.8348703946,549590.3936366668
Homa,425669.0168224182,434726.36037198297,444394.4431023967,454630.7955186679,465569.4808297197
LumidouceElegy,422112.01081159076,429658.1271640661,437204.24351654126,444785.98455442546,452524.0643827348
"Vortex (Shielded, Stacked)",455960.5259340229,471864.7979885931,487769.07004316343,503673.3420977338,519577.6141523039
"Vortex (Shielded, Unstacked)",444498.3338576238,457537.05789309426,470575.7819285648,483614.50596403546,496653.22999950574
CalamityQueller (Stacked),433962.26006292575,448032.9755323107,462307.8188067578,476786.78988626716,491469.88877083897
CalamityQueller (Unstacked),426573.55124769616,438668.69489445875,450916.60849875736,463317.2920605923,475870.74557996355
"Vortex (Unshielded, Stacked)",424151.9818248823,432104.1178521675,440056.2538794527,448008.3899067376,455960.5259340229
"Vortex (Unshielded, Unstacked)",418420.88578668283,424940.2478044181,431459.60982215335,437978.97183988837,444498.3338576238
StaffOfTheScarletSands,400040.09515261604,400040.09515261604,400040.09515261604,400040.09515261604,400040.09515261604
SkywardSpine,402637.5251549911,408111.88894295966,413698.9103838966,419319.46460456785,424940.01882523904
EngulfingLightning,395996.98755108775,407604.6542597724,420097.61244072416,433435.2961951127,447617.7055229377
Lithic (4 Stacks),419221.9428100225,437388.5963310929,456344.92870294367,475699.7300696088,495454.2104748232
Lithic (3 Stacks),399370.3854911216,412625.7049348046,426082.662940553,439927.727264215,454146.58444951975
Lithic (2 Stacks),380279.13469338964,388649.9381905591,397259.8002844865,406029.4670595867,414888.75097338285
Lithic (1 Stacks),361680.7995084695,365748.0195402449,369836.7271568945,373946.9223584188,378078.60514481744
Deathmatch (1 Opponent),387668.2754568492,397564.94600191485,407539.39084342343,417691.11669854005,427906.93880508095
Deathmatch (2+ Opponents),374690.8520215477,381179.5637391983,387668.2754568492,394240.1310547454,400889.7609490843
Blackcliff (3 Stacks),406811.8562821765,422273.68657441327,437735.5168666502,453197.3471588871,468659.177451124
Blackcliff (2 Stacks),386464.8758638172,396519.1828884068,406811.8562821765,417119.7431436675,427427.6300051589
Blackcliff (1 Stacks),366639.4246433523,371539.7882371963,376440.1518310404,381437.7223515223,386464.8758638172
Blackcliff (0 Stacks),347399.2080846257,347399.2080846257,347399.2080846257,347399.2080846257,347399.2080846257
MissiveWindspear (On),362818.51578710706,367101.3043002558,371384.0928134046,375666.8813265534,379949.6698397024
MissiveWindspear (Off),345687.3617345118,345687.3617345118,345687.3617345118,345687.3617345118,345687.3617345118
WavebreakersFin,339175.9270331235,339175.9270331235,339175.9270331235,339175.9270331235,339175.9270331235
FavoniusLance,346309.70411317877,346309.70411317877,346309.70411317877,346309.70411317877,346309.70411317877
PrototypeStarglitter,328692.9242412118,328692.9242412118,328692.9242412118,328692.9242412118,328692.9242412118
WhiteTassel,301954.1678848535,301954.1678848535,301954.1678848535,301954.1678848535,301954.1678848535
