Weapon,R1,R2,R3,R4,R5
PJWS,596794.8626928832,607036.9605636621,617390.597136769,627855.7724122044,638432.486389968
Homa (50%),638574.4585410128,656939.6178257731,676297.3199214553,696647.5648280603,717990.3525455876
Homa,599485.2921542032,608543.803945218,618098.5871416938,628149.641743631,638696.9677510293
LumidouceElegy,596583.3362746187,604047.944392639,611512.5525106593,618977.1606286794,626441.7687466999
"Vortex (Shielded, Stacked)",590278.5413201639,605249.3496419446,620220.1579637252,635190.966285506,650161.7746072867
"Vortex (Shielded, Unstacked)",579661.8316951252,591978.4626106464,604295.0935261672,616611.7244416883,628928.3553572093
CalamityQueller (Stacked),585742.6552626374,601484.2535001372,617429.9795426994,633579.8333903234,649933.81504301
CalamityQueller (Unstacked),578867.5249226679,592761.9459563603,606809.1369475891,621009.0978963538,635361.828802655
"Vortex (Unshielded, Stacked)",560336.9246766027,567822.328837493,575307.7329983831,582793.1371592735,590278.5413201639
"Vortex (Unshielded, Unstacked)",555028.5698640833,561186.8853218438,567345.2007796041,573503.5162373646,579661.8316951252
StaffOfTheScarletSands,580583.218169164,580583.218169164,580583.218169164,580583.218169164,580583.218169164
SkywardSpine,503085.6526987215,510019.4099345193,517044.0210265742,524068.6321186291,531093.243210684
EngulfingLightning,487622.1332405753,497239.5317374506,507555.68618471955,518570.59658238216,530284.2629304383
Lithic (4 Stacks),567277.635375535,589069.6170397247,611777.109352717,634870.2413639993,658350.1520966458
Lithic (3 Stacks),545072.5356224077,561068.5481230079,577254.3644859038,593881.7073972431,610928.6764446425
Lithic (2 Stacks),523709.4385185811,533838.745039466,544258.7204908456,554859.4608704807,565544.5585222472
Lithic (1 Stacks),502827.977362518,507781.38530324877,512755.0196657452,517748.88045000716,522762.96765603503
Deathmatch (1 Opponent),560521.698598284,570137.9271236561,579754.1556490279,589370.3841743999,598986.6126997721
Deathmatch (2+ Opponents),547700.0605644546,554110.8795813693,560521.698598284,566932.5176151987,573343.3366321133
Blackcliff (3 Stacks),571189.449020437,585743.7836554801,600298.1182905231,614852.4529255665,629406.7875606096
Blackcliff (2 Stacks),551783.6695070461,561486.5592637416,571189.449020437,580892.3387771323,590595.2285338277
Blackcliff (1 Stacks),532377.8899936553,537229.334872003,542080.7797503507,546932.2246286984,551783.6695070461
Blackcliff (0 Stacks),512972.1104802643,512972.1104802643,512972.1104802643,512972.1104802643,512972.1104802643
MissiveWindspear (On),497958.13288974063,501989.55323347455,506020.97357720847,510052.3939209426,514083.81426467653
MissiveWindspear (Off),481832.4515148046,481832.4515148046,481832.4515148046,481832.4515148046,481832.4515148046
WavebreakersFin,480716.86398182804,480716.86398182804,480716.86398182804,480716.86398182804,480716.86398182804
FavoniusLance,443032.09387122473,443032.09387122473,443032.09387122473,443032.09387122473,443032.09387122473
PrototypeStarglitter,426266.04111033765,426266.04111033765,426266.04111033765,426266.04111033765,426266.04111033765
WhiteTassel,460475.32001632627,460475.32001632627,460475.32001632627,460475.32001632627,460475.32001632627
