Weapon,R1,R2,R3,R4,R5
PJWS,1426982.970184391,1444709.9474905888,1462594.4184548203,1480636.3830770862,1498835.8413573871
Homa (50%),1507527.1230132345,1537276.5996387776,1568633.8831281506,1601598.9734813555,1636171.8706983908
Homa,1444207.1036382143,1458880.8660930062,1474358.5319797148,1490640.101298338,1507725.574048877
FracturedHalo,1466053.8863507693,1484179.5859039123,1502305.285457055,1520430.985010198,1538556.684563341
LumidouceElegy,1442314.024683121,1454427.211189303,1466540.397695485,1478653.5842016675,1490766.7707078496
"Vortex (Shielded, Stacked)",1370430.3585875332,1395307.6760617408,1420184.993535947,1445062.3110101547,1469939.6284843613
"Vortex (Shielded, Unstacked)",1352328.0754618712,1372679.8221546633,1393031.5688474542,1413383.3155402462,1433735.0622330373
CalamityQueller (Stacked),1379710.0449411117,1408220.6252681264,1437023.430401454,1466118.4603410945,1495505.7150870496
CalamityQueller (Unstacked),1368112.1649356205,1393541.8359746523,1419191.156105353,1445060.125327723,1471148.7436417635
"Vortex (Unshielded, Stacked)",1320675.7236391194,1333114.3823762224,1345553.0411133266,1357991.6998504298,1370430.3585875332
"Vortex (Unshielded, Unstacked)",1311624.5820762883,1321800.4554226839,1331976.3287690799,1342152.2021154754,1352328.0754618712
StaffOfTheScarletSands,1432148.3839142383,1432148.3839142383,1432148.3839142383,1432148.3839142383,1432148.3839142383
SkywardSpine,1245927.6306839292,1259860.8986833491,1276789.4942008515,1290309.460962208,1307718.3632527615
EngulfingLightning,1199783.8929244615,1215737.7954647965,1232847.8291306822,1251113.99392212,1270536.2898391087
SacrificersStaff,1236399.7103099206,1239406.5490442368,1242413.3877785532,1245420.2265128694,1248427.0652471858
Lithic (4 Stacks),1353546.614954508,1396827.73012409,1440677.2100244537,1485096.6684319854,1530087.719123073
Lithic (3 Stacks),1312442.5953794438,1343301.5576544115,1373853.3986000782,1405469.622405996,1442916.8066806486
Lithic (2 Stacks),1268801.8644927419,1290837.3138104212,1310329.5904459325,1333056.5003543154,1352352.5219896873
Lithic (1 Stacks),1228440.426550148,1239431.7710393448,1250456.8436501261,1258936.367702558,1269406.7856386648
Deathmatch (1 Opponent),1381449.1844550818,1397014.2268054634,1412579.2691558453,1428144.3115062271,1443709.353856609
Deathmatch (2+ Opponents),1360695.794654573,1371072.489554827,1381449.1844550818,1391825.8793553368,1402202.5742555908
Blackcliff (3 Stacks),1382508.443299657,1406191.098607087,1429873.7539145176,1453556.409221948,1477239.0645293787
Blackcliff (2 Stacks),1350931.5695564158,1366720.0064280361,1382508.443299657,1398296.8801712766,1414085.3170428975
Blackcliff (1 Stacks),1319354.695813175,1327248.9142489855,1335143.1326847957,1343037.3511206056,1350931.5695564158
Blackcliff (0 Stacks),1287777.8220699346,1287777.8220699346,1287777.8220699346,1287777.8220699346,1287777.8220699346
MissiveWindspear (On),1211907.62836468,1218606.727144613,1225305.8259245458,1232004.9247044786,1238704.0234844112
MissiveWindspear (Off),1185111.2332449493,1185111.2332449493,1185111.2332449493,1185111.2332449493,1185111.2332449493
WavebreakersFin,1188995.2859310613,1188995.2859310613,1188995.2859310613,1188995.2859310613,1188995.2859310613
FavoniusLance,1123504.7602585522,1123504.7602585522,1123504.7602585522,1123504.7602585522,1123504.7602585522
PrototypeStarglitter,1092775.32172821,1092775.32172821,1092775.32172821,1092775.32172821,1092775.32172821
WhiteTassel,1188193.1440185856,1188193.1440185856,1188193.1440185856,1188193.1440185856,1188193.1440185856
