Weapon,R1,R2,R3,R4,R5
PJWS,617472.7568289546,630567.8888292687,643799.3459102064,657167.1280717672,670671.2353139516
Homa (50%),666920.3978883716,692389.7919333266,719235.6762970369,747458.050979502,777056.9159807225
Homa,612868.9258955964,625272.9194500581,638523.8003420689,652462.9263934569,667090.2976042229
LumidouceElegy,608540.6334733821,618892.7922867716,629244.9511001611,639597.1099135503,649949.2687269397
"Vortex (Shielded, Stacked)",643073.3105380672,663835.3094081415,684597.308278216,705359.3071482901,726121.3060183643
"Vortex (Shielded, Unstacked)",627865.2584358731,644825.2442803987,661785.2301249244,678745.2159694501,695705.2018139756
CalamityQueller (Stacked),620248.0646902663,638748.8585046763,657499.1418586066,676498.9147520575,695748.177185029
CalamityQueller (Unstacked),610489.2804333947,626393.4514272573,642484.3412581085,658761.9499259483,675226.277430777
"Vortex (Unshielded, Stacked)",601549.3127979187,611930.3122329559,622311.3116679932,632692.3111030302,643073.3105380672
"Vortex (Unshielded, Unstacked)",593945.2867468216,602425.2796690845,610905.2725913473,619385.2655136102,627865.2584358731
StaffOfTheScarletSands,576966.0700396149,576966.0700396149,576966.0700396149,576966.0700396149,576966.0700396149
SkywardSpine,510419.8277492109,517438.03808802855,524563.9737673174,531695.6925004013,539013.3125703593
EngulfingLightning,500632.9976110528,513937.21040911984,528204.3886315285,543434.5322782788,559627.641349371
Lithic (4 Stacks),597388.2042683458,622465.4952807075,648623.6424690624,675305.029978527,702511.2374429607
Lithic (3 Stacks),570451.8551392963,588777.242204687,607365.8553758305,626483.2358219256,646108.2519959084
Lithic (2 Stacks),544544.7061036128,556125.3366347312,568037.0974660186,580166.280141028,592412.4521963723
Lithic (1 Stacks),519286.15032771847,524922.18700307,530586.2743311863,536278.4123120677,541998.6009457144
Deathmatch (1 Opponent),558632.546274414,571968.6415263773,585304.7367783403,598640.8320303035,611976.9272822667
Deathmatch (2+ Opponents),540851.0859384632,549741.8161064386,558632.546274414,567523.2764423896,576414.0066103648
Blackcliff (3 Stacks),584040.7883020738,604225.2080576735,624409.6278132735,644594.0475688734,664778.4673244733
Blackcliff (2 Stacks),557128.2286279406,570584.5084650072,584040.7883020738,597497.0681391405,610953.3479762069
Blackcliff (1 Stacks),530215.6689538077,536943.8088723407,543671.9487908741,550400.0887094073,557128.2286279406
Blackcliff (0 Stacks),503674.9343485508,503674.9343485508,503674.9343485508,503674.9343485508,503674.9343485508
MissiveWindspear (On),517656.261450532,523247.1649490177,528838.0684475033,534428.9719459888,540019.8754444742
MissiveWindspear (Off),495292.6474565901,495292.6474565901,495292.6474565901,495292.6474565901,495292.6474565901
WavebreakersFin,490809.3397691172,490809.3397691172,490809.3397691172,490809.3397691172,490809.3397691172
FavoniusLance,440014.9750533376,440014.9750533376,440014.9750533376,440014.9750533376,440014.9750533376
PrototypeStarglitter,418231.3609024646,418231.3609024646,418231.3609024646,418231.3609024646,418231.3609024646
WhiteTassel,439412.0294138322,439412.0294138322,439412.0294138322,439412.0294138322,439412.0294138322
