Weapon,R1,R2,R3,R4,R5
PJWS,1313568.0253747785,1332317.9357319372,1351239.6573524063,1370333.190236186,1389598.5343832755
Homa (50%),1388445.2075091125,1420899.1820097044,1455107.1276344764,1491069.0443834267,1528784.9322565559
Homa,1319368.8227363632,1335376.5635961369,1352261.2900180004,1370023.0020019524,1388661.699547995
FracturedHalo,1343201.6766046055,1362975.167026216,1382748.657447826,1402522.1478694363,1422295.6382910472
LumidouceElegy,1316646.8174274191,1329861.2027068904,1343075.587986362,1356289.9732658337,1369504.3585453054
"Vortex (Shielded, Stacked)",1284059.9834500442,1311198.8752400884,1338337.7670301325,1365476.6588201767,1392615.5506102205
"Vortex (Shielded, Unstacked)",1264312.0382220494,1286513.9437050947,1308715.8491881401,1330917.7546711855,1353119.6601542307
CalamityQueller (Stacked),1284695.3636513294,1313425.8364165083,1342475.099879484,1371843.1540402565,1401529.9988988247
CalamityQueller (Unstacked),1272043.1309180665,1297412.6117327185,1323021.7097382832,1348870.4249347602,1374958.757322149
"Vortex (Unshielded, Stacked)",1229782.199869956,1243351.6457649781,1256921.09166,1270490.5375550222,1284059.9834500442
"Vortex (Unshielded, Unstacked)",1219908.2272559584,1231009.1799974814,1242110.1327390035,1253211.0854805268,1264312.0382220494
StaffOfTheScarletSands,1290386.6612405516,1290386.6612405516,1290386.6612405516,1290386.6612405516,1290386.6612405516
SkywardSpine,1137292.3567870196,1149947.0962456914,1165468.6667442203,1177729.3442407232,1193706.1116214767
EngulfingLightning,1097900.2027266934,1115304.4600434222,1133969.9513152977,1153896.6765423203,1175084.6357244903
SacrificersStaff,1125032.9581461796,1128313.1458563427,1131593.333566506,1134873.5212766693,1138153.7089868325
Lithic (4 Stacks),1249203.7075663905,1290916.3300265616,1333237.0247112922,1376167.5521039113,1419709.6726877512
Lithic (3 Stacks),1208299.7167153743,1238027.281420831,1267516.5883507868,1297922.1419489475,1333962.6827712522
Lithic (2 Stacks),1165133.1386074764,1186284.7383795562,1205003.8508957818,1226850.8552752717,1245412.6835434276
Lithic (1 Stacks),1125194.6692000537,1135685.1799360754,1146212.4849865534,1154370.7784727297,1164460.4001134841
Deathmatch (1 Opponent),1244912.5297735627,1261892.5759739792,1278872.6221743952,1295852.6683748122,1312832.714575228
Deathmatch (2+ Opponents),1222272.468173008,1233592.498973285,1244912.5297735627,1256232.5605738405,1267552.591374118
Blackcliff (3 Stacks),1259635.8337099159,1285471.457681658,1311307.0816534008,1337142.705625143,1362978.3295968852
Blackcliff (2 Stacks),1225188.3350809263,1242412.0843954212,1259635.8337099159,1276859.5830244105,1294083.332338906
Blackcliff (1 Stacks),1190740.836451936,1199352.7111091837,1207964.5857664314,1216576.4604236786,1225188.3350809263
Blackcliff (0 Stacks),1156293.3378229463,1156293.3378229463,1156293.3378229463,1156293.3378229463,1156293.3378229463
MissiveWindspear (On),1111126.0959342048,1118434.2036941308,1125742.3114540572,1133050.4192139844,1140358.5269739106
MissiveWindspear (Off),1081893.6648944975,1081893.6648944975,1081893.6648944975,1081893.6648944975,1081893.6648944975
WavebreakersFin,1086130.8132793473,1086130.8132793473,1086130.8132793473,1086130.8132793473,1086130.8132793473
FavoniusLance,1014686.6034547917,1014686.6034547917,1014686.6034547917,1014686.6034547917,1014686.6034547917
PrototypeStarglitter,981163.579603509,981163.579603509,981163.579603509,981163.579603509,981163.579603509
WhiteTassel,1053335.9448842895,1053335.9448842895,1053335.9448842895,1053335.9448842895,1053335.9448842895
