Weapon,R1,R2,R3,R4,R5
PJWS,901880.5433191002,918797.324477667,935868.0967782902,953092.8602209701,970471.6148057069
Homa (50%),958876.6330459734,991322.9374417182,1025522.7984317542,1061476.2160160807,1099183.1901946983
Homa,889816.5736423604,905820.5312659466,922701.2671866782,940458.7814045551,959093.0739195775
FracturedHalo,913643.7949034786,933412.6120994808,953181.4292954828,972950.2464914848,992719.0636874868
LumidouceElegy,886369.6039844528,899584.2839305772,912798.9638767018,926013.6438228264,939228.3237689511
"Vortex (Shielded, Stacked)",925961.2048632491,952965.1516545999,979969.098445951,1006973.0452373022,1033976.9920286534
"Vortex (Shielded, Unstacked)",907646.2968880171,930071.5166855601,952496.736483103,974921.9562806463,997347.1760781893
CalamityQueller (Stacked),908266.6125916537,932235.535185708,956490.3417907018,981031.0324066349,1005857.607033507
CalamityQueller (Unstacked),896539.9757596914,917397.4205825825,938468.8219911441,959754.179985376,981253.4945652781
"Vortex (Unshielded, Stacked)",871953.3112805468,885455.2846762222,898957.258071898,912459.2314675734,925961.2048632491
"Vortex (Unshielded, Unstacked)",862795.857292931,874008.4671917023,885221.0770904741,896433.6869892455,907646.2968880171
StaffOfTheScarletSands,838212.4779796796,838212.4779796796,838212.4779796796,838212.4779796796,838212.4779796796
SkywardSpine,762516.1220815215,771299.3858461374,781861.3784654518,790363.5041437086,801248.5759096366
EngulfingLightning,740522.2181224279,757746.0387915133,776207.7500772644,795907.351979681,816844.8444987633
SacrificersStaff,746472.0872772966,749560.4172671275,752648.7472569586,755737.0772467896,758825.4072366207
Lithic (4 Stacks),865481.2473551106,898359.7312122616,931838.3740313057,965918.9687986202,1000603.3085005828
Lithic (3 Stacks),830742.4882406369,854339.6851082654,877863.5424688888,901762.8851521375,929626.248519537
Lithic (2 Stacks),795168.7710689041,811469.3466475517,826312.0190416183,843198.1228614203,857998.5962195953
Lithic (1 Stacks),761865.7312103374,769745.1298573657,777660.6438134405,784449.3823274956,792383.5732147631
Deathmatch (1 Opponent),805719.5704861616,822698.1429043165,839676.715322471,856655.2877406257,873633.8601587804
Deathmatch (2+ Opponents),783081.4739286222,794400.5222073923,805719.5704861616,817038.6187649317,828357.6670437015
Blackcliff (3 Stacks),842391.5904045932,868203.6981035665,894015.8058025402,919827.9135015139,945640.0212004875
Blackcliff (2 Stacks),807975.4468059615,825183.5186052772,842391.5904045932,859599.6622039087,876807.7340032246
Blackcliff (1 Stacks),773559.30320733,782163.3391069879,790767.3750066457,799371.4109063037,807975.4468059615
Blackcliff (0 Stacks),739359.1872142497,739359.1872142497,739359.1872142497,739359.1872142497,739359.1872142497
MissiveWindspear (On),754008.9842742592,761280.753314103,768552.522353947,775824.291393791,783096.0604336349
MissiveWindspear (Off),724921.908114883,724921.908114883,724921.908114883,724921.908114883,724921.908114883
WavebreakersFin,729001.3035830721,729001.3035830721,729001.3035830721,729001.3035830721,729001.3035830721
FavoniusLance,657980.6839171022,657980.6839171022,657980.6839171022,657980.6839171022,657980.6839171022
PrototypeStarglitter,624692.6915157004,624692.6915157004,624692.6915157004,624692.6915157004,624692.6915157004
WhiteTassel,645610.6999002001,645610.6999002001,645610.6999002001,645610.6999002001,645610.6999002001
