Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),869345.3820476454,894252.906058582,919669.4232770044,945399.4788185398,971443.0726831877
PJWS,835133.475127327,851455.5756671459,867928.2357165874,884807.415422347,901871.9023702331
Homa (50%),892980.5757259661,925426.8801217113,959626.741111747,995580.1586960739,1033287.1328746915
Homa,825818.3309333449,841144.5288206841,857464.5313861028,874846.034606082,893197.0165995706
LumidouceElegy,821845.3742610688,834491.1691543851,847345.8390791242,860276.0764988445,873206.3139185648
"Vortex (Shielded, Stacked)",871953.3112805468,898957.258071898,925961.2048632491,952965.1516546003,979969.098445951
"Vortex (Shielded, Unstacked)",853638.4033053148,876063.623102858,898488.842900401,920914.0626979441,943339.2824954871
CalamityQueller (Stacked),844372.1213208076,867745.4522254056,891404.6671409424,915349.7660674187,939580.7490048341
CalamityQueller (Unstacked),832645.4844888453,852907.3376222801,873383.1473413849,894072.9136461599,914976.636536605
"Vortex (Unshielded, Stacked)",817945.4176978446,831447.3910935203,844949.3644891956,858451.3378848712,871953.3112805468
"Vortex (Unshielded, Unstacked)",808787.9637102287,820000.5736090003,831213.1835077717,842425.7934065432,853638.4033053148
StaffOfTheScarletSands,777738.7719590839,777738.7719590839,777738.7719590839,777738.7719590839,777738.7719590839
SkywardSpine,701747.6332867605,710055.538252522,719980.1043916955,728109.0524366432,738278.1381650564
EngulfingLightning,686514.3245397259,703738.1452088112,722199.8564945622,741899.4583969789,762836.9509160612
Lithic (4 Stacks),809773.4361208847,841270.5774979902,873364.8895263597,906058.165192371,939352.1974824009
Lithic (3 Stacks),776038.2948552351,798631.8738740396,821176.2915354727,844090.9724056257,870737.2780036042
Lithic (2 Stacks),741571.8273618622,757139.8895827426,771356.7523214199,787490.3116271944,801685.0064862403
Lithic (1 Stacks),709272.7930947767,716791.0386513442,724345.399516958,730852.4386204538,738428.8524705463
Deathmatch (1 Opponent),749493.6595061711,766114.5703494658,783081.4739286222,800060.046346777,817038.6187649317
Deathmatch (2+ Opponents),727483.6019016382,738413.052277308,749493.6595061711,760574.2667350341,771762.4256498527
Blackcliff (3 Stacks),785031.3510735404,810843.4587725142,836655.5664714876,862467.6741704614,888279.781869435
Blackcliff (2 Stacks),750615.2074749091,767823.2792742249,785031.3510735404,802239.4228728563,819447.494672172
Blackcliff (1 Stacks),716916.0818508912,725332.2463621508,733748.4108734101,742164.5753846695,750615.2074749091
Blackcliff (0 Stacks),683997.8504735427,683997.8504735427,683997.8504735427,683997.8504735427,683997.8504735427
MissiveWindspear (On),705530.5240086326,712802.2930484765,720074.0620883204,727345.8311281647,734617.6001680086
MissiveWindspear (Off),676443.4478492567,676443.4478492567,676443.4478492567,676443.4478492567,676443.4478492567
WavebreakersFin,674316.336532973,674316.336532973,674316.336532973,674316.336532973,674316.336532973
FavoniusLance,606398.9702592391,606398.9702592391,606398.9702592391,606398.9702592391,606398.9702592391
PrototypeStarglitter,576214.2312500739,576214.2312500739,576214.2312500739,576214.2312500739,576214.2312500739
WhiteTassel,597288.7184113765,597288.7184113765,597288.7184113765,597288.7184113765,597288.7184113765
