Weapon,R1,R2,R3,R4,R5
PJWS,1008229.0551739936,1026348.8231052649,1044622.5821785924,1063050.332393977,1081632.0737514184
Homa (50%),1075317.6941528283,1111653.5230223567,1149953.117365636,1190216.4771826663,1232443.6024734476
Homa,997979.0096110475,1015901.4533615926,1034805.7798490134,1054691.9890733098,1075560.081034482
LumidouceElegy,994122.8554174026,1008921.6547885548,1023720.4541597068,1038519.2535308592,1053318.0529020117
"Vortex (Shielded, Stacked)",1038186.7910507505,1068427.855716995,1098668.9203832394,1128909.9850494836,1159151.049715728
"Vortex (Shielded, Unstacked)",1016153.4550009392,1040886.185654731,1065618.9163085227,1090351.646962314,1115084.3776161056
CalamityQueller (Stacked),1014483.7162345713,1040222.3534498753,1066246.8746761188,1092557.2799133016,1119153.5691614232
CalamityQueller (Unstacked),1000509.5166320537,1022574.7853835556,1044854.0107207281,1067347.1926435707,1090054.3311520836
"Vortex (Unshielded, Stacked)",977704.6617182614,992825.1940513838,1007945.7263845062,1023066.2587176281,1038186.7910507505
"Vortex (Unshielded, Unstacked)",966687.9936933559,979054.3590202518,991420.7243471477,1003787.0896740434,1016153.4550009392
StaffOfTheScarletSands,940075.1687183921,940075.1687183921,940075.1687183921,940075.1687183921,940075.1687183921
SkywardSpine,855310.1968172633,865162.3361250905,877009.6659380624,886546.454179843,898756.1801185822
EngulfingLightning,830677.8243559954,850039.5379821344,870800.8397872495,892961.7297713405,916522.2079344078
Lithic (4 Stacks),970490.4256777198,1007341.4597851513,1044864.6648840177,1083062.0488962496,1121935.6197437784
Lithic (3 Stacks),931564.6509250132,958013.2605065253,984379.1925346731,1011165.7394814519,1042396.7490741174
Lithic (2 Stacks),891701.4848572732,909972.6584508978,926608.7501758945,945536.095335331,962124.476685702
Lithic (1 Stacks),854383.5284936249,863215.6377744068,872088.1917133253,879697.101549298,888590.4950323536
Deathmatch (1 Opponent),903569.5288084133,922583.4200149525,941597.3112214921,960611.2024280317,979625.0936345712
Deathmatch (2+ Opponents),878217.6738663609,890893.6013373873,903569.5288084133,916245.4562794396,928921.3837504659
Blackcliff (3 Stacks),944663.0404102292,973569.3934010717,1002475.7463919141,1031382.0993827567,1060288.4523735994
Blackcliff (2 Stacks),906121.2364224386,925392.1384163336,944663.0404102292,963933.942404124,983204.8443980191
Blackcliff (1 Stacks),867579.4324346487,877214.8834315963,886850.3344285437,896485.7854254913,906121.2364224386
Blackcliff (0 Stacks),829251.4037669722,829251.4037669722,829251.4037669722,829251.4037669722,829251.4037669722
MissiveWindspear (On),845485.8912986193,853629.3689713847,861772.84664415,869916.3243169156,878059.8019896813
MissiveWindspear (Off),812911.980607557,812911.980607557,812911.980607557,812911.980607557,812911.980607557
WavebreakersFin,817632.80376649,817632.80376649,817632.80376649,817632.80376649,817632.80376649
FavoniusLance,738022.3317792933,738022.3317792933,738022.3317792933,738022.3317792933,738022.3317792933
PrototypeStarglitter,700667.7133512719,700667.7133512719,700667.7133512719,700667.7133512719,700667.7133512719
WhiteTassel,724088.2120377525,724088.2120377525,724088.2120377525,724088.2120377525,724088.2120377525
