Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),971134.421982589,997993.6003247987,1025351.0213136416,1053021.9806255968,1081006.4782606652
PJWS,933624.3536646022,951122.6328869256,968771.4716188726,986842.8313895573,1005110.3051101482
Homa (50%),1001522.2987588805,1037858.1276284086,1076157.721971688,1116421.0817887182,1158648.2070795002
Homa,926245.6172409178,943409.054311055,961717.0858729756,981182.2095059504,1001764.6856405339
LumidouceElegy,921799.2032777169,935960.922084218,950388.8215588217,964869.0806476487,979349.3397364757
"Vortex (Shielded, Stacked)",977704.6617182614,1007945.7263845062,1038186.7910507505,1068427.855716995,1098668.9203832394
"Vortex (Shielded, Unstacked)",955671.3256684502,980404.0563222421,1005136.7869760336,1029869.5176298254,1054602.2482836167
CalamityQueller (Stacked),943215.4140418515,968358.459567699,993787.3891044857,1019502.2026522117,1045502.9002108765
CalamityQueller (Unstacked),929241.2144393338,950710.8915013794,972394.5251490951,994292.115382481,1016403.6622015368
"Vortex (Unshielded, Stacked)",917222.5323857726,932343.064718895,947463.5970520175,962584.1293851393,977704.6617182614
"Vortex (Unshielded, Unstacked)",906205.8643608671,918572.229687763,930938.595014659,943304.9603415545,955671.3256684502
StaffOfTheScarletSands,872312.1454923074,872312.1454923074,872312.1454923074,872312.1454923074,872312.1454923074
SkywardSpine,787222.9454117249,796542.7822121932,807676.1951621175,816761.5268853868,828173.8362544033
EngulfingLightning,770195.6950235066,789557.4086496455,810318.7104547606,832479.6004388516,856040.078601919
Lithic (4 Stacks),908104.5998217479,943408.7020088917,979381.6286509188,1016025.3876697603,1053341.9869873468
Lithic (3 Stacks),870302.7523416358,895627.4346505536,920896.5159291142,946580.364007676,976448.4201405384
Lithic (2 Stacks),831679.568317398,849130.4179786621,865065.6806580522,883150.2694793592,899060.2541898933
Lithic (1 Stacks),795485.9734499351,803913.6361493557,812381.7435069118,819675.1850094224,828167.912671259
Deathmatch (1 Opponent),840576.8744423464,859203.7826598213,878217.6738663609,897231.5650729005,916245.4562794396
Deathmatch (2+ Opponents),815901.7239038817,828167.9713165029,840576.8744423464,852985.7775681897,865541.7463953346
Blackcliff (3 Stacks),880426.7004305784,909333.0534214214,938239.4064122636,967145.7594031064,996052.1123939492
Blackcliff (2 Stacks),841884.8964427885,861155.7984366835,880426.7004305784,899697.6024244739,918968.5044183687
Blackcliff (1 Stacks),804117.9147311386,813542.9731195767,822968.0315080141,832393.0898964517,841884.8964427885
Blackcliff (0 Stacks),767216.3479491598,767216.3479491598,767216.3479491598,767216.3479491598,767216.3479491598
MissiveWindspear (On),791196.0401468491,799339.5178196144,807482.9954923796,815626.4731651454,823769.9508379109
MissiveWindspear (Off),758622.1294557869,758622.1294557869,758622.1294557869,758622.1294557869,758622.1294557869
WavebreakersFin,756392.4362894235,756392.4362894235,756392.4362894235,756392.4362894235,756392.4362894235
FavoniusLance,680257.2224648745,680257.2224648745,680257.2224648745,680257.2224648745,680257.2224648745
PrototypeStarglitter,646377.8621995018,646377.8621995018,646377.8621995018,646377.8621995018,646377.8621995018
WhiteTassel,669949.3358426726,669949.3358426726,669949.3358426726,669949.3358426726,669949.3358426726
