Weapon,R1,R2,R3,R4,R5
PJWS,1387547.4505713624,1406533.2466193703,1425676.536325412,1444977.3196894883,1464435.5967115988
Homa (50%),1463440.18631045,1498241.8688623656,1534924.404135965,1573487.792131249,1613932.0328482168
Homa,1389366.84239224,1406532.5770779871,1424638.7381245764,1443685.3255320077,1463672.3393002816
LumidouceElegy,1386413.3135557387,1400583.4393899993,1414753.56522426,1428923.6910585214,1443093.816892782
"Vortex (Shielded, Stacked)",1356018.655392427,1385120.3089630827,1414221.962533738,1443323.616104394,1472425.2696750485
"Vortex (Shielded, Unstacked)",1335796.5485988834,1359842.6754711533,1383888.8023434225,1407934.9292156924,1431981.0560879614
CalamityQueller (Stacked),1360413.358707944,1388976.5523513462,1417831.9708010624,1446979.6140570915,1476419.4821194347
CalamityQueller (Unstacked),1347536.6405838362,1372699.2154096018,1398081.439327037,1423683.3123361417,1449504.8344369158
"Vortex (Unshielded, Stacked)",1297815.3482511162,1312366.1750364436,1326917.0018217715,1341467.8286070996,1356018.655392427
"Vortex (Unshielded, Unstacked)",1287704.2948543443,1299727.3582904788,1311750.4217266138,1323773.4851627487,1335796.5485988834
StaffOfTheScarletSands,1348907.8793906209,1348907.8793906209,1348907.8793906209,1348907.8793906209,1348907.8793906209
SkywardSpine,1203910.4901334897,1217346.2984401933,1233733.9046540493,1246763.071866383,1263622.052803365
EngulfingLightning,1156971.4090922414,1175898.45538298,1196225.963220725,1217953.932605477,1241082.3635372357
Lithic (4 Stacks),1312749.68973829,1356827.015367795,1401555.046088853,1446935.6693699758,1492970.7726796782
Lithic (3 Stacks),1269357.4723359044,1300764.8833292527,1331928.1093730573,1364121.3936635226,1402133.4694290883
Lithic (2 Stacks),1223627.0727620784,1245930.8771056107,1265748.296277669,1288780.0769202162,1308446.9303866606
Lithic (1 Stacks),1181246.2608262496,1192321.2217598406,1203435.6310135594,1212086.5194095303,1222708.6729779036
Deathmatch (1 Opponent),1291384.9249992082,1309593.258842592,1327801.5926859751,1346009.9265293586,1364218.2603727428
Deathmatch (2+ Opponents),1267107.1465413633,1279246.0357702859,1291384.9249992082,1303523.8142281305,1315662.703457053
Blackcliff (3 Stacks),1315480.317254457,1343184.818678486,1370889.3201025156,1398593.8215265444,1426298.3229505743
Blackcliff (2 Stacks),1278540.9820224177,1297010.6496384372,1315480.317254457,1333949.9848704762,1352419.652486496
Blackcliff (1 Stacks),1241601.6467903783,1250836.4805983885,1260071.3144063982,1269306.1482144082,1278540.9820224177
Blackcliff (0 Stacks),1204662.3115583393,1204662.3115583393,1204662.3115583393,1204662.3115583393,1204662.3115583393
MissiveWindspear (On),1161589.8837566702,1169426.5346387976,1177263.1855209249,1185099.836403052,1192936.487285179
MissiveWindspear (Off),1130243.2802281617,1130243.2802281617,1130243.2802281617,1130243.2802281617,1130243.2802281617
WavebreakersFin,1144875.2337798667,1144875.2337798667,1144875.2337798667,1144875.2337798667,1144875.2337798667
FavoniusLance,1063219.7943855783,1063219.7943855783,1063219.7943855783,1063219.7943855783,1063219.7943855783
PrototypeStarglitter,1022228.1089028418,1022228.1089028418,1022228.1089028418,1022228.1089028418,1022228.1089028418
WhiteTassel,1083558.504194495,1083558.504194495,1083558.504194495,1083558.504194495,1083558.504194495
