Weapon,R1,R2,R3,R4,R5
PJWS,493284.6234005445,503235.6514478399,513298.2181974635,523472.3236494153,533757.9678036957
Homa (50%),526565.9175945587,544931.076879319,564288.7789750013,584639.0238816062,605981.8115991332
Homa,487476.751207749,496535.26299876376,506090.04619523976,516141.10079717677,526688.4268045751
FracturedHalo,500963.3630707335,512152.84931384143,523342.33555694943,534531.8218000577,545721.3080431656
LumidouceElegy,484500.4605458748,491965.06866389513,499429.6767819154,506894.28489993565,514358.8930179561
"Vortex (Shielded, Stacked)",500362.4346922379,515333.2430140187,530304.0513357994,545274.8596575801,560245.6679793607
"Vortex (Shielded, Unstacked)",489745.7250671993,502062.3559827203,514378.98689824145,526695.6178137625,539012.2487292833
CalamityQueller (Stacked),494866.8460967808,509472.5661253376,524282.41395895643,539296.3895976373,554514.4930413807
CalamityQueller (Unstacked),487991.7157568114,500750.2585815608,513661.57136384625,526725.6541036677,539942.5068010256
"Vortex (Unshielded, Stacked)",470420.81804867677,477906.222209567,485391.62637045735,492877.0305313477,500362.4346922379
"Vortex (Unshielded, Unstacked)",465112.46323615743,471270.7786939178,477429.0941516784,483587.4096094388,489745.7250671993
StaffOfTheScarletSands,458734.31970885105,458734.31970885105,458734.31970885105,458734.31970885105,458734.31970885105
SkywardSpine,409983.4419929371,415634.021853894,421358.6419434022,427083.26203291037,432807.8821224185
EngulfingLightning,397706.0266126493,407323.42510952475,417639.57955679373,428654.4899544564,440368.15630251245
SacrificersStaff,401512.93298263365,403325.27407726046,405137.6151718872,406949.95626651397,408762.2973611407
Lithic (4 Stacks),468403.628225424,487508.98585337185,507431.2554524189,527733.1187846074,548415.7148730098
Lithic (3 Stacks),448213.49649947806,462194.54097289685,476365.3893086114,490934.1288346071,505883.6848755137
Lithic (2 Stacks),428793.0301767639,437633.9879990686,446728.02535885567,455985.4537203697,465327.23935401527
Lithic (1 Stacks),409844.0920685711,414153.3256600116,418482.78567321796,422832.47210818995,427202.38496492774
Deathmatch (1 Opponent),440511.2844784752,450127.5130038473,459743.7415292192,469359.9700545913,478976.1985799633
Deathmatch (2+ Opponents),427689.64644464594,434100.46546156076,440511.2844784752,446922.10349539004,453332.9225123046
Blackcliff (3 Stacks),459805.8128666236,474360.1475016668,488914.4821367099,503468.8167717531,518023.15140679607
Blackcliff (2 Stacks),440400.0333532329,450102.92310992826,459805.8128666236,469508.702623319,479211.5923800143
Blackcliff (1 Stacks),420994.2538398419,425845.6987181896,430697.14359653724,435548.588474885,440400.0333532329
Blackcliff (0 Stacks),401588.474326451,401588.474326451,401588.474326451,401588.474326451,401588.474326451
MissiveWindspear (On),405401.323937089,409432.74428082287,413464.16462455696,417495.58496829116,421527.0053120251
MissiveWindspear (Off),389275.64256215305,389275.64256215305,389275.64256215305,389275.64256215305,389275.64256215305
WavebreakersFin,391124.1086589706,391124.1086589706,391124.1086589706,391124.1086589706,391124.1086589706
FavoniusLance,351957.3117334702,351957.3117334702,351957.3117334702,351957.3117334702,351957.3117334702
PrototypeStarglitter,333709.2321576862,333709.2321576862,333709.2321576862,333709.2321576862,333709.2321576862
WhiteTassel,348596.8111892007,348596.8111892007,348596.8111892007,348596.8111892007,348596.8111892007
