Weapon,R1,R2,R3,R4,R5
PJWS,1032311.2602798042,1048270.4224467869,1064383.5757558264,1080650.7202069226,1097071.855800076
Homa (50%),1095240.3685932902,1124443.646725195,1155225.2124894457,1187585.0658860405,1221523.206914981
Homa,1033082.900735901,1047487.2538478102,1062680.750775892,1078663.391520147,1095435.1760805743
LumidouceElegy,1030605.3753672185,1042499.240664907,1054393.1059625952,1066286.9712602838,1078180.836557972
"Vortex (Shielded, Stacked)",1023723.4411248368,1048028.328337521,1072333.2155502045,1096638.1027628884,1120942.9899755716
"Vortex (Shielded, Unstacked)",1005831.1529535255,1025662.9681233817,1045494.7832932374,1065326.5984630936,1085158.413632949
CalamityQueller (Stacked),1019877.174143422,1044502.6594733179,1069414.0288141528,1094611.2821659262,1120094.4195286399
CalamityQueller (Unstacked),1008411.9054636244,1029991.2550603981,1051784.5612428416,1073791.8240109554,1096013.04336474
"Vortex (Unshielded, Stacked)",975113.6666994692,987266.1103058115,999418.5539121532,1011570.9975184947,1023723.4411248368
"Vortex (Unshielded, Unstacked)",966167.5226138135,976083.430198742,985999.3377836696,995915.2453685973,1005831.1529535255
StaffOfTheScarletSands,998444.8779070411,998444.8779070411,998444.8779070411,998444.8779070411,998444.8779070411
SkywardSpine,995844.4175732174,1007911.0628429294,1018465.6132324145,1030083.3370092598,1041135.5878947774
EngulfingLightning,967664.565580379,985243.9807694163,1004095.0412261136,1024217.7469504708,1045612.0979424879
Lithic (4 Stacks),984457.2621469239,1019144.6814594986,1054383.2960595798,1090174.7197235548,1126520.5662278095
Lithic (3 Stacks),949488.7613665131,974429.3052754713,999214.6575571599,1024357.2272501342,1053924.816909112
Lithic (2 Stacks),913386.5053064611,930759.7453624044,946427.217951887,964401.3484040188,979956.9537447556
Lithic (1 Stacks),879708.7926293937,888132.7741675237,896589.2612693696,903738.5254625559,912199.3699662199
Deathmatch (1 Opponent),962628.4366118696,977909.9912247602,993191.5458376517,1008473.1004505424,1023754.6550634333
Deathmatch (2+ Opponents),942253.0304613485,952440.7335366093,962628.4366118696,972816.1396871305,983003.8427623909
Blackcliff (3 Stacks),983237.6229140784,1006469.796017979,1029701.9691218801,1052934.1422257812,1076166.315329682
Blackcliff (2 Stacks),952261.3921088768,967749.5075114773,983237.6229140784,998725.7383166789,1014213.8537192794
Blackcliff (1 Stacks),921285.1613036753,929029.219004976,936773.2767062762,944517.3344075766,952261.3921088768
Blackcliff (0 Stacks),890308.9304984743,890308.9304984743,890308.9304984743,890308.9304984743,890308.9304984743
MissiveWindspear (On),868842.6962320306,875387.6478909749,881932.5995499188,888477.5512088633,895022.5028678074
MissiveWindspear (Off),842662.889596254,842662.889596254,842662.889596254,842662.889596254,842662.889596254
WavebreakersFin,846463.9037087443,846463.9037087443,846463.9037087443,846463.9037087443,846463.9037087443
FavoniusLance,883556.4598064345,883556.4598064345,883556.4598064345,883556.4598064345,883556.4598064345
PrototypeStarglitter,849652.2883368585,849652.2883368585,849652.2883368585,849652.2883368585,849652.2883368585
WhiteTassel,800709.0030546283,800709.0030546283,800709.0030546283,800709.0030546283,800709.0030546283
