Weapon,R1,R2,R3,R4,R5
PJWS,776317.5512417302,791648.6669460076,807144.4693358408,822794.262867731,838598.047541678
Homa (50%),827536.3567591951,856739.6348910999,887521.2006553505,919881.0540519457,953819.1950808859
Homa,766094.8737578379,780194.2182338974,795065.996599832,810959.3796860517,827731.1642464792
LumidouceElegy,762737.3327542437,774375.1857150628,786013.0386758822,797862.5024410352,809756.3677387235
"Vortex (Shielded, Stacked)",804315.325210009,828620.2124226927,852925.0996353765,877229.9868480605,901534.874060744
"Vortex (Shielded, Unstacked)",786423.0370386975,806254.8522085535,826086.6673784094,845918.4825482655,865750.2977181212
CalamityQueller (Stacked),786206.6360624161,808313.3478490121,830705.9436465473,853384.4234550216,876348.7872744353
CalamityQueller (Unstacked),774741.3673826184,793801.9434360923,813076.4760752365,832564.9653000506,852267.4111105351
"Vortex (Unshielded, Stacked)",755705.5507846408,767857.9943909834,780010.4379973251,792162.8816036666,804315.325210009
"Vortex (Unshielded, Unstacked)",746759.4066989854,756675.3142839137,766591.2218688416,776507.1294537692,786423.0370386975
StaffOfTheScarletSands,721646.8479926087,721646.8479926087,721646.8479926087,721646.8479926087,721646.8479926087
SkywardSpine,736011.1356152733,744765.3631464293,753731.4308860125,762099.3617738006,771603.587391572
EngulfingLightning,719913.6164863436,737493.0316753808,756344.0921320783,776466.7978564354,797861.1488484526
Lithic (4 Stacks),748960.4565450111,777808.4480594767,807195.0022056027,837121.7327597763,867590.2534983837
Lithic (3 Stacks),718234.6067000218,738932.4996735586,759577.4106898536,780557.4633776755,804980.1153594826
Lithic (2 Stacks),686813.0903150782,701089.7349027547,714111.6866668123,728904.5428021064,741899.3061659888
Lithic (1 Stacks),657379.6677000656,664276.9261942909,671206.6902522322,677165.1104711732,684113.5037134116
Deathmatch (1 Opponent),694680.9541759862,709962.5087888773,725244.0634017681,740525.6180146592,755807.1726275501
Deathmatch (2+ Opponents),674636.7710484576,684609.865390053,694680.9541759862,704868.6572512471,715056.3603265076
Blackcliff (3 Stacks),727282.2416152972,750514.4147191981,773746.587823099,796978.7609270002,820210.9340309011
Blackcliff (2 Stacks),696306.0108100958,711794.1262126964,727282.2416152972,742770.3570178979,758258.4724204985
Blackcliff (1 Stacks),665522.8095049353,673097.7736681394,680817.8954074952,688561.9531087956,696306.0108100958
Blackcliff (0 Stacks),635435.1462864775,635435.1462864775,635435.1462864775,635435.1462864775,635435.1462864775
MissiveWindspear (On),652519.9798909765,659064.9315499208,665609.8832088648,672154.8348678092,678699.7865267533
MissiveWindspear (Off),626340.1732551999,626340.1732551999,626340.1732551999,626340.1732551999,626340.1732551999
WavebreakersFin,626677.9837644744,626677.9837644744,626677.9837644744,626677.9837644744,626677.9837644744
FavoniusLance,637683.6862595284,637683.6862595284,637683.6862595284,637683.6862595284,637683.6862595284
PrototypeStarglitter,605567.472868371,605567.472868371,605567.472868371,605567.472868371,605567.472868371
WhiteTassel,554845.850355386,554845.850355386,554845.850355386,554845.850355386,554845.850355386
