Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),459250.41427844984,474378.71990196593,489734.12727447273,505316.63639597024,521126.247266459
PJWS,437776.20733741426,447571.1462385943,457477.6238421025,467495.6401479389,477625.19515610393
Homa (50%),471486.0465965066,489851.20588126674,509208.90797694924,529559.1528835541,550901.940601081
Homa,432734.87457928236,441578.1075519645,451010.17519718764,461061.2297991247,471608.55580652296
"Vortex (Shielded, Stacked)",456146.45337630564,471117.2616980864,486088.0700198671,501058.8783416478,516029.6866634283
"Vortex (Shielded, Unstacked)",445529.743751267,457846.3746667881,470163.00558230915,482479.63649783016,494796.26741335104
CalamityQueller (Stacked),441856.8522352055,455799.98782642663,469947.25122270983,484298.6424240552,498854.16143046296
CalamityQueller (Unstacked),434981.72189523606,447077.6802826498,459326.40862759965,471727.9069300855,484282.1751901079
"Vortex (Unshielded, Stacked)",426204.8367327445,433690.24089363473,441175.645054525,448661.0492154153,456146.45337630564
"Vortex (Unshielded, Unstacked)",420896.48192022514,427054.79737798555,433213.1128357461,439371.42829350644,445529.743751267
StaffOfTheScarletSands,406673.4328704331,406673.4328704331,406673.4328704331,406673.4328704331,406673.4328704331
SkywardSpine,410993.175457056,416307.3725844056,421975.8732583522,427364.7268776346,433250.2389788806
EngulfingLightning,403506.80776521645,414485.01158768276,426260.84121800907,438834.2966561953,452205.3779022416
Lithic (4 Stacks),422557.59238591115,440417.2124797684,459048.0261740225,478055.6301999691,497441.1635806804
Lithic (3 Stacks),403301.7638105332,416348.505133384,429585.0503185305,443199.2537909757,457176.2784797349
Lithic (2 Stacks),384782.0592044815,393025.6337274603,401504.85828638816,410139.41788085684,418858.33474745706
Lithic (1 Stacks),366729.1960452773,370739.73798705504,374770.5063505984,378821.5011359074,382892.72234298236
Deathmatch (1 Opponent),393175.72186571325,402791.9503910855,412408.17891645746,422024.40744182933,431640.63596720144
Deathmatch (2+ Opponents),380490.15483696625,386764.9028487988,393175.72186571325,399586.54088262806,405997.3598995427
Blackcliff (3 Stacks),412043.6632472627,426597.99788230605,441152.3325173491,455706.6671523923,470261.00178743544
Blackcliff (2 Stacks),392637.88373387203,402340.77349056746,412043.6632472627,421746.55300395837,431449.44276065356
Blackcliff (1 Stacks),373246.42476960085,378083.54909882887,382934.99397717655,387786.43885552423,392637.88373387203
Blackcliff (0 Stacks),354345.88507715194,354345.88507715194,354345.88507715194,354345.88507715194,354345.88507715194
MissiveWindspear (On),365712.2608921151,369743.68123584904,373775.1015795831,377806.52192331717,381837.9422670511
MissiveWindspear (Off),349586.57951717917,349586.57951717917,349586.57951717917,349586.57951717917,349586.57951717917
WavebreakersFin,346353.81082006387,346353.81082006387,346353.81082006387,346353.81082006387,346353.81082006387
FavoniusLance,353651.52719261165,353651.52719261165,353651.52719261165,353651.52719261165,353651.52719261165
PrototypeStarglitter,335628.9471341534,335628.9471341534,335628.9471341534,335628.9471341534,335628.9471341534
WhiteTassel,308020.97435220366,308020.97435220366,308020.97435220366,308020.97435220366,308020.97435220366
