Weapon,R1,R2,R3,R4,R5
PJWS,1057799.6856308545,1076024.0144086976,1094647.3053822026,1113456.4301184881,1132451.3886175535
Homa (50%),1116517.767907239,1149787.1967191056,1184854.6677847144,1221720.1811040659,1260383.7366771593
Homa,1047137.8996087998,1062972.1492397264,1079894.774494155,1097783.3808276847,1116739.699630141
LumidouceElegy,1041760.2512826504,1054811.9687648013,1068090.0797845249,1081368.1908042487,1094680.3623078642
"Vortex (Shielded, Stacked)",1099165.614183085,1127900.413594013,1156635.2130049411,1185370.0124158694,1214104.8118267972
"Vortex (Shielded, Unstacked)",1081286.033226117,1105550.937397803,1129815.841569489,1154080.745741175,1178345.649912861
CalamityQueller (Stacked),1074036.6998724248,1101625.3994003194,1129547.6425642022,1157803.4293640726,1186392.7597999317
CalamityQueller (Unstacked),1062617.0559149568,1087174.6793871399,1111995.3804687737,1137079.159159857,1162426.0154603915
"Vortex (Unshielded, Stacked)",1041696.0153612292,1056063.4150666932,1070430.814772157,1084798.2144776213,1099165.614183085
"Vortex (Unshielded, Unstacked)",1032756.2248827452,1044888.676968588,1057021.1290544309,1069153.5811402742,1081286.033226117
StaffOfTheScarletSands,993202.3816395451,993202.3816395451,993202.3816395451,993202.3816395451,993202.3816395451
SkywardSpine,914966.956623342,922633.0217089842,934214.2551652252,941526.3195921457,953733.882441875
EngulfingLightning,902331.847410216,920884.770442866,940795.8590936714,962065.1133626329,984692.5332497496
Lithic (4 Stacks),1033839.0163156143,1066728.1902997198,1100141.5763896818,1134080.788361887,1168547.4399927214
Lithic (3 Stacks),998936.7776267101,1022151.9087746593,1043432.3798190063,1068464.0916042477,1095742.9762117765
Lithic (2 Stacks),961347.6974725348,978572.3184864172,992573.9497807192,1010464.8012337047,1024277.6842131567
Lithic (1 Stacks),925880.2123975585,935986.1918822209,945047.4659853313,950038.8152126557,956662.4912795135
Deathmatch (1 Opponent),977413.4744989347,994723.7984454456,1012034.1223919565,1029344.4463384673,1046654.7702849782
Deathmatch (2+ Opponents),954333.0425702534,965873.2585345942,977413.4744989347,988953.6904632755,1000493.9064276159
Blackcliff (3 Stacks),1010556.3055749314,1037164.8953516915,1063773.4851284511,1090382.0749052113,1116990.6646819715
Blackcliff (2 Stacks),975078.1858725847,992817.2457237578,1010556.3055749314,1028295.3654261045,1046034.4252772782
Blackcliff (1 Stacks),939675.659767855,948469.5960958247,957339.1260214116,966208.655946998,975078.1858725847
Blackcliff (0 Stacks),904929.5542237163,904929.5542237163,904929.5542237163,904929.5542237163,904929.5542237163
MissiveWindspear (On),926758.6838904107,934496.5462975991,942234.4087047874,949972.2711119759,957710.1335191643
MissiveWindspear (Off),895807.2342616564,895807.2342616564,895807.2342616564,895807.2342616564,895807.2342616564
WavebreakersFin,888287.4228310194,888287.4228310194,888287.4228310194,888287.4228310194,888287.4228310194
FavoniusLance,818644.985910698,818644.985910698,818644.985910698,818644.985910698,818644.985910698
PrototypeStarglitter,789153.6974159087,789153.6974159087,789153.6974159087,789153.6974159087,789153.6974159087
WhiteTassel,821156.0442146845,821156.0442146845,821156.0442146845,821156.0442146845,821156.0442146845
