Weapon,R1,R2,R3,R4,R5
PJWS,1547302.069802184,1567940.1694084888,1588768.1970737833,1609786.1527980661,1630994.0365813395
Homa (50%),1629868.9066131567,1664349.1515457744,1700692.8771428429,1738900.0834043617,1778970.7703303318
Homa,1556479.723849712,1573486.9112329646,1591425.8389484428,1610296.506996146,1630098.915376074
FracturedHalo,1581800.5867475765,1602808.6390247315,1623816.6913018862,1644824.7435790412,1665832.795856196
LumidouceElegy,1547297.110604719,1561278.8598995348,1575260.6091943511,1589242.358489167,1603224.1077839835
"Vortex (Shielded, Stacked)",1543465.6198054873,1573306.9305220505,1603148.2412386145,1632989.5519551788,1662830.8626717424
"Vortex (Shielded, Unstacked)",1524327.2910346882,1549384.0195585517,1574440.7480824161,1599497.4766062803,1624554.2051301445
CalamityQueller (Stacked),1533883.7892281357,1566648.6956569948,1599759.3560039164,1633215.7702689008,1667017.9384519483
CalamityQueller (Unstacked),1521646.1948899576,1551165.9165199958,1580957.077582386,1611019.6780771283,1641353.7180042237
"Vortex (Unshielded, Stacked)",1483782.9983723592,1498703.6537306414,1513624.3090889235,1528544.9644472054,1543465.6198054873
"Vortex (Unshielded, Unstacked)",1474213.83398696,1486742.198248892,1499270.5625108243,1511798.926772756,1524327.2910346882
StaffOfTheScarletSands,1484698.371601677,1484698.371601677,1484698.371601677,1484698.371601677,1484698.371601677
SkywardSpine,1368714.7233253415,1376064.5027383212,1396731.397475363,1403195.2123842621,1424809.6585998863
EngulfingLightning,1339271.4279711563,1358639.2447702948,1379435.7930704807,1401661.0728717137,1425315.084173994
SacrificersStaff,1358064.6986421666,1361634.9829419784,1365205.2672417902,1368775.551541602,1372345.8358414136
Lithic (4 Stacks),1500687.7196019483,1543223.2895900088,1586312.8691827666,1629958.0721566088,1674160.5122879217
Lithic (3 Stacks),1456581.002021975,1488560.5340744804,1515872.9321999229,1543020.8236143424,1580667.4691806533
Lithic (2 Stacks),1408359.145355695,1434935.83826163,1448629.1590363574,1476433.3485470116,1489375.7097548603
Lithic (1 Stacks),1368896.4199817467,1382345.9745986843,1392759.1454246114,1396643.3747690516,1409161.404060913
Deathmatch (1 Opponent),1490276.1273806451,1508180.1735213487,1526084.2196620514,1543988.2658027546,1561892.311943458
Deathmatch (2+ Opponents),1466404.0658597075,1478340.096620177,1490276.1273806451,1502212.1581411143,1514148.1889015827
Blackcliff (3 Stacks),1508454.594819943,1536039.8106452785,1563625.0264706146,1591210.2422959511,1618795.4581212872
Blackcliff (2 Stacks),1471674.3070528281,1490064.4509363854,1508454.594819943,1526844.7387035002,1545234.882587058
Blackcliff (1 Stacks),1434894.019285713,1444089.0912274923,1453284.1631692708,1462479.2351110496,1471674.3070528281
Blackcliff (0 Stacks),1398113.731518599,1398113.731518599,1398113.731518599,1398113.731518599,1398113.731518599
MissiveWindspear (On),1364380.577273063,1372416.407037273,1380452.2368014818,1388488.066565692,1396523.8963299014
MissiveWindspear (Off),1332237.2582162241,1332237.2582162241,1332237.2582162241,1332237.2582162241,1332237.2582162241
WavebreakersFin,1324471.7820872837,1324471.7820872837,1324471.7820872837,1324471.7820872837,1324471.7820872837
FavoniusLance,1252125.6214359768,1252125.6214359768,1252125.6214359768,1252125.6214359768,1252125.6214359768
PrototypeStarglitter,1221476.737966201,1221476.737966201,1221476.737966201,1221476.737966201,1221476.737966201
WhiteTassel,1303395.6038931205,1303395.6038931205,1303395.6038931205,1303395.6038931205,1303395.6038931205
