Weapon,R1,R2,R3,R4,R5
PJWS,1409521.1054473338,1431325.5665860653,1453337.221970966,1475556.0716020376,1497982.1154792788
Homa (50%),1486999.8883835233,1524614.701037288,1564262.401688635,1605942.9903375653,1649656.4669840783
Homa,1406938.9617324923,1425492.2570596768,1445061.9963856526,1465648.1797104198,1487250.8070339784
FracturedHalo,1434561.7212574352,1457479.5964688768,1480397.4716803185,1503315.3468917606,1526233.2221032022
LumidouceElegy,1397159.0868718766,1412411.904284403,1427664.72169693,1442917.5391094566,1458170.3565219832
"Vortex (Shielded, Stacked)",1435442.0301936343,1467996.1873389767,1500550.3444843192,1533104.5016296613,1565658.6587750039
"Vortex (Shielded, Unstacked)",1414563.8533527625,1441898.4662878872,1469233.0792230116,1496567.6921581356,1523902.3050932605
CalamityQueller (Stacked),1414034.7731484156,1447039.719694234,1480421.852332485,1514181.1710631684,1548317.675886284
CalamityQueller (Unstacked),1400684.6702340394,1430149.4151811441,1459910.2758726338,1489967.252308508,1520320.3444887663
"Vortex (Unshielded, Stacked)",1370333.7159029495,1386610.7944756204,1402887.8730482918,1419164.951620963,1435442.0301936343
"Vortex (Unshielded, Unstacked)",1359894.6274825137,1373561.9339500756,1387229.240417638,1400896.5468852003,1414563.8533527625
StaffOfTheScarletSands,1320771.6512487398,1320771.6512487398,1320771.6512487398,1320771.6512487398,1320771.6512487398
SkywardSpine,1234331.459193125,1240670.4119578165,1259640.5459867134,1265158.5270887478,1285004.8565434646
EngulfingLightning,1212684.7300107281,1233813.2574279697,1256500.401028173,1280746.160811336,1306550.5367774602
SacrificersStaff,1221321.834866269,1225216.6904660636,1229111.546065858,1233006.4016656526,1236901.2572654474
Lithic (4 Stacks),1373047.4428520794,1414183.3630781434,1455911.69539122,1498234.2002746393,1541152.6382117327
Lithic (3 Stacks),1328866.0590339426,1359817.7859130234,1386499.1306613307,1412930.4725309776,1448928.4241939674
Lithic (2 Stacks),1281007.8499201348,1306572.6754872578,1319831.8551920385,1346588.1289739672,1359173.6151294003
Lithic (1 Stacks),1241761.6719807624,1254444.5108341856,1264339.5709380205,1268227.0092801603,1280498.8863024544
Deathmatch (1 Opponent),1329969.2613552676,1349500.9480542159,1369032.6347531648,1388564.321452114,1408096.0081510628
Deathmatch (2+ Opponents),1303927.012423336,1316948.136889302,1329969.2613552676,1342990.3858212335,1356011.5102871987
Blackcliff (3 Stacks),1361707.625309185,1391800.5880277334,1421893.5507462819,1451986.51346483,1482079.4761833788
Blackcliff (2 Stacks),1321583.675017787,1341645.6501634864,1361707.625309185,1381769.600454884,1401831.5756005833
Blackcliff (1 Stacks),1281459.7247263892,1291490.712299239,1301521.6998720886,1311552.6874449376,1321583.675017787
Blackcliff (0 Stacks),1241335.7744349916,1241335.7744349916,1241335.7744349916,1241335.7744349916,1241335.7744349916
MissiveWindspear (On),1240076.5292491717,1248842.8889919457,1257609.2487347198,1266375.6084774937,1275141.9682202681
MissiveWindspear (Off),1205011.0902780746,1205011.0902780746,1205011.0902780746,1205011.0902780746,1205011.0902780746
WavebreakersFin,1196539.6617737764,1196539.6617737764,1196539.6617737764,1196539.6617737764,1196539.6617737764
FavoniusLance,1117616.5774268957,1117616.5774268957,1117616.5774268957,1117616.5774268957,1117616.5774268957
PrototypeStarglitter,1084181.431823504,1084181.431823504,1084181.431823504,1084181.431823504,1084181.431823504
WhiteTassel,1143340.9949771846,1143340.9949771846,1143340.9949771846,1143340.9949771846,1143340.9949771846
