Weapon,R1,R2,R3,R4,R5
PJWS,796124.1681521314,811968.0232756509,827970.4440690822,844214.2745744756,860793.1159944484
Homa (50%),841637.566580567,870720.0860771369,901887.601634997,935234.7341475006,970856.1045080009
Homa,781415.6106939442,795234.8770983601,809811.2332896177,825402.6532823204,841828.3542405817
LumidouceElegy,774845.1233364202,786202.8360412006,797560.5487459817,809113.5480668923,820711.3105610406
"Vortex (Shielded, Stacked)",847739.537053477,876474.3364644046,905209.135875333,933943.9352862609,962678.7346971891
"Vortex (Shielded, Unstacked)",829859.9560965089,854124.8602681945,878389.7644398807,902654.6686115668,926919.5727832529
CalamityQueller (Stacked),812939.948564291,836397.5357846913,860451.8309375938,884871.490021315,909747.4963127122
CalamityQueller (Unstacked),802391.577658313,823049.2321651191,843947.9260729628,865332.7396968007,887008.2921790099
"Vortex (Unshielded, Stacked)",790376.2630617569,804637.337937085,819004.7376425484,833372.1373480128,847739.537053477
"Vortex (Unshielded, Unstacked)",781607.2778432469,793486.1218353286,805595.0519248224,817727.5040106657,829859.9560965089
StaffOfTheScarletSands,724598.8784827152,724598.8784827152,724598.8784827152,724598.8784827152,724598.8784827152
SkywardSpine,672749.9629384145,679054.2057198881,689154.2642252129,695486.4901160407,705822.5829912788
EngulfingLightning,658885.2100553236,675688.8350770258,693951.5984390711,713790.9488217905,735121.6339258299
Lithic (4 Stacks),771313.4127226474,799152.1023222451,827503.1096745501,856447.4995875367,885927.1152319567
Lithic (3 Stacks),740174.494910478,760318.6608554344,779238.3195497598,798731.9436958679,822295.6398796196
Lithic (2 Stacks),707168.6022231353,722586.1842521405,733445.012447269,749540.3757238629,760273.9397129512
Lithic (1 Stacks),678138.3873053439,685833.371378793,692756.1544803652,696649.8662361125,704048.3145787781
Deathmatch (1 Opponent),703767.7235887332,718662.1343787302,733665.9501530802,748862.3500876416,764185.2677247479
Deathmatch (2+ Opponents),684218.8691286617,693947.1502256168,703767.7235887332,713697.3307820646,723626.9379753955
Blackcliff (3 Stacks),740771.9302545086,764383.2985469684,788331.920190655,812617.795185569,837311.3817061502
Blackcliff (2 Stacks),709904.9542251418,725267.040868877,740771.9302545086,756471.2702494708,772295.3268444657
Blackcliff (1 Stacks),679694.3987563652,687127.6762398178,694719.2320488734,702312.0931370078,709904.9542251418
Blackcliff (0 Stacks),650140.2638481783,650140.2638481783,650140.2638481783,650140.2638481783,650140.2638481783
MissiveWindspear (On),679696.1544290947,687170.6076384201,694748.886440927,702327.1652434338,709905.4440459406
MissiveWindspear (Off),650143.285372839,650143.285372839,650143.285372839,650143.285372839,650143.285372839
WavebreakersFin,646855.8341037614,646855.8341037614,646855.8341037614,646855.8341037614,646855.8341037614
FavoniusLance,582495.5797183316,582495.5797183316,582495.5797183316,582495.5797183316,582495.5797183316
PrototypeStarglitter,553331.558178219,553331.558178219,553331.558178219,553331.558178219,553331.558178219
WhiteTassel,567737.3354516104,567737.3354516104,567737.3354516104,567737.3354516104,567737.3354516104
