Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),890664.7833542915,915382.9663987515,940580.83290803,966125.277506496,992297.9506411988
PJWS,859464.9480224078,876321.3812868752,893414.5061501684,910869.3336540464,928482.7268278367
Homa (50%),911739.5077194714,943650.8010364478,977971.2416665806,1014692.0459601681,1053916.2031782523
Homa,845582.4875837421,860677.8541253434,876768.0497516318,893874.3363483021,911952.3613431489
LumidouceElegy,838046.2986123553,850446.3302646143,863035.6863171475,875703.8906059442,888372.0948947407
"Vortex (Shielded, Stacked)",918825.2299973039,950882.8533832587,982940.476769214,1014998.1001551689,1047055.7235411239
"Vortex (Shielded, Unstacked)",900484.6684851449,927957.1514930598,955429.6345009753,982902.1175088903,1010374.6005168055
CalamityQueller (Stacked),874069.2393078598,898802.4304294672,923992.9168256617,949552.2187830844,975744.2281918871
CalamityQueller (Unstacked),863484.721097938,885186.4375356397,907390.2118019797,929891.7801081643,952634.3878153868
"Vortex (Unshielded, Stacked)",855364.5066265743,871062.1981295837,886767.6066113485,902796.4183043265,918825.2299973039
"Vortex (Unshielded, Unstacked)",846427.3741741665,859818.5954254195,873267.5663875963,886748.4269811873,900484.6684851449
StaffOfTheScarletSands,783411.2053576813,783411.2053576813,783411.2053576813,783411.2053576813,783411.2053576813
SkywardSpine,725165.4203176305,732526.8074563965,743273.548123826,750422.2590274416,761423.0266671955
EngulfingLightning,710621.9146141508,729070.7096109021,748971.2905766936,770596.4016905696,793932.8529140578
Lithic (4 Stacks),834976.2542405687,865606.6866741856,896808.315805362,928582.934620474,960932.3361058994
Lithic (3 Stacks),800632.973524597,822952.1355200055,843752.3784140704,864908.460291433,890849.7302842711
Lithic (2 Stacks),764290.2042474536,781394.2503800067,793181.035288256,810967.2826369106,822598.5407792487
Lithic (1 Stacks),732730.187208091,741002.2023242016,748473.4020038571,752700.7390329632,761214.5389762151
Deathmatch (1 Opponent),762173.0549049457,778450.2113356147,795050.5740810453,811670.0551679627,828621.9765922751
Deathmatch (2+ Opponents),740615.9350198742,751321.6172844997,762173.0549049457,773024.4925253915,783974.2147960514
Blackcliff (3 Stacks),802212.1944810639,828159.0320994048,854555.8024208294,881329.4470176781,908479.9658899504
Blackcliff (2 Stacks),768256.6792665548,785197.9076599794,802212.1944810639,819510.0862266246,836901.2473231328
Blackcliff (1 Stacks),735034.7016796055,743326.9842002499,751619.2667208939,759911.5492415384,768256.6792665548
Blackcliff (0 Stacks),702546.261720216,702546.261720216,702546.261720216,702546.261720216,702546.261720216
MissiveWindspear (On),735080.5529874928,743356.5400782774,751632.527169062,759908.5142598469,768301.1160087232
MissiveWindspear (Off),702593.5275938221,702593.5275938221,702593.5275938221,702593.5275938221,702593.5275938221
WavebreakersFin,697631.7032891918,697631.7032891918,697631.7032891918,697631.7032891918,697631.7032891918
FavoniusLance,627704.9672126259,627704.9672126259,627704.9672126259,627704.9672126259,627704.9672126259
PrototypeStarglitter,596349.3976028903,596349.3976028903,596349.3976028903,596349.3976028903,596349.3976028903
WhiteTassel,613543.2515915562,613543.2515915562,613543.2515915562,613543.2515915562,613543.2515915562
