Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),991577.0142674512,1018123.6932452605,1045170.0095343409,1072567.2005808093,1100627.411495906
PJWS,957543.9499007816,975589.976093099,993847.4331024751,1012518.237609676,1031347.6077867893
Homa (50%),1018834.1804598358,1054442.620190283,1092738.4367637215,1133711.4816818691,1177476.694656489
Homa,945009.6071599763,961854.9811290639,979810.0579065841,998898.890279033,1019071.6958968163
LumidouceElegy,936756.8674787708,950596.8048691463,964649.3746229582,978788.2033892306,992927.0321555025
"Vortex (Shielded, Stacked)",1026741.0363743025,1062513.4891496706,1098285.9419250395,1134058.3947004084,1169830.847475777
"Vortex (Shielded, Unstacked)",1004742.4992746293,1035015.3177750795,1065288.13627553,1095560.9547759807,1125833.773276431
CalamityQueller (Stacked),973268.8043175114,999851.1428419779,1026907.0043719728,1054339.072212203,1082437.8321941318
CalamityQueller (Unstacked),960686.1656526062,983712.3516710376,1007244.4384083219,1031101.4050249797,1055199.4110426747
"Vortex (Unshielded, Stacked)",955925.6357390397,973442.9004755927,990968.5835989332,1008854.8099866178,1026741.0363743025
"Vortex (Unshielded, Unstacked)",945215.5737965484,959956.3899522399,974776.352584122,989606.0900244039,1004742.4992746293
StaffOfTheScarletSands,876021.4968525867,876021.4968525867,876021.4968525867,876021.4968525867,876021.4968525867
SkywardSpine,810725.2484349296,818884.520472143,830939.3602159341,838860.3086097545,851199.8559681674
EngulfingLightning,794608.5075518982,815305.0636997931,837645.7184899834,861921.1742735677,888143.3923557193
Lithic (4 Stacks),933118.1053141071,967302.7479539725,1002124.2976477379,1037584.7623173329,1073686.149884689
Lithic (3 Stacks),894847.9027485633,919700.110463036,942879.71207784,966728.1437856187,995571.1098886336
Lithic (2 Stacks),854380.7646204623,873320.010560752,886641.1916949163,906325.9192534955,919489.7611626501
Lithic (1 Stacks),818977.4902553754,828239.6893012669,836623.7509179958,841444.9132287505,850767.92413577
Deathmatch (1 Opponent),851813.2621973018,869979.0537570043,888505.9497987651,907054.1534465195,925971.9781589361
Deathmatch (2+ Opponents),827753.7653434429,839702.7344908332,851813.2621973018,863923.78990377,876144.7443747254
Blackcliff (3 Stacks),896457.3986812981,925410.8713094404,954865.3528820109,984739.7791125702,1015034.1500011188
Blackcliff (2 Stacks),858566.5521571048,877471.443275982,896457.3986812981,915759.7137667265,935165.6138300314
Blackcliff (1 Stacks),821493.0742574519,830746.807833615,840000.5414097778,849254.2749859407,858566.5521571048
Blackcliff (0 Stacks),785236.9649823387,785236.9649823387,785236.9649823387,785236.9649823387,785236.9649823387
MissiveWindspear (On),821544.230392177,830779.8062452865,840015.3820983961,849250.9579515057,858616.1320650729
MissiveWindspear (Off),785289.6973438215,785289.6973438215,785289.6973438215,785289.6973438215,785289.6973438215
WavebreakersFin,779912.1336182365,779912.1336182365,779912.1336182365,779912.1336182365,779912.1336182365
FavoniusLance,701788.3142138035,701788.3142138035,701788.3142138035,701788.3142138035,701788.3142138035
PrototypeStarglitter,666715.0533888882,666715.0533888882,666715.0533888882,666715.0533888882,666715.0533888882
WhiteTassel,685747.9893262533,685747.9893262533,685747.9893262533,685747.9893262533,685747.9893262533
