Weapon,R1,R2,R3,R4,R5
PJWS,1482305.6697464492,1504457.5865746792,1526799.431461899,1549331.2044081078,1572052.9054133068
Homa (50%),1560298.281603323,1600711.3990432436,1643308.6385242518,1688090.0000463491,1735055.4836095357
Homa,1474281.327036009,1494214.8705008333,1515240.4749862016,1537358.1404921135,1560567.8670185707
LumidouceElegy,1464053.9556122688,1480440.120766527,1496826.285920784,1513212.4510750421,1529598.6162292997
"Vortex (Shielded, Stacked)",1510638.895477621,1545610.9488591729,1580583.0022407253,1615555.0556222778,1650527.1090038302
"Vortex (Shielded, Unstacked)",1489201.4966206565,1518814.2002879677,1548426.9039552792,1578039.6076225906,1607652.3112899018
CalamityQueller (Stacked),1492353.0506646435,1525233.7202504394,1558460.1437542988,1592032.3211762214,1625950.2525162066
CalamityQueller (Unstacked),1478731.098797214,1508020.4942018762,1537581.3290388915,1567413.6033082593,1597517.3170099787
"Vortex (Unshielded, Stacked)",1440694.7887145162,1458180.815405292,1475666.8420960684,1493152.868786845,1510638.895477621
"Vortex (Unshielded, Unstacked)",1429976.089286034,1444782.4411196895,1459588.792953345,1474395.144787001,1489201.4966206565
StaffOfTheScarletSands,1373538.9212281348,1373538.9212281348,1373538.9212281348,1373538.9212281348,1373538.9212281348
SkywardSpine,1300653.8833050276,1307520.8486857396,1327294.9036565297,1333311.0370955914,1353994.3201030432
EngulfingLightning,1272012.2426541764,1295019.658505953,1319757.746150913,1346226.505589057,1374425.9368203843
Lithic (4 Stacks),1436562.4794874117,1479956.191507761,1523985.166398406,1568651.291627863,1613956.4546646434
Lithic (3 Stacks),1389784.7451090927,1422349.6685407173,1450485.9255917915,1478366.4160273806,1516481.872145082
Lithic (2 Stacks),1339216.157885497,1365946.049351604,1380162.8759173173,1408136.8575940225,1421666.4802929796
Lithic (1 Stacks),1297366.1617614857,1310741.5590033934,1321228.33365075,1325486.937839331,1338191.736947029
Deathmatch (1 Opponent),1371283.9759997837,1392267.3897981253,1413250.8035964656,1434234.217394807,1455217.6311931475
Deathmatch (2+ Opponents),1343306.0909353294,1357295.0334675568,1371283.9759997837,1385272.9185320113,1399261.861064239
Blackcliff (3 Stacks),1414503.2559358734,1446834.4132214976,1479165.5705071224,1511496.727792747,1543827.8850783713
Blackcliff (2 Stacks),1371395.0462217072,1392949.1510787902,1414503.2559358734,1436057.360792956,1457611.465650039
Blackcliff (1 Stacks),1328286.8365075411,1339063.8889360833,1349840.9413646245,1360617.9937931658,1371395.0462217072
Blackcliff (0 Stacks),1285178.626793376,1285178.626793376,1285178.626793376,1285178.626793376,1285178.626793376
MissiveWindspear (On),1290138.0777606517,1299555.5416967457,1308973.0056328387,1318390.4695689324,1327807.9335050266
MissiveWindspear (Off),1252468.2220162763,1252468.2220162763,1252468.2220162763,1252468.2220162763,1252468.2220162763
WavebreakersFin,1255293.5332098175,1255293.5332098175,1255293.5332098175,1255293.5332098175,1255293.5332098175
FavoniusLance,1164545.6221872396,1164545.6221872396,1164545.6221872396,1164545.6221872396,1164545.6221872396
PrototypeStarglitter,1122664.177430451,1122664.177430451,1122664.177430451,1122664.177430451,1122664.177430451
WhiteTassel,1167592.8307341472,1167592.8307341472,1167592.8307341472,1167592.8307341472,1167592.8307341472
