Weapon,R1,R2,R3,R4,R5
PJWS,461914.8742315631,472132.7974027682,482635.0495991999,493270.2486273402,504023.4178282538
Homa (50%),493727.68657799566,512709.8820608333,533104.434496739,554980.1936054162,578406.009106569
Homa,454487.8681227964,463377.69074656354,472971.7782534683,483068.0642283547,493853.5797981862
FracturedHalo,467822.0242249046,479061.8649676564,490415.06115817884,501913.6289412108,513540.2133709626
LumidouceElegy,450092.48930301296,457394.4263315165,464696.3633600199,472035.70444931654,479506.6748656608
"Vortex (Shielded, Stacked)",497315.6654342333,515824.52543604537,534333.3854378576,552842.2454396699,571351.1054414819
"Vortex (Shielded, Unstacked)",485581.68452732766,501157.0493024133,516732.41407749907,532307.778852585,547883.1436276707
CalamityQueller (Stacked),469679.6418203551,485172.9987720272,500897.75571485097,517067.19336429506,533514.9535617804
CalamityQueller (Unstacked),462698.93112819374,476195.171908946,489970.509531172,503925.96249522193,518182.48653265147
"Vortex (Unshielded, Stacked)",460297.94543060893,469552.37543151504,478806.8054324211,488061.2354333271,497315.6654342333
"Vortex (Unshielded, Unstacked)",454430.9549771561,462218.63736469904,470006.31975224183,477794.0021397846,485581.68452732766
StaffOfTheScarletSands,417342.0552785574,417342.0552785574,417342.0552785574,417342.0552785574,417342.0552785574
SkywardSpine,381295.88844481815,386513.76034727454,391792.39145997947,396943.93875129713,402438.5517689294
EngulfingLightning,375255.82101990905,386145.5638711061,398029.3413797862,410859.32508834027,424845.7295442922
SacrificersStaff,374230.9107372482,376109.6412350946,377988.371732941,379867.1022307874,381745.83272863383
Lithic (4 Stacks),449554.47411857866,467664.6870669056,486141.90984966094,504987.281489917,524201.94101074664
Lithic (3 Stacks),428778.9548399466,442466.75073107216,455272.26457637554,468123.07191749976,482028.40482427005
Lithic (2 Stacks),408649.68026715494,417976.0946608306,425729.06576007477,435379.0273435657,443166.64340933866
Lithic (1 Stacks),389780.6122850171,394190.4408100356,398131.37780588306,401992.4895253597,406528.205061637
Deathmatch (1 Opponent),409718.5926769817,419354.54792612966,429178.17699503136,439045.91563744907,449088.89807537606
Deathmatch (2+ Opponents),397195.9431281535,403456.1701831134,409718.5926769817,416121.4431435664,422629.0909490969
Blackcliff (3 Stacks),432341.67683579377,447687.6480294299,463368.69225805154,479308.4187637009,495493.5434882658
Blackcliff (2 Stacks),412246.3271802648,422235.88054188195,432341.67683579377,442563.46825947607,452914.6627723038
Blackcliff (1 Stacks),392628.6138057166,397507.2714554926,402385.92910526856,407264.5867550445,412246.3271802648
Blackcliff (0 Stacks),373488.53671214916,373488.53671214916,373488.53671214916,373488.53671214916,373488.53671214916
MissiveWindspear (On),392650.9321432653,397518.97917373205,402387.0262041986,407283.558374854,412267.7244363533
MissiveWindspear (Off),373511.7761311581,373511.7761311581,373511.7761311581,373511.7761311581,373511.7761311581
WavebreakersFin,366984.50381438923,366984.50381438923,366984.50381438923,366984.50381438923,366984.50381438923
FavoniusLance,328001.28566207044,328001.28566207044,328001.28566207044,328001.28566207044,328001.28566207044
PrototypeStarglitter,311299.7792435966,311299.7792435966,311299.7792435966,311299.7792435966,311299.7792435966
WhiteTassel,324727.72000115906,324727.72000115906,324727.72000115906,324727.72000115906,324727.72000115906
