Weapon,R1,R2,R3,R4,R5
PJWS,518654.73542962316,529579.5689953355,540628.0455210612,551833.0537481246,563312.5059946625
Homa (50%),550741.523046817,570810.5972246565,592337.9281687001,615392.3655986511,640042.759234213
Homa,509243.30336314335,518761.4877974832,528801.1268455219,539546.6545926518,550873.0816647973
FracturedHalo,523414.29105601937,535263.8022811097,547279.8241447024,559402.7236090222,571677.472512895
LumidouceElegy,504116.03321259783,511756.0370167828,519496.6371955225,527305.6743875484,535261.2771214286
"Vortex (Shielded, Stacked)",551086.1885422621,569595.0485440741,588103.9085458865,606612.7685476987,625121.6285495107
"Vortex (Shielded, Unstacked)",539352.2076353563,554927.572410442,570502.937185528,586078.3019606138,601653.6667356994
CalamityQueller (Stacked),530923.1906396826,547667.5793295812,564906.4976006004,582394.0767531053,600130.3167870962
CalamityQueller (Unstacked),523509.9351681254,538265.713503025,553210.7438179062,568553.1856926307,584092.7932454221
"Vortex (Unshielded, Stacked)",514068.46853863774,523322.89853954385,532577.3285404497,541831.7585413558,551086.1885422621
"Vortex (Unshielded, Unstacked)",508201.47808518494,515989.16047272785,523776.8428602706,531564.5252478134,539352.2076353563
StaffOfTheScarletSands,468492.7129349624,468492.7129349624,468492.7129349624,468492.7129349624,468492.7129349624
SkywardSpine,433505.9321639109,438459.7299088349,444705.5075645308,449679.96912473155,456080.24839094444
EngulfingLightning,425252.6453497566,436831.42088440096,449430.5090326524,463144.14363308786,477818.4011421185
SacrificersStaff,423824.5368622301,425799.01007528644,427785.3892313815,429808.0404479282,431830.6916644749
Lithic (4 Stacks),502903.0477861045,522033.71845837263,541536.0667524867,561478.6089613783,581792.8950502557
Lithic (3 Stacks),481089.83877308405,495343.3230379914,508689.726455086,521999.2424135311,537391.6216161912
Lithic (2 Stacks),459043.5167001393,469433.012289194,477119.1640979563,487924.9881936137,495555.2859505107
Lithic (1 Stacks),439278.89476213895,444230.9191079704,448607.8012326726,451901.3330397778,457030.41409521695
Deathmatch (1 Opponent),457560.7676360169,467823.10344296874,478112.5220390818,488594.2112150588,499115.4132044415
Deathmatch (2+ Opponents),444155.4716205314,450850.793245816,457560.7676360169,464402.3248406516,471243.88204528624
Blackcliff (3 Stacks),482935.2599212426,499191.20857384073,515692.55544535414,532439.3005357834,549513.7731367963
Blackcliff (2 Stacks),461697.6947446862,472248.9923734297,482935.2599212426,493731.9557689017,504650.4613787796
Blackcliff (1 Stacks),440937.7658491107,446048.661560952,451243.66525893856,456470.6800018126,461697.6947446862
Blackcliff (0 Stacks),420655.473234516,420655.473234516,420655.473234516,420655.473234516,420655.473234516
MissiveWindspear (On),440596.452432749,445580.61849424813,450564.7845557474,455548.9506172466,460533.11667874607
MissiveWindspear (Off),420659.7881867519,420659.7881867519,420659.7881867519,420659.7881867519,420659.7881867519
WavebreakersFin,416692.4261741986,416692.4261741986,416692.4261741986,416692.4261741986,416692.4261741986
FavoniusLance,373520.9737144626,373520.9737144626,373520.9737144626,373520.9737144626,373520.9737144626
PrototypeStarglitter,354414.29861291754,354414.29861291754,354414.29861291754,354414.29861291754,354414.29861291754
WhiteTassel,365840.4972538872,365840.4972538872,365840.4972538872,365840.4972538872,365840.4972538872
