Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),1054238.7764598762,1081877.816241848,1110134.317031763,1138777.8345394442,1167927.4454107387
PJWS,1015302.5093703561,1033308.0263983076,1051495.8346759467,1069912.8838212022,1088713.4495511246
Homa (50%),1069828.2152511778,1101826.4085904104,1136058.262400677,1172614.7433408191,1211586.8180696778
Homa,1003273.049895756,1018485.0921827012,1034704.7924528241,1051813.1129010518,1070039.9231401675
"Vortex (Shielded, Stacked)",1069419.4290554135,1099071.812754953,1128724.1964544924,1158376.5801540322,1188028.9638535716
"Vortex (Shielded, Unstacked)",1052581.8005578034,1078024.7771329405,1103467.7537080771,1128910.7302832145,1154353.7068583514
CalamityQueller (Stacked),1032217.8175616601,1059524.8592515734,1087407.8214523548,1115723.9227031844,1144382.513255037
CalamityQueller (Unstacked),1021651.685584747,1046154.5853748373,1070928.396933125,1096219.0415381917,1121826.6003780416
"Vortex (Unshielded, Stacked)",1010114.6616563345,1024940.8535061042,1039767.045355874,1054593.2372056437,1069419.4290554135
"Vortex (Unshielded, Unstacked)",1001695.8474075295,1014417.3356950979,1027138.8239826665,1039860.3122702349,1052581.8005578034
StaffOfTheScarletSands,932300.578617984,932300.578617984,932300.578617984,932300.578617984,932300.578617984
SkywardSpine,967214.0139554531,974971.0081647908,986616.5975898128,994014.0141581331,1006406.2072612515
EngulfingLightning,953341.3384240323,973156.9507547381,994530.8730778224,1017759.2688442947,1042707.9561620958
Lithic (4 Stacks),996748.7862809686,1027965.4760195852,1059687.815093164,1091397.6677558103,1123459.691980313
Lithic (3 Stacks),961968.0788220308,984734.9428821965,1004489.5427119246,1029080.7395021054,1053818.533431502
Lithic (2 Stacks),926478.4660245508,942466.6650671491,956108.4105629995,972721.0994834244,986202.7917222949
Lithic (1 Stacks),891529.7942426795,901157.4150216694,909045.6182363357,914831.607577109,920632.9523495332
Deathmatch (1 Opponent),925863.3905054718,942706.8798685141,959816.0791297704,976957.6869503008,994381.8980483037
Deathmatch (2+ Opponents),903554.0794457772,914634.3975967772,925863.3905054718,937092.3834141669,948388.3405827505
Blackcliff (3 Stacks),968344.2439271274,994642.4726183338,1021385.7769394673,1048453.3099743327,1075672.0618275537
Blackcliff (2 Stacks),933772.7741973329,950998.0856041329,968344.2439271274,985876.3963879315,1003546.783424658
Blackcliff (1 Stacks),899832.3742352757,908291.6094116728,916750.8445880703,925210.0797644677,933772.7741973329
Blackcliff (0 Stacks),866523.0440409546,866523.0440409546,866523.0440409546,866523.0440409546,866523.0440409546
MissiveWindspear (On),897658.0568869875,905643.0113608625,913627.9658347378,921612.9203086132,929597.8747824882
MissiveWindspear (Off),865718.2389914867,865718.2389914867,865718.2389914867,865718.2389914867,865718.2389914867
WavebreakersFin,852212.8779603987,852212.8779603987,852212.8779603987,852212.8779603987,852212.8779603987
FavoniusLance,865193.61461067,865193.61461067,865193.61461067,865193.61461067,865193.61461067
PrototypeStarglitter,833342.0185608862,833342.0185608862,833342.0185608862,833342.0185608862,833342.0185608862
WhiteTassel,785759.4167514385,785759.4167514385,785759.4167514385,785759.4167514385,785759.4167514385
