Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),796971.3117935999,819675.6289350237,842686.8529107391,866170.3760167263,890088.7691106385
PJWS,768834.7924686514,784294.8337209575,800156.5555216427,816183.5061316879,832397.7107921921
Homa (50%),811347.7108722379,839294.3374375891,869262.3689366792,901342.7720283496,935626.5133714407
Homa,753400.1192815116,766563.4722029081,780727.2311803747,795639.9552040488,811533.2201349225
"Vortex (Shielded, Stacked)",817500.4532678132,846013.3729042961,875048.3789434902,904558.5414969792,934210.9251965187
"Vortex (Shielded, Unstacked)",801475.7715163155,825682.9011443909,850221.8745143396,875166.7754441594,900535.6682012985
CalamityQueller (Stacked),783642.9163583873,806362.852618695,829379.5403859136,852906.3693577029,876854.8217605946
CalamityQueller (Unstacked),774328.7100695163,794378.6324539848,814823.3519077792,835506.4481083229,856596.6204477681
"Vortex (Unshielded, Stacked)",761995.3747953648,775682.1025820781,789510.3357744417,803481.9295769195,817500.4532678132
"Vortex (Unshielded, Unstacked)",754149.8116362457,765875.1486331793,777600.4856301127,789501.3966967234,801475.7715163155
StaffOfTheScarletSands,672645.2303105398,672645.2303105398,672645.2303105398,672645.2303105398,672645.2303105398
SkywardSpine,727009.6641160347,732363.2717178876,743793.517493265,749144.3678429178,760826.6026385282
EngulfingLightning,710093.8361034074,727201.1570765296,745774.6467622458,765940.5747112362,787610.4802295686
Lithic (4 Stacks),743587.2773099827,770455.8638633166,797819.189802059,825276.9910584285,853106.6460914109
Lithic (3 Stacks),712608.761655349,733102.6689077368,751091.2488717316,769547.8255033145,791735.3371645098
Lithic (2 Stacks),681276.3931550336,696697.0538467093,706650.0491724431,722618.060505491,732482.0701650151
Lithic (1 Stacks),653697.422153832,661235.791127461,666988.1531130028,671171.4568946697,678697.4937739108
Deathmatch (1 Opponent),663184.8514937152,677558.9542729052,692017.4959760406,706706.6105919761,721463.2707525999
Deathmatch (2+ Opponents),644304.2871661858,653744.5693299506,663184.8514937152,672739.4403718599,682378.4681739501
Blackcliff (3 Stacks),714123.9027226425,736788.0212216472,759864.4188458036,783313.0276395474,807085.865147023
Blackcliff (2 Stacks),684398.7214499888,699169.3044247502,714123.9027226425,729201.3267514082,744480.1537630325
Blackcliff (1 Stacks),655304.6099450717,662536.4809054498,669768.3518658282,677013.4299626084,684398.7214499888
Blackcliff (0 Stacks),626841.5682078914,626841.5682078914,626841.5682078914,626841.5682078914,626841.5682078914
MissiveWindspear (On),655333.2221998465,662551.0740387095,669768.9258775725,677054.8443738425,684426.116739708
MissiveWindspear (Off),626871.3974277214,626871.3974277214,626871.3974277214,626871.3974277214,626871.3974277214
WavebreakersFin,623868.3668626591,623868.3668626591,623868.3668626591,623868.3668626591,623868.3668626591
FavoniusLance,630514.9127379747,630514.9127379747,630514.9127379747,630514.9127379747,630514.9127379747
PrototypeStarglitter,598579.9083710093,598579.9083710093,598579.9083710093,598579.9083710093,598579.9083710093
WhiteTassel,547429.7595307424,547429.7595307424,547429.7595307424,547429.7595307424,547429.7595307424
