Weapon,R1,R2,R3,R4,R5
PJWS,942189.2013462677,960035.4251939469,978043.6814148518,996480.6756862216,1015106.4836409192
Homa (50%),996110.4336030269,1029949.8537986714,1066253.8807198035,1105077.3050166052,1146528.6013673919
Homa,926033.704449037,942064.8074370307,959074.090543061,977227.8832683912,996336.1675904813
LumidouceElegy,917270.0667236196,930429.3883564292,943697.1022716523,957131.0422354254,970564.9821991986
"Vortex (Shielded, Stacked)",1001641.7464089713,1034292.4145015106,1066943.08259405,1099593.7506865899,1132244.4187791294
"Vortex (Shielded, Unstacked)",982037.8051761152,1009787.4879604406,1037537.1707447661,1065286.853529092,1093036.5363134174
CalamityQueller (Stacked),961559.0070884669,988092.8767288341,1015192.764351873,1042618.7082777623,1070746.8021539503
CalamityQueller (Unstacked),949775.2646579891,973041.7060837665,996716.7823661398,1020812.838184976,1045163.3623706354
"Vortex (Unshielded, Stacked)",936340.4102238922,952665.7442701616,968991.0783164314,985316.4123627013,1001641.7464089713
"Vortex (Unshielded, Unstacked)",926538.4396074641,940413.2809996267,954288.1223917895,968162.9637839523,982037.8051761152
StaffOfTheScarletSands,854668.5300169828,854668.5300169828,854668.5300169828,854668.5300169828,854668.5300169828
SkywardSpine,895030.4618619893,901777.3522236834,915307.4514758317,922017.8527590084,935963.1365267334
EngulfingLightning,873556.2823832658,894162.8206531422,916713.9707602944,940986.1872848511,967179.7344329966
Lithic (4 Stacks),913535.4449255391,945990.4564368466,979032.2066142665,1012662.4884441765,1046926.1699751846
Lithic (3 Stacks),876968.5136359642,900770.4289343769,922684.8318132693,944655.1155442063,972139.9031071025
Lithic (2 Stacks),837864.0488617434,856676.9052576635,868604.7709736316,888115.8966486931,899918.3514562575
Lithic (1 Stacks),804856.6564099642,813850.3350572125,821746.0653753246,825812.4504495993,835103.4198481947
Deathmatch (1 Opponent),832232.7261212094,849484.8309336272,866997.7801081163,884595.4718034605,902473.591117575
Deathmatch (2+ Opponents),809449.4411098477,820731.3229129305,832232.7261212094,843734.1293294879,855265.9856445539
Blackcliff (3 Stacks),876989.7581499168,904514.649222956,932436.3068048457,960744.5962128468,989439.5174469592
Blackcliff (2 Stacks),841022.1634737331,858995.5937123867,876989.7581499168,895339.685531943,913720.4817955847
Blackcliff (1 Stacks),805817.2329336347,814594.9652823983,823404.0313461765,832213.0974099548,841022.1634737331
Blackcliff (0 Stacks),771364.8318468821,771364.8318468821,771364.8318468821,771364.8318468821,771364.8318468821
MissiveWindspear (On),805839.5925045337,814631.9412378528,823424.2899711718,832216.6387044908,841008.9874378099
MissiveWindspear (Off),771367.9084087649,771367.9084087649,771367.9084087649,771367.9084087649,771367.9084087649
WavebreakersFin,769283.0438681294,769283.0438681294,769283.0438681294,769283.0438681294,769283.0438681294
FavoniusLance,776677.3557664746,776677.3557664746,776677.3557664746,776677.3557664746,776677.3557664746
PrototypeStarglitter,737106.5709276352,737106.5709276352,737106.5709276352,737106.5709276352,737106.5709276352
WhiteTassel,673610.1502213225,673610.1502213225,673610.1502213225,673610.1502213225,673610.1502213225
