Weapon,R1,R2,R3,R4,R5
PJWS,1050440.3188282663,1069545.2097611642,1088812.1330672873,1108504.696109037,1128416.0406933122
Homa (50%),1113866.2431342807,1151653.5985810445,1192199.3930195067,1235557.7103098005,1281849.5541546992
Homa,1035597.549327448,1053499.717881875,1072501.1485915775,1092773.311899092,1114118.3127729164
LumidouceElegy,1025926.7549084818,1040623.6808360766,1055449.8494601492,1070453.1608248597,1085456.4721895708
"Vortex (Shielded, Stacked)",1120027.5115146842,1156489.4213700455,1192951.3312254064,1229413.241080768,1265875.1509361288
"Vortex (Shielded, Unstacked)",1096559.4693843734,1127154.368707157,1157749.26802994,1188344.167352724,1218939.0666755072
CalamityQueller (Stacked),1071319.778401981,1099833.3101939356,1128930.9841912591,1158354.7144914335,1188529.8581959906
CalamityQueller (Unstacked),1057336.4894881702,1082007.9313506149,1107087.4058688974,1132619.9820059137,1158407.0265097532
"Vortex (Unshielded, Stacked)",1047103.6918039621,1065334.646731642,1083565.6016593229,1101796.5565870034,1120027.5115146842
"Vortex (Unshielded, Unstacked)",1035369.6707388066,1050667.1204001978,1065964.5700615896,1081262.0197229814,1096559.4693843734
StaffOfTheScarletSands,956150.8244708655,956150.8244708655,956150.8244708655,956150.8244708655,956150.8244708655
SkywardSpine,1001068.8431133742,1008542.8160357008,1023717.4454810441,1031156.25948447,1046796.5374855197
EngulfingLightning,977233.7057580362,1000360.9112020303,1025698.8456270309,1052986.712023896,1082422.795885683
Lithic (4 Stacks),1021583.5641274991,1057836.643732468,1094744.5948060038,1132309.4252700375,1170574.139428513
Lithic (3 Stacks),980784.9338788667,1007328.7332410319,1031771.2335458035,1056280.2292210967,1087119.2180252804
Lithic (2 Stacks),937001.528768165,958077.8936618415,971338.6911871139,993190.330121143,1006315.1808686937
Lithic (1 Stacks),900161.5244238784,910234.0819365332,919089.9877550751,923543.3664555489,933948.8758355619
Deathmatch (1 Opponent),930697.303634431,949964.1312563093,969528.5428263796,989180.9257090804,1009152.7406714191
Deathmatch (2+ Opponents),905246.5380029429,917852.7518865119,930697.303634431,943541.8553823499,956426.954237913
Blackcliff (3 Stacks),980677.1135747671,1011413.5183059961,1042598.6524134264,1074215.075032573,1106262.7861634349
Blackcliff (2 Stacks),940499.80685735,960576.8956976057,980677.1135747671,1001168.0500622533,1021699.5564511308
Blackcliff (1 Stacks),901179.3889909447,910987.8805505515,920825.1893194843,930662.4980884172,940499.80685735
Blackcliff (0 Stacks),862698.419111065,862698.419111065,862698.419111065,862698.419111065,862698.419111065
MissiveWindspear (On),901209.9322143525,911028.5927704726,920847.2533265923,930665.9138827118,940484.5744388319
MissiveWindspear (Off),862707.4521025198,862707.4521025198,862707.4521025198,862707.4521025198,862707.4521025198
WavebreakersFin,860528.1624189779,860528.1624189779,860528.1624189779,860528.1624189779,860528.1624189779
FavoniusLance,868709.96752349,868709.96752349,868709.96752349,868709.96752349,868709.96752349
PrototypeStarglitter,824432.7597911238,824432.7597911238,824432.7597911238,824432.7597911238,824432.7597911238
WhiteTassel,753363.3872027167,753363.3872027167,753363.3872027167,753363.3872027167,753363.3872027167
