Weapon,R1,R2,R3,R4,R5
PJWS,1526534.6560106932,1548945.586983449,1571546.4460151943,1594337.2331059286,1617317.9482556528
Homa (50%),1614293.4614997958,1654706.5789397163,1697303.8184207245,1742085.1799428223,1789050.6635060087
Homa,1528276.5069324821,1548210.050397306,1569235.654882674,1591353.3203885865,1614563.0469150434
LumidouceElegy,1517637.6696277445,1534023.834782003,1550409.99993626,1566796.165090518,1583182.3302447756
"Vortex (Shielded, Stacked)",1556289.4163076235,1591261.4696891755,1626233.523070728,1661205.5764522804,1696177.6298338328
"Vortex (Shielded, Unstacked)",1534852.0174506595,1564464.7211179703,1594077.4247852818,1623690.1284525935,1653302.832119905
CalamityQueller (Stacked),1524374.106251084,1557433.589512475,1590838.8266919295,1624589.8177894477,1658686.562805028
CalamityQueller (Unstacked),1510752.1543836545,1540220.3634639117,1569960.0119765222,1599971.0999214856,1630253.6272988005
"Vortex (Unshielded, Stacked)",1486345.309544519,1503831.3362352948,1521317.362926071,1538803.389616847,1556289.4163076235
"Vortex (Unshielded, Unstacked)",1475626.610116037,1490432.9619496923,1505239.313783348,1520045.6656170036,1534852.0174506595
StaffOfTheScarletSands,1435498.725366896,1435498.725366896,1435498.725366896,1435498.725366896,1435498.725366896
SkywardSpine,1472670.4736367385,1480377.0462188968,1500327.3095702599,1506995.7529001865,1528044.0452495487
EngulfingLightning,1452361.622611453,1477722.1631443077,1504991.5723858336,1534169.8503360301,1565256.9969948977
Lithic (4 Stacks),1490189.9416151796,1534700.8473859762,1579849.0837858445,1625636.5382832985,1672065.0983468501
Lithic (3 Stacks),1442441.6030861475,1475977.1306684848,1504858.496177534,1533467.365022834,1572328.8433312378
Lithic (2 Stacks),1390679.4005446783,1418458.3854876966,1432687.5198810312,1461764.3197217903,1475299.180593077
Lithic (1 Stacks),1348421.5510827631,1362140.8369065865,1372820.2728854725,1376950.1804985125,1390350.785597687
Deathmatch (1 Opponent),1445665.6386213868,1466649.0524197281,1487632.4662180687,1508615.88001641,1529599.2938147509
Deathmatch (2+ Opponents),1417687.7535569323,1431676.69608916,1445665.6386213868,1459654.5811536144,1473643.5236858418
Blackcliff (3 Stacks),1479183.9984988538,1511515.155784478,1543846.3130701024,1576177.470355727,1608508.6276413514
Blackcliff (2 Stacks),1436075.7887846874,1457629.8936417706,1479183.9984988538,1500738.1033559367,1522292.2082130199
Blackcliff (1 Stacks),1392967.5790705218,1403744.6314990637,1414521.6839276054,1425298.7363561462,1436075.7887846874
Blackcliff (0 Stacks),1349859.3693563563,1349859.3693563563,1349859.3693563563,1349859.3693563563,1349859.3693563563
MissiveWindspear (On),1346358.392235034,1355775.8561711276,1365193.320107221,1374610.7840433146,1384028.2479794086
MissiveWindspear (Off),1308688.5364906583,1308688.5364906583,1308688.5364906583,1308688.5364906583,1308688.5364906583
WavebreakersFin,1299649.7935935697,1299649.7935935697,1299649.7935935697,1299649.7935935697,1299649.7935935697
FavoniusLance,1339042.7051738556,1339042.7051738556,1339042.7051738556,1339042.7051738556,1339042.7051738556
PrototypeStarglitter,1299435.7439736477,1299435.7439736477,1299435.7439736477,1299435.7439736477,1299435.7439736477
WhiteTassel,1244186.4455992607,1244186.4455992607,1244186.4455992607,1244186.4455992607,1244186.4455992607
