Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),495176.7017097072,510694.62712254346,526437.140766205,542577.8486537702,558998.9833875644
PJWS,475864.2273649485,486406.8773284845,497201.4225158262,508117.0558583191,519231.9653784299
Homa (50%),504027.5473345945,522581.5455263099,542499.0798024889,563844.6109585243,586682.5997898089
Homa,465627.4845474663,474342.5785373767,483725.26426644484,493595.2827311718,504150.50207530556
"Vortex (Shielded, Stacked)",508114.699869002,527025.4732437488,545936.2466184956,564847.0199932425,583757.7933679892
"Vortex (Shielded, Unstacked)",497766.1663128699,513917.1763586454,530206.2903563716,546495.4043540976,562784.5183518238
CalamityQueller (Stacked),484292.5404505564,499740.95224179246,515415.331560736,531536.1238108674,547905.7162503711
CalamityQueller (Unstacked),478201.8820322868,491963.6853841577,505947.91604797204,520113.2158116262,534656.422952189
"Vortex (Unshielded, Stacked)",471321.18282056565,480372.845985704,489549.5886360118,498803.11356226774,508114.699869002
"Vortex (Unshielded, Unstacked)",466274.0293989533,474063.90420868853,481853.77901842375,489798.95040857076,497766.1663128699
StaffOfTheScarletSands,411547.31564302294,411547.31564302294,411547.31564302294,411547.31564302294,411547.31564302294
SkywardSpine,446643.5074041373,450917.3259778191,457700.4131262003,461944.25868107146,468887.47793344443
EngulfingLightning,437038.5089752456,448370.58203786425,460658.3239824954,474043.8589256112,488438.6842129287
Lithic (4 Stacks),459974.81147401704,477734.97877773934,495842.6396472987,514053.53283537505,532535.25691927
Lithic (3 Stacks),439309.5933154278,453041.4449780324,465281.1955216697,477523.4923810355,491658.51080279297
Lithic (2 Stacks),419246.6135192929,429015.05215598247,436002.654400964,446108.07848204765,453097.37117038824
Lithic (1 Stacks),401017.3468686407,405653.52226544474,409217.52871155,412726.4183975655,417475.60141262825
Deathmatch (1 Opponent),408063.4525513361,417544.22948827525,427107.7667988469,436811.5857505162,446586.2038321261
Deathmatch (2+ Opponents),395593.5104986246,401828.48152498034,408063.4525513361,414356.3837180848,420732.0752584657
Blackcliff (3 Stacks),441828.97508489393,456839.57605062454,472146.56515476253,487713.0716469944,503509.33309607196
Blackcliff (2 Stacks),422163.2330877334,431933.02506428544,441828.97508489393,451816.20077454933,461941.90575200395
Blackcliff (1 Stacks),402944.6797605222,407720.8588922465,412497.0380239706,417278.33709945745,422163.2330877334
Blackcliff (0 Stacks),384173.31510326057,384173.31510326057,384173.31510326057,384173.31510326057,384173.31510326057
MissiveWindspear (On),402964.4976767372,407730.7425783258,412496.9874799147,417307.2268800087,422182.1886381493
MissiveWindspear (Off),384193.9953852744,384193.9953852744,384193.9953852744,384193.9953852744,384193.9953852744
WavebreakersFin,379957.9431571515,379957.9431571515,379957.9431571515,379957.9431571515,379957.9431571515
FavoniusLance,385455.2410336271,385455.2410336271,385455.2410336271,385455.2410336271,385455.2410336271
PrototypeStarglitter,365567.42768452875,365567.42768452875,365567.42768452875,365567.42768452875,365567.42768452875
WhiteTassel,334097.3198156847,334097.3198156847,334097.3198156847,334097.3198156847,334097.3198156847
