Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),551564.2909709931,568210.7419329389,585232.4242836714,602575.4006670432,620213.739524101
PJWS,529705.1532692607,540903.4832437424,552228.5932901853,563729.9738833146,575489.8128495637
Homa (50%),557821.0652140285,577337.2092438509,598259.8632217319,620653.4879430647,644582.5442032425
Homa,517394.5803405651,526668.8727132939,536465.2493635494,546906.9758260465,557949.3242036067
"Vortex (Shielded, Stacked)",561245.1816312054,580155.9550059519,599066.7283806988,617977.5017554456,636888.2751301924
"Vortex (Shielded, Unstacked)",550758.5441231225,567047.6581208486,583336.7721185747,599625.8861163008,615915.000114027
CalamityQueller (Stacked),542413.0253477804,559037.4056937525,576089.1623529363,593427.7947085882,611098.2666340773
CalamityQueller (Unstacked),536028.6736394727,550940.1730781922,566041.6148044191,581534.3069970539,597225.3688384554
"Vortex (Unshielded, Stacked)",523423.6348817116,532879.0215690852,542334.4082564585,551789.7949438319,561245.1816312054
"Vortex (Unshielded, Unstacked)",518180.3161276703,526324.8731265335,534469.4301253965,542613.9871242595,550758.5441231225
StaffOfTheScarletSands,461291.01019620796,461291.01019620796,461291.01019620796,461291.01019620796,461291.01019620796
SkywardSpine,499312.1393410473,503255.57890447456,511041.1655829734,514832.06529546337,522864.9507155221
EngulfingLightning,487301.7454748468,499273.28834842565,512247.6408308609,526277.3925296761,541479.0895443849
Lithic (4 Stacks),510381.23003496724,529049.8547265048,548102.4364195333,567270.0782322964,586704.8065581992
Lithic (3 Stacks),488795.71020001546,503038.8226280577,515689.85860781657,528460.9990842956,543936.9783390703
Lithic (2 Stacks),466994.31433200487,477730.85921115085,484649.6199680009,495795.8473689024,502669.680366475
Lithic (1 Stacks),447916.3852017751,453090.97407388315,457056.6721201769,459982.68484757096,465266.5659660951
Deathmatch (1 Opponent),454055.50146056723,464041.2003132151,474124.3986675399,484321.17829122586,494627.41866028076
Deathmatch (2+ Opponents),440937.13909376936,447453.55114817584,454055.50146056723,460712.6340289991,467369.7665974311
Blackcliff (3 Stacks),489590.4409994817,505403.24028675567,521445.79453087546,537731.2353439789,554329.6951145998
Blackcliff (2 Stacks),468905.06696767476,479168.34788361966,489590.4409994817,500083.47687227285,510723.00370123837
Blackcliff (1 Stacks),448666.88160581683,453660.49445064424,458700.4075649159,463802.7372662953,468905.06696767476
Blackcliff (0 Stacks),428875.8849139082,428875.8849139082,428875.8849139082,428875.8849139082,428875.8849139082
MissiveWindspear (On),448673.52938074595,453657.20799543813,458726.0614343168,463818.4569055607,468910.8523768047
MissiveWindspear (Off),428883.39505463664,428883.39505463664,428883.39505463664,428883.39505463664,428883.39505463664
WavebreakersFin,427273.21368936513,427273.21368936513,427273.21368936513,427273.21368936513,427273.21368936513
FavoniusLance,431737.08496775094,431737.08496775094,431737.08496775094,431737.08496775094,431737.08496775094
PrototypeStarglitter,409222.6997383708,409222.6997383708,409222.6997383708,409222.6997383708,409222.6997383708
WhiteTassel,373069.0511227936,373069.0511227936,373069.0511227936,373069.0511227936,373069.0511227936
