Weapon,R1,R2,R3,R4,R5
PJWS,1137620.5326736462,1155991.6989534565,1174516.8563753231,1193196.0049392465,1212029.1446452271
Homa (50%),1220997.015912958,1257253.8836431424,1295470.249401858,1335646.1131891052,1377781.475004884
Homa,1143826.3955336523,1161709.8921451778,1180573.1377709692,1200416.1324110264,1221238.876065349
FracturedHalo,1170451.9365846533,1192542.4459232648,1214632.9552618763,1236723.464600488,1258813.9739390993
LumidouceElegy,1140376.9686225145,1155143.6088247246,1169910.2490269348,1184676.889229145,1199443.529431355
"Vortex (Shielded, Stacked)",1157243.5427953468,1187418.8908123411,1217594.2388293357,1247769.5868463304,1277944.934863325
"Vortex (Shielded, Unstacked)",1137443.3548626343,1162668.6558964504,1187893.9569302672,1213119.2579640837,1238344.5589979
CalamityQueller (Stacked),1122720.113027901,1149482.882101827,1176531.5351866928,1203866.0722824973,1231486.4933892419
CalamityQueller (Unstacked),1110107.0564145597,1133536.7427719783,1157180.3857150672,1181037.9852438262,1205109.5413582553
"Vortex (Unshielded, Stacked)",1096892.8467613575,1111980.5207698545,1127068.194778352,1142155.8687868493,1157243.5427953468
"Vortex (Unshielded, Unstacked)",1086992.7527950013,1099605.4033119092,1112218.0538288176,1124830.704345726,1137443.3548626343
StaffOfTheScarletSands,1101877.681441995,1101877.681441995,1101877.681441995,1101877.681441995,1101877.681441995
SkywardSpine,973289.358902193,984500.4755080894,997981.9937704441,1008834.2606420051,1022728.1629659899
EngulfingLightning,950562.3129061572,970054.6519549412,990974.9377889298,1013323.170408124,1037099.3498125232
SacrificersStaff,963368.0334948897,966952.8096737142,970537.5858525389,974122.3620313635,977707.138210188
Lithic (4 Stacks),1104700.7469378992,1144851.9017331125,1185681.0793476624,1227190.2833400771,1269381.5172688863
Lithic (3 Stacks),1063403.6676881348,1092250.695808364,1120956.061122476,1150093.9060456601,1184235.2377719146
Lithic (2 Stacks),1020917.642846245,1040941.6015560117,1059072.9232683945,1079800.6446788292,1097835.3426389091
Lithic (1 Stacks),981223.9392243731,990920.6118589959,1000657.6412617469,1008939.3461809203,1018688.9085013842
Deathmatch (1 Opponent),1075063.458009274,1094036.0302598476,1113008.602510422,1131981.1747609961,1150953.7470115696
Deathmatch (2+ Opponents),1049766.6950085089,1062415.0765088918,1075063.458009274,1087711.8395096567,1100360.2210100396
Blackcliff (3 Stacks),1099388.5281893546,1128232.0649836923,1157075.60177803,1185919.1385723676,1214762.6753667055
Blackcliff (2 Stacks),1060930.4791302376,1080159.5036597962,1099388.5281893546,1118617.5527189132,1137846.5772484716
Blackcliff (1 Stacks),1022472.4300711205,1032086.9423358995,1041701.4546006792,1051315.9668654583,1060930.4791302376
Blackcliff (0 Stacks),984014.3810120034,984014.3810120034,984014.3810120034,984014.3810120034,984014.3810120034
MissiveWindspear (On),976151.0169548729,984276.7980924203,992402.579229968,1000528.3603675154,1008654.1415050632
MissiveWindspear (Off),943647.8924046827,943647.8924046827,943647.8924046827,943647.8924046827,943647.8924046827
WavebreakersFin,935798.6826879551,935798.6826879551,935798.6826879551,935798.6826879551,935798.6826879551
FavoniusLance,862641.0987125678,862641.0987125678,862641.0987125678,862641.0987125678,862641.0987125678
PrototypeStarglitter,831647.542392152,831647.542392152,831647.542392152,831647.542392152,831647.542392152
WhiteTassel,890004.104995324,890004.104995324,890004.104995324,890004.104995324,890004.104995324
