Weapon,R1,R2,R3,R4,R5
PJWS,670078.9012643856,682068.0594216327,694168.7562812082,706380.9918431119,718704.7661073438
Homa (50%),727022.0456778525,750529.2270918074,775306.8512803494,801354.9182434786,828673.4279811954
Homa,676988.3862182522,688583.1715784064,700813.178325854,713678.4064605953,727178.8559826303
LumidouceElegy,673213.9597843876,682768.5677512242,692323.1757180601,701877.7836848962,711432.3916517323
"Vortex (Shielded, Stacked)",683023.5030777203,702185.9563773045,721348.409676889,740510.8629764733,759673.3162760574
"Vortex (Shielded, Unstacked)",671044.5088348956,687212.2135737735,703379.9183126518,719547.6230515299,735715.3277904077
CalamityQueller (Stacked),656610.7999339316,673878.4682654912,691350.2644021127,709026.1883437969,726906.2400905429
CalamityQueller (Unstacked),648916.1224259294,664131.7267616735,679500.1010549535,695021.2453057698,710695.1595141224
"Vortex (Unshielded, Stacked)",644698.5964785516,654279.8231283439,663861.049778136,673442.2764279284,683023.5030777203
"Vortex (Unshielded, Unstacked)",638709.0993571392,646792.9517265784,654876.8040960174,662960.6564654566,671044.5088348956
StaffOfTheScarletSands,652945.9815196536,652945.9815196536,652945.9815196536,652945.9815196536,652945.9815196536
SkywardSpine,562272.5626640511,570022.061042605,577873.1020318683,585724.1430211317,593575.1840103953
EngulfingLightning,551862.5468644492,564281.7849522848,577615.2557401541,591862.9592280568,607024.8954159939
Lithic (4 Stacks),650759.9268789784,676606.0130882679,703548.8030825874,730980.5997913189,758902.8611501966
Lithic (3 Stacks),623873.2079355628,642812.3704109355,661994.4795308143,681708.4842368562,701930.0297993134
Lithic (2 Stacks),598009.1163871518,609992.6985687304,622319.6878408132,634864.8139428928,647517.9163314201
Lithic (1 Stacks),572753.8102519645,578603.2086811182,584478.4966851148,590379.6742639542,596306.7414176366
Deathmatch (1 Opponent),639191.1637509114,651499.819775014,663808.4757991165,676117.1318232192,688425.7878473217
Deathmatch (2+ Opponents),622779.6223854411,630985.3930681762,639191.1637509114,647396.9344336464,655602.7051163814
Blackcliff (3 Stacks),652396.6857238298,671026.0577494389,689655.429775048,708284.8018006571,726914.1738262662
Blackcliff (2 Stacks),627557.5230230179,639977.1043734238,652396.6857238298,664816.267074236,677235.8484246421
Blackcliff (1 Stacks),602718.3603222058,608928.1509974087,615137.9416726119,621347.7323478148,627557.5230230179
Blackcliff (0 Stacks),577879.1976213935,577879.1976213935,577879.1976213935,577879.1976213935,577879.1976213935
MissiveWindspear (On),571967.0955993951,577127.2648038465,582287.434008298,587447.6032127494,592607.7724172006
MissiveWindspear (Off),551326.4187815897,551326.4187815897,551326.4187815897,551326.4187815897,551326.4187815897
WavebreakersFin,541914.9530439524,541914.9530439524,541914.9530439524,541914.9530439524,541914.9530439524
FavoniusLance,497670.66741009796,497670.66741009796,497670.66741009796,497670.66741009796,497670.66741009796
PrototypeStarglitter,480202.08658023516,480202.08658023516,480202.08658023516,480202.08658023516,480202.08658023516
WhiteTassel,522034.4015920527,522034.4015920527,522034.4015920527,522034.4015920527,522034.4015920527
