Weapon,R1,R2,R3,R4,R5
PJWS,1485706.8877974646,1507147.9235544312,1528760.7705747066,1550545.428858293,1572501.8984051899
Homa (50%),1586931.1932883493,1627249.3424640778,1669746.4811325506,1714422.6092937677,1761277.7269477283
Homa,1501116.3731116424,1521003.0740129142,1541979.2696605576,1564044.9600545727,1587200.1451949598
FracturedHalo,1530724.350942697,1555289.3094358016,1579854.267928907,1604419.2264220116,1628984.184915116
LumidouceElegy,1497356.5560330753,1513772.3347295863,1530188.1134260967,1546603.8921226063,1563019.6708191165
"Vortex (Shielded, Stacked)",1481547.015800674,1515260.4344877666,1548973.853174859,1582687.2718619518,1616400.6905490442
"Vortex (Shielded, Unstacked)",1459662.3493311382,1487904.601400847,1516146.8534705553,1544389.1055402644,1572631.3576099728
CalamityQueller (Stacked),1447887.2163191014,1479016.4818312265,1510464.538041148,1542231.3849488664,1574317.0225543815
CalamityQueller (Unstacked),1433949.5371970902,1461396.4491615016,1489082.9783168253,1517009.1246630615,1545174.88820021
"Vortex (Unshielded, Stacked)",1414120.1784264888,1430976.887770035,1447833.597113581,1464690.306457127,1481547.015800674
"Vortex (Unshielded, Unstacked)",1403177.8451917209,1417298.971226575,1431420.0972614293,1445541.2232962833,1459662.3493311382
StaffOfTheScarletSands,1467451.63763124,1467451.63763124,1467451.63763124,1467451.63763124,1467451.63763124
SkywardSpine,1284475.03052601,1298689.7688293476,1316304.3244146323,1330053.4959270223,1348202.630509487
EngulfingLightning,1250678.3154561517,1272477.2125502299,1295875.315372756,1320872.623923731,1347469.1382031539
SacrificersStaff,1275180.680022525,1279181.7499428336,1283182.8198631424,1287183.8897834513,1291184.9597037602
Lithic (4 Stacks),1435324.5477808656,1484326.7579014904,1534078.3706919001,1584581.5718523075,1635838.5470829292
Lithic (3 Stacks),1386521.8125262181,1421440.3183502096,1456112.8095257524,1491718.2822588142,1534096.532372744
Lithic (2 Stacks),1335140.86570251,1359972.3268715586,1381879.4810193449,1407556.0889195532,1429284.4944028682
Lithic (1 Stacks),1287657.3150449554,1299918.4120651097,1312225.190483991,1321771.9149620759,1333659.5273780082
Deathmatch (1 Opponent),1429814.9862230546,1450909.4402507565,1472003.8942784576,1493098.348306159,1514192.8023338607
Deathmatch (2+ Opponents),1401689.0475194536,1415752.0168712544,1429814.9862230546,1443877.9555748564,1457940.9249266563
Blackcliff (3 Stacks),1445725.8506048184,1477821.6738541175,1509917.4971034168,1542013.3203527161,1574109.1436020152
Blackcliff (2 Stacks),1402931.4196057527,1424328.6351052858,1445725.8506048184,1467123.066104351,1488520.2816038844
Blackcliff (1 Stacks),1360136.9886066865,1370835.5963564531,1381534.2041062196,1392232.8118559858,1402931.4196057527
Blackcliff (0 Stacks),1317342.5576076212,1317342.5576076212,1317342.5576076212,1317342.5576076212,1317342.5576076212
MissiveWindspear (On),1279227.8277246114,1288306.3596936718,1297384.891662733,1306463.4236317934,1315541.955600854
MissiveWindspear (Off),1242913.699848368,1242913.699848368,1242913.699848368,1242913.699848368,1242913.699848368
WavebreakersFin,1234136.8679753714,1234136.8679753714,1234136.8679753714,1234136.8679753714,1234136.8679753714
FavoniusLance,1152405.1800440964,1152405.1800440964,1152405.1800440964,1152405.1800440964,1152405.1800440964
PrototypeStarglitter,1117781.2675414803,1117781.2675414803,1117781.2675414803,1117781.2675414803,1117781.2675414803
WhiteTassel,1208178.3724002892,1208178.3724002892,1208178.3724002892,1208178.3724002892,1208178.3724002892
