Weapon,R1,R2,R3,R4,R5
PJWS,832655.0983443734,849420.5495968212,866387.6044947702,883498.3556374754,900996.6820846358
Homa (50%),898607.8068114177,933092.1364677162,970120.9170384253,1009818.6241905857,1051953.9860063647
Homa,827354.638870903,843670.3059309446,860935.8532022666,879334.3087545815,898834.302976011
LumidouceElegy,822293.5349911975,835788.7829348764,849284.0308785549,862967.3794666543,876780.4754749655
"Vortex (Shielded, Stacked)",890197.8792483666,920373.2272653611,950548.5752823559,980723.9232993502,1010899.2713163448
"Vortex (Shielded, Unstacked)",870397.6913156542,895622.9923494705,920848.2933832873,946073.5944171033,971298.8954509201
CalamityQueller (Stacked),840502.881197311,864746.8767279375,889276.7562695036,914092.5198220088,939194.1673854531
CalamityQueller (Unstacked),827889.82458397,848800.7373980887,869925.6067978779,891264.4327833372,912817.2153544667
"Vortex (Unshielded, Stacked)",829847.1832143776,844934.8572228744,860022.5312313717,875110.2052398693,890197.8792483666
"Vortex (Unshielded, Unstacked)",819947.0892480214,832559.7397649292,845172.3902818374,857785.0407987458,870397.6913156542
StaffOfTheScarletSands,779282.3807714734,779282.3807714734,779282.3807714734,779282.3807714734,779282.3807714734
SkywardSpine,693551.5565572161,702967.8424887718,712486.4286502508,722040.4109620305,731874.3420075788
EngulfingLightning,683516.6493591771,703008.9884079607,723929.2742419498,746277.5068611436,770053.6862655431
Lithic (4 Stacks),818073.2425133612,851117.1220622658,884823.6489921425,919194.8268615206,954232.6592289296
Lithic (3 Stacks),781939.9719473545,805623.1913838262,829289.1492882157,853360.7180117626,881240.051223609
Lithic (2 Stacks),745150.9616722146,761405.9969394188,776317.4064744085,793173.1402542911,808090.9902249672
Lithic (1 Stacks),710623.0617453491,718461.5316119841,726340.3582467472,733172.6650068897,741081.3950089789
Deathmatch (1 Opponent),753419.3124340835,771192.8863407751,789049.2516321074,807222.4916534261,825501.170805882
Deathmatch (2+ Opponents),730193.9584065194,741776.563601229,753419.3124340835,765268.3617052112,777117.4109763388
Blackcliff (3 Stacks),789190.7371279778,817147.3306370869,845547.5876370822,874391.1244314201,903234.6612257579
Blackcliff (2 Stacks),752693.1010623218,770801.4542215477,789190.7371279778,807742.7537780898,826551.9074960843
Blackcliff (1 Stacks),717058.9992991159,725833.7699407669,734723.6889674558,743708.3950148887,752693.1010623218
Blackcliff (0 Stacks),682288.4318383597,682288.4318383597,682288.4318383597,682288.4318383597,682288.4318383597
MissiveWindspear (On),712860.6501208273,720986.4312583746,729112.212395922,737237.9935334696,745363.7746710173
MissiveWindspear (Off),680357.5255706368,680357.5255706368,680357.5255706368,680357.5255706368,680357.5255706368
WavebreakersFin,668379.9194361202,668379.9194361202,668379.9194361202,668379.9194361202,668379.9194361202
FavoniusLance,598659.2738636861,598659.2738636861,598659.2738636861,598659.2738636861,598659.2738636861
PrototypeStarglitter,569328.6140828199,569328.6140828199,569328.6140828199,569328.6140828199,569328.6140828199
WhiteTassel,595768.005457501,595768.005457501,595768.005457501,595768.005457501,595768.005457501
