Weapon,R1,R2,R3,R4,R5
PJWS,1516159.264655233,1537611.9256530632,1559222.0803089284,1580989.7286228277,1602914.8705947616
Homa (50%),1614235.9099770735,1656246.4193145307,1700527.3815448564,1747078.7966680513,1795900.6646841145
Homa,1524819.0002719022,1545540.4483290229,1567397.1228325772,1590389.0237825653,1614516.151178988
LumidouceElegy,1520842.7642840617,1537947.5007506085,1555052.2372171546,1572156.9736837007,1589261.7101502472
"Vortex (Shielded, Stacked)",1511401.1687327754,1546529.4719590587,1581657.775185342,1616786.0784116248,1651914.3816379085
"Vortex (Shielded, Unstacked)",1489220.400801153,1518803.5120445304,1548386.623287908,1577969.7345312852,1607552.8457746631
CalamityQueller (Stacked),1484485.5767409962,1515247.6637357653,1546301.9755368487,1577648.5121442457,1609287.2735579559
CalamityQueller (Unstacked),1470430.5327605365,1497497.4194735808,1524783.9552782949,1552290.140174679,1580015.9741627325
"Vortex (Unshielded, Stacked)",1441144.5622802088,1458708.7138933502,1476272.8655064919,1493837.0171196335,1511401.1687327754
"Vortex (Unshielded, Unstacked)",1430054.178314397,1444845.733936086,1459637.289557775,1474428.8451794635,1489220.400801153
StaffOfTheScarletSands,1478060.2105342718,1478060.2105342718,1478060.2105342718,1478060.2105342718,1478060.2105342718
SkywardSpine,1311913.899363711,1326483.3476385928,1344418.8271815532,1358526.235910682,1376994.264097642
EngulfingLightning,1271370.7461131827,1294326.212199825,1318991.9472923332,1345367.9513907079,1373454.2244949488
Lithic (4 Stacks),1455667.0893205614,1505755.2816747918,1556622.2809517889,1608270.3644022092,1660701.8092767105
Lithic (3 Stacks),1405515.5985341892,1441200.1299001859,1476645.106381123,1513128.0646848758,1556343.816631001
Lithic (2 Stacks),1352806.2211122394,1378120.9334960643,1400563.5672867864,1426733.1704798103,1449015.85947842
Lithic (1 Stacks),1303997.1056973774,1316513.1379611131,1329076.765038892,1338876.2930378101,1350972.8684776092
Deathmatch (1 Opponent),1428818.6679897553,1450798.5423414826,1472778.4166932108,1494758.2910449388,1516738.1653966669
Deathmatch (2+ Opponents),1399512.1688541176,1414165.418421936,1428818.6679897553,1443471.9175575736,1458125.1671253918
Blackcliff (3 Stacks),1455725.1971545734,1489168.2145830297,1522611.2320114865,1556054.249439943,1589497.2668683992
Blackcliff (2 Stacks),1411134.5072499649,1433429.852202269,1455725.1971545734,1478020.542106878,1500315.887059182
Blackcliff (1 Stacks),1366543.817345356,1377691.4898215085,1388839.1622976605,1399986.8347738127,1411134.5072499649
Blackcliff (0 Stacks),1321953.1274407473,1321953.1274407473,1321953.1274407473,1321953.1274407473,1321953.1274407473
MissiveWindspear (On),1289942.3274627167,1299401.8672032168,1308861.4069437163,1318320.946684217,1327780.4864247167
MissiveWindspear (Off),1252104.1685007156,1252104.1685007156,1252104.1685007156,1252104.1685007156,1252104.1685007156
WavebreakersFin,1254911.6386522946,1254911.6386522946,1254911.6386522946,1254911.6386522946,1254911.6386522946
FavoniusLance,1163773.5117420638,1163773.5117420638,1163773.5117420638,1163773.5117420638,1163773.5117420638
PrototypeStarglitter,1121720.1790774884,1121720.1790774884,1121720.1790774884,1121720.1790774884,1121720.1790774884
WhiteTassel,1195734.2508989768,1195734.2508989768,1195734.2508989768,1195734.2508989768,1195734.2508989768
