Weapon,R1,R2,R3,R4,R5
PJWS,475362.9031444743,485998.88549862977,496864.4763759675,507930.7056562225,519292.0742703137
Homa (50%),519472.16836555395,541862.0363942906,565985.1106004003,591894.8596868523,619213.3694245688
Homa,473459.0970249068,483951.6652665131,495094.781833073,507042.7695288799,519621.5253627922
FracturedHalo,489080.7795468403,502301.81631174276,515603.0915758618,529183.7935752891,542825.4460329649
LumidouceElegy,469622.61810373,478088.90996618994,486726.05588783475,495363.2018094793,504133.09560527105
"Vortex (Shielded, Stacked)",514877.1028092554,534039.5561088397,553202.009408424,572364.4627080082,591526.9160075926
"Vortex (Shielded, Unstacked)",502898.1085664306,519065.8133053086,535233.5180441868,551401.2227830647,567568.9275219429
CalamityQueller (Stacked),478340.89346201246,493530.7388829376,509204.0723732806,525081.5336686856,541163.122769153
CalamityQueller (Unstacked),470848.89585492125,484033.3262187064,497366.50253774517,511076.59063065867,524952.0421927324
"Vortex (Unshielded, Stacked)",476552.1962100868,486133.4228598789,495714.64950967097,505295.87615946325,514877.1028092554
"Vortex (Unshielded, Unstacked)",470562.6990886744,478646.5514581134,486730.4038275524,494814.25619699154,502898.1085664306
StaffOfTheScarletSands,444885.88137812377,444885.88137812377,444885.88137812377,444885.88137812377,444885.88137812377
SkywardSpine,390317.0708815711,395822.47548171785,401440.6598777487,407058.8442737793,412799.0870223951
EngulfingLightning,384858.3585273731,396578.5151618355,409560.778698293,423716.5589595922,438878.49514752894
SacrificersStaff,383633.6284078206,385622.59936933895,387611.5703308574,389600.54129237577,391589.51225389424
Lithic (4 Stacks),469340.5912939843,490257.11551149876,512089.429367707,534399.6564769407,557189.2547749353
Lithic (3 Stacks),446151.04384439986,461393.03482594143,476877.97245198896,492814.741166826,509187.84076200734
Lithic (2 Stacks),423851.3955278822,433471.046362536,443365.13325170643,453445.47835789877,463633.799750538
Lithic (1 Stacks),402141.98641308176,406809.4191687733,411502.74149930757,416221.95340468467,420967.05488490453
Deathmatch (1 Opponent),432306.7835915122,443742.9607207185,455359.7766956713,467086.7801231765,479010.9025533319
Deathmatch (2+ Opponents),417282.15712812555,424712.3910153974,432306.7835915122,439930.90167764976,447555.01976378745
Blackcliff (3 Stacks),453558.44044920267,471693.87598116783,490152.1535205547,508781.5255461639,527410.8975717727
Blackcliff (2 Stacks),429994.3493199278,441749.9165260929,453558.44044920267,465636.849662789,477750.9022995468
Blackcliff (1 Stacks),407362.29070672207,412965.2005554108,418568.1104040995,424242.85171519703,429994.3493199278
Blackcliff (0 Stacks),385730.8782375311,385730.8782375311,385730.8782375311,385730.8782375311,385730.8782375311
MissiveWindspear (On),406185.23334975797,411345.40255420946,416505.5717586607,421665.7409631121,426825.91016756353
MissiveWindspear (Off),385544.55653195264,385544.55653195264,385544.55653195264,385544.55653195264,385544.55653195264
WavebreakersFin,375806.9953845859,375806.9953845859,375806.9953845859,375806.9953845859,375806.9953845859
FavoniusLance,335349.3873344565,335349.3873344565,335349.3873344565,335349.3873344565,335349.3873344565
PrototypeStarglitter,318446.0133545399,318446.0133545399,318446.0133545399,318446.0133545399,318446.0133545399
WhiteTassel,335239.34005892545,335239.34005892545,335239.34005892545,335239.34005892545,335239.34005892545
