Weapon,R1,R2,R3,R4,R5
PJWS,540783.1461024497,552313.02437854,564122.651414632,576043.8171530523,588076.5215938009
Homa (50%),586609.4624684397,610116.6438823945,634894.2680709367,660942.3350340663,688260.8447717828
Homa,537582.2437910003,548728.9876535098,560668.3438546499,573265.8232511827,586766.2727732176
FracturedHalo,554262.2020620836,568244.2317133162,582483.316509895,596805.7233546843,611128.1301994735
LumidouceElegy,533420.7981508642,542724.9176739863,552048.2361402232,561372.0152708961,570926.6232377324
"Vortex (Shielded, Stacked)",570305.7344408125,589468.1877403966,608630.641039981,627793.0943395653,646955.5476391497
"Vortex (Shielded, Unstacked)",558326.7401979876,574494.4449368656,590662.1496757439,606829.8544146217,622997.5591535
CalamityQueller (Stacked),543842.1406970236,559973.93081964,576309.8487473187,592849.8944800592,609594.0680178623
CalamityQueller (Unstacked),536147.4631890216,550227.1893158224,564459.6854001593,578844.9514420322,593382.9874414417
"Vortex (Unshielded, Stacked)",531980.8278416437,541562.054491436,551143.281141228,560724.5077910202,570305.7344408125
"Vortex (Unshielded, Unstacked)",525991.3307202313,534075.1830896705,542159.0354591093,550242.8878285486,558326.7401979876
StaffOfTheScarletSands,505245.5073902243,505245.5073902243,505245.5073902243,505245.5073902243,505245.5073902243
SkywardSpine,446349.8254744444,452569.50029806513,458874.19661525986,465178.8929324546,471525.6345990116
EngulfingLightning,439144.7782275414,451564.0163153768,464897.487103246,479145.19059114915,494307.12677908584
SacrificersStaff,438444.81993067224,440659.4697293074,442874.1195279426,445088.7693265778,447303.419125213
Lithic (4 Stacks),526812.6400122574,549290.8060803359,572742.0737963188,596674.7690762535,621090.3498558748
Lithic (3 Stacks),502451.86117475,518865.0835442145,535521.2525581851,552654.616389011,570246.8697938329
Lithic (2 Stacks),479023.0286154595,489391.5520942504,500056.3610446976,510917.5270761719,521886.66939409333
Lithic (1 Stacks),456190.31053445366,461232.17961221363,466299.9382648164,471393.58649226197,476513.12429455045
Deathmatch (1 Opponent),488876.8291642219,501056.1829219161,513364.8389460186,525673.4949701211,537982.1509942239
Deathmatch (2+ Opponents),472853.0561964833,480864.94268035266,488876.8291642219,496953.2975805486,505159.0682632836
Blackcliff (3 Stacks),512767.475777324,531396.8478029331,550026.2198285421,568655.5918541511,587284.9638797601
Blackcliff (2 Stacks),487928.31307651184,500347.894426918,512767.475777324,525187.05712773,537606.638478136
Blackcliff (1 Stacks),463467.71694930916,469524.7432676883,475581.76958606736,481718.5224013087,487928.31307651184
Blackcliff (0 Stacks),439635.4915431764,439635.4915431764,439635.4915431764,439635.4915431764,439635.4915431764
MissiveWindspear (On),455938.9737361284,461099.1429405799,466259.31214503106,471419.4813494825,476579.650553934
MissiveWindspear (Off),435298.29691832303,435298.29691832303,435298.29691832303,435298.29691832303,435298.29691832303
WavebreakersFin,429602.5337817006,429602.5337817006,429602.5337817006,429602.5337817006,429602.5337817006
FavoniusLance,383787.692270754,383787.692270754,383787.692270754,383787.692270754,383787.692270754
PrototypeStarglitter,364345.3137623076,364345.3137623076,364345.3137623076,364345.3137623076,364345.3137623076
WhiteTassel,382130.31066855526,382130.31066855526,382130.31066855526,382130.31066855526,382130.31066855526
