Weapon,R1,R2,R3,R4,R5
PJWS,1632887.647598353,1653081.4898543733,1673432.8257684284,1693941.6553405176,1714607.9785706417
Homa (50%),1740716.2007168115,1777674.5041278962,1816630.2145739961,1857583.3320551114,1900533.8565712417
Homa,1662052.61555483,1680282.091380996,1699510.2707246689,1719737.1535858493,1740962.739964538
LumidouceElegy,1659321.8094402615,1674369.6065787293,1689417.4037171965,1704465.200855664,1719512.997994132
"Vortex (Shielded, Stacked)",1593647.9221018045,1624551.8892316392,1655455.8563614741,1686359.823491309,1717263.790621144
"Vortex (Shielded, Unstacked)",1573586.9778380636,1599475.708901963,1625364.4399658625,1651253.1710297621,1677141.9020936617
CalamityQueller (Stacked),1571490.3604127627,1602199.8340911444,1633201.5325758392,1664495.4558668484,1696081.603964171
CalamityQueller (Unstacked),1558714.1545509193,1586048.1374772298,1613601.7694952101,1641375.0506048605,1669367.98080618
"Vortex (Unshielded, Stacked)",1531839.9878421347,1547291.9714070521,1562743.9549719696,1578195.9385368866,1593647.9221018045
"Vortex (Unshielded, Unstacked)",1521809.515710264,1534753.8812422142,1547698.2467741636,1560642.6123061134,1573586.9778380636
StaffOfTheScarletSands,1648870.4289293375,1648870.4289293375,1648870.4289293375,1648870.4289293375,1648870.4289293375
SkywardSpine,1596114.6978122327,1614731.9864995838,1631617.1439824917,1649559.5621516872,1667196.1972786845
EngulfingLightning,1555946.4142670168,1578444.1692553067,1602592.5298091685,1628391.495928603,1655841.0676136103
Lithic (4 Stacks),1569639.5154788822,1620705.62965053,1672472.0422063675,1724940.7567049246,1778113.7767047305
Lithic (3 Stacks),1520503.8527209004,1556912.305167447,1592987.2634241618,1630144.647602499,1674404.93397857
Lithic (2 Stacks),1468424.3734001932,1494432.5706878293,1517329.8340769089,1544185.0948560124,1566848.0882425928
Lithic (1 Stacks),1420349.4899926635,1433262.419094618,1446217.2228120707,1456169.501888128,1468578.2509691082
Deathmatch (1 Opponent),1603382.4508497792,1622719.0337085049,1642055.616567231,1661392.1994259576,1680728.782284684
Deathmatch (2+ Opponents),1577600.3403714774,1590491.3956106277,1603382.4508497792,1616273.5060889297,1629164.5613280807
Blackcliff (3 Stacks),1602816.1287349116,1632237.3000467697,1661658.4713586268,1691079.6426704852,1720500.8139823421
Blackcliff (2 Stacks),1563587.9003191022,1583202.0145270063,1602816.1287349116,1622430.2429428168,1642044.3571507218
Blackcliff (1 Stacks),1524359.6719032917,1534166.7290072434,1543973.786111197,1553780.843215149,1563587.9003191022
Blackcliff (0 Stacks),1485131.4434874812,1485131.4434874812,1485131.4434874812,1485131.4434874812,1485131.4434874812
MissiveWindspear (On),1408188.6663654137,1416510.6540037193,1424832.6416420245,1433154.6292803306,1441476.616918636
MissiveWindspear (Off),1374900.7158121907,1374900.7158121907,1374900.7158121907,1374900.7158121907,1374900.7158121907
WavebreakersFin,1366855.286595277,1366855.286595277,1366855.286595277,1366855.286595277,1366855.286595277
FavoniusLance,1454525.668062958,1454525.668062958,1454525.668062958,1454525.668062958,1454525.668062958
PrototypeStarglitter,1418793.8539963465,1418793.8539963465,1418793.8539963465,1418793.8539963465,1418793.8539963465
WhiteTassel,1378718.3463920238,1378718.3463920238,1378718.3463920238,1378718.3463920238,1378718.3463920238
