Weapon,R1,R2,R3,R4,R5
PJWS,654624.0280451952,668868.958097998,683307.4737972831,698184.0041945117,713201.540993372
Homa (50%),717413.4698042185,747961.1855781673,780840.816747421,816027.1961656386,852929.7214137572
Homa,654474.5177070643,668749.4696591999,684092.2141733051,700245.2862614718,717615.2249663589
LumidouceElegy,649055.3525245228,660722.6249528254,672389.8973811283,684320.3878589363,696564.1230455723
"Vortex (Shielded, Stacked)",708739.0255352394,734624.1460448512,760509.2665544632,786394.3870640757,812279.5075736874
"Vortex (Shielded, Unstacked)",691865.9589001953,713532.8127510461,735199.6666018972,756866.5204527484,778533.3743035992
CalamityQueller (Stacked),657165.0921083109,677515.3440076096,698130.8241431685,718995.7938182477,740110.2530328477
CalamityQueller (Unstacked),646688.0723531959,663907.8509790294,681613.5204012769,699505.9086605131,717585.0157567379
"Vortex (Unshielded, Stacked)",656968.7845160152,669911.3447708214,682853.9050256272,695796.4652804332,708739.0255352394
"Vortex (Unshielded, Unstacked)",648532.2511984932,659365.6781239188,670199.1050493442,681032.5319747698,691865.9589001953
StaffOfTheScarletSands,616017.2134487623,616017.2134487623,616017.2134487623,616017.2134487623,616017.2134487623
SkywardSpine,617044.001647219,625528.2813644905,634119.5547768621,642832.0325129221,651610.5238234483
EngulfingLightning,608371.4406892821,626491.9793327705,646268.6349871245,668144.8719992323,691440.0971208906
Lithic (4 Stacks),648360.1398162198,677004.9813973848,706901.2176455681,737443.9093323164,768635.0258736333
Lithic (3 Stacks),616742.4112498907,637624.3820447086,658834.5312346476,680661.3639289768,703083.24103785
Lithic (2 Stacks),586337.2888851336,599518.9082560866,613076.7032083594,626888.6242731975,640846.4024025337
Lithic (1 Stacks),556730.9446973855,563129.4068191919,569562.8412253018,576031.2479157156,582534.6268904328
Deathmatch (1 Opponent),599653.5827582201,615351.831558052,631192.9606761169,647306.3267107796,663540.3112561288
Deathmatch (2+ Opponents),579055.884503846,589354.7336310332,599653.5827582201,610071.4551853637,620632.2079307402
Blackcliff (3 Stacks),628159.5519931136,652866.0536375298,678031.0746482658,703196.0956590021,728361.1166697379
Blackcliff (2 Stacks),595913.5288757012,611864.7779152473,628159.5519931136,644523.5168497984,661254.393974442
Blackcliff (1 Stacks),564640.4763811986,572285.5912334084,580054.8578446116,587937.9043559283,595913.5288757012
Blackcliff (0 Stacks),534697.4503400093,534697.4503400093,534697.4503400093,534697.4503400093,534697.4503400093
MissiveWindspear (On),561915.3336317007,568885.819071063,575856.3045104251,582826.7899497878,589797.2753891499
MissiveWindspear (Off),534033.3918742515,534033.3918742515,534033.3918742515,534033.3918742515,534033.3918742515
WavebreakersFin,519847.8493904392,519847.8493904392,519847.8493904392,519847.8493904392,519847.8493904392
FavoniusLance,531851.7371174995,531851.7371174995,531851.7371174995,531851.7371174995,531851.7371174995
PrototypeStarglitter,505686.7510875115,505686.7510875115,505686.7510875115,505686.7510875115,505686.7510875115
WhiteTassel,466453.89308615046,466453.89308615046,466453.89308615046,466453.89308615046,466453.89308615046
