Weapon,R1,R2,R3,R4,R5
PJWS,951542.3792486159,970152.01842637,988941.5148674271,1007878.1391856744,1027269.1915984481
Homa (50%),1024117.9703037521,1062536.5200937705,1103772.314532996,1147541.7425079744,1193445.93747343
Homa,944684.5937807453,962885.5188816988,982130.5491216977,1002645.7626630884,1024370.3050206584
LumidouceElegy,939467.9731306357,954516.5932187785,969565.2133069212,984832.3553302243,1000227.2536725352
"Vortex (Shielded, Stacked)",1008670.2621898758,1041544.6697855376,1074419.0773811995,1107293.4849768614,1140167.8925725233
"Vortex (Shielded, Unstacked)",988447.4544532427,1016266.1601147464,1044084.86577625,1071903.5714377535,1099722.2770992573
CalamityQueller (Stacked),958948.4133939855,985054.619732071,1011446.7100810955,1038124.6844410592,1065088.542811962
CalamityQueller (Unstacked),946073.9886284801,968781.7702120164,991703.508381223,1014839.2031360999,1038188.8544766468
"Vortex (Unshielded, Stacked)",942921.4469985521,959358.6507963828,975795.8545942139,992233.058392045,1008670.2621898758
"Vortex (Unshielded, Unstacked)",932810.0431302355,946719.3959609872,960628.7487917391,974538.101622491,988447.4544532427
StaffOfTheScarletSands,889837.7403160274,889837.7403160274,889837.7403160274,889837.7403160274,889837.7403160274
SkywardSpine,902722.2786941085,913238.9167019594,925541.0806760894,935605.6097665814,948490.9899157415
EngulfingLightning,885406.1959105439,908739.5129064741,933995.0877908675,961351.8969725224,990447.2674310198
Lithic (4 Stacks),931320.6496744793,968313.8540639246,1006031.1265718362,1044474.649966733,1083646.6070171357
Lithic (3 Stacks),891233.442291565,917756.9931695517,944244.3456705797,971177.345791139,1002425.8762343861
Lithic (2 Stacks),850357.2930748631,868593.2169446404,885288.5746167345,904193.336664624,920881.301164791
Lithic (1 Stacks),812018.7711407281,820818.1598521504,829661.5150770308,837307.5875120353,846181.0922275839
Deathmatch (1 Opponent),859036.7346336733,878835.4955115317,898736.1580097798,918970.3334766281,939331.0840572414
Deathmatch (2+ Opponents),833141.711454835,846050.6089807476,859036.7346336733,872235.9085522456,885435.0824708181
Blackcliff (3 Stacks),899867.3538128464,931022.8541208584,962446.3255102691,993869.7968996797,1025293.2682890899
Blackcliff (2 Stacks),859178.1369017238,879375.7993987412,899867.3538128464,920548.363657722,941497.3445839956
Blackcliff (1 Stacks),819429.6938506269,829218.0445455115,839144.0089997868,849161.0729507554,859178.1369017238
Blackcliff (0 Stacks),780622.0246595566,780622.0246595566,780622.0246595566,780622.0246595566,780622.0246595566
MissiveWindspear (On),811501.0665656233,820353.6650840708,829206.2636025179,838058.8621209651,846911.4606394125
MissiveWindspear (Off),776090.6724918337,776090.6724918337,776090.6724918337,776090.6724918337,776090.6724918337
WavebreakersFin,767403.2252495344,767403.2252495344,767403.2252495344,767403.2252495344,767403.2252495344
FavoniusLance,781060.0585769921,781060.0585769921,781060.0585769921,781060.0585769921,781060.0585769921
PrototypeStarglitter,742146.6626103189,742146.6626103189,742146.6626103189,742146.6626103189,742146.6626103189
WhiteTassel,681650.3072358379,681650.3072358379,681650.3072358379,681650.3072358379,681650.3072358379
